Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s
0.03333333333333333,2e+17,2e+17,2e+17,2e+17,2.000000000000047e+17,2.0000000000114662e+17,2.000000000476149e+17,2.0000000070332032e+17,2.000000053861769e+17,2.0000002647123504e+17,2.0000009507561728e+17,2.0000027134465594e+17,2.0000065104826515e+17,2.0000136595716397e+17,2.0000257802956656e+17,2.0000446926143917e+17,2.0000722965947872e+17,2.000110454971931e+17,2.0001608931232714e+17,2.0002251237246294e+17,2.0003043976066883e+17,2.000399678620019e+17,2.0005116383970973e+17,2.0006406662758554e+17,2.000786889831562e+17,2.0009502020685414e+17,2.0011302920888365e+17,2.001326676822994e+17,2.0015387320952832e+17,2.0017657218672934e+17,2.002006824954543e+17,2.0022611588503837e+17,2.0025278005366854e+17,2.0028058043297702e+17,2.0030942169199213e+17,2.0033920898284128e+17,2.003698489539508e+17,2.00401250557589e+17,2.004333256781908e+17,2.0046598960652694e+17,2.004991613828434e+17,2.005327640298742e+17,2.005667246943208e+17,2.006009747131183e+17,2.00635449618657e+17,2.0067008909514045e+17,2.0070483689646262e+17,2.0073964073438282e+17,2.007744521443645e+17
0.03666666666666667,2e+17,2e+17,2e+17,2e+17,2.000000000000052e+17,2.0000000000123136e+17,2.000000000502347e+17,2.0000000073309542e+17,2.0000000556639658e+17,2.000000271869491e+17,2.0000009719169235e+17,2.0000027639470266e+17,2.00000661317254e+17,2.0000138442954656e+17,2.0000260822389526e+17,2.0000451499854467e+17,2.0000729481380317e+17,2.0001113376958848e+17,2.000162040471285e+17,2.000226564278025e+17,2.0003061543111594e+17,2.0004017684681238e+17,2.0005140724739866e+17,2.0006434500714016e+17,2.000790023730666e+17,2.0009536819458394e+17,2.0011341099500368e+17,2.0013308214501814e+17,2.001543189666546e+17,2.001770476531565e+17,2.002011859350695e+17,2.0022664545656064e+17,2.002533338503451e+17,2.0028115651635216e+17,2.0031001812014342e+17,2.0033982383357837e+17,2.0037048034351712e+17,2.0040189665541462e+17,2.004339847182243e+17,2.0046665989564166e+17,2.0049984130676944e+17,2.0053345205706182e+17,2.0056741937809274e+17,2.0060167469242426e+17,2.0063615361770038e+17,2.006707959221086e+17,2.0070554544155706e+17,2.0074034996731517e+17,2.0077516111145664e+17
0.04,2e+17,2e+17,2e+17,2e+17,2.0000000000000576e+17,2.000000000013272e+17,2.000000000531734e+17,2.0000000076632246e+17,2.000000057668173e+17,2.0000002798098352e+17,2.0000009953527965e+17,2.0000028198054893e+17,2.0000067266469405e+17,2.0000140482645072e+17,2.000026415440248e+17,2.0000456544622394e+17,2.0000736665042093e+17,2.0001123106395187e+17,2.000163304746411e+17,2.0002281512823382e+17,2.0003080892389574e+17,2.0004040699642864e+17,2.000516752686747e+17,2.0006465149974262e+17,2.000793473755486e+17,2.0009575124986038e+17,2.0011383122091664e+17,2.0013353830531075e+17,2.0015480953910106e+17,2.0017757089275472e+17,2.0020173993109472e+17,2.0022722818293917e+17,2.0025394320927245e+17,2.0028179037539382e+17,2.0031067434325296e+17,2.0034050030657853e+17,2.003711749946389e+17,2.0040260747149606e+17,2.0043470975715094e+17,2.0046739729557213e+17,2.0050058929264298e+17,2.00534208944833e+17,2.0056818357708707e+17,2.006024447061582e+17,2.0063692804346275e+17,2.0067157344955757e+17,2.007063248505488e+17,2.0074113012514566e+17,2.0077594096966902e+17
0.043333333333333335,2e+17,2e+17,2e+17,2e+17,2.000000000000064e+17,2.0000000000143498e+17,2.0000000005644816e+17,2.000000008031415e+17,2.0000000598807683e+17,2.000000288553019e+17,2.0000010211098698e+17,2.0000028811108896e+17,2.0000068510543997e+17,2.0000142717010582e+17,2.0000267802050723e+17,2.0000462064374442e+17,2.0000744521716285e+17,2.0001133743606122e+17,2.0001646865762288e+17,2.0002298854229885e+17,2.0003102031201942e+17,2.0004065838699024e+17,2.000519679815091e+17,2.0006498618399248e+17,2.0007972406875085e+17,2.0009616944944234e+17,2.0011428996119853e+17,2.001340362349196e+17,2.0015534499526035e+17,2.0017814197017328e+17,2.0020234454415203e+17,2.0022786412058058e+17,2.0025460818253568e+17,2.0028248205782858e+17,2.0031139040470928e+17,2.0034123844095955e+17,2.003719329422674e+17,2.0040338303675142e+17,2.004355008220109e+17,2.004682018296517e+17,2.0050140536027242e+17,2.005350347096597e+17,2.005690173046309e+17,2.0060328476469424e+17,2.006377729035552e+17,2.0067242168252186e+17,2.007071751260768e+17,2.007419812082927e+17,2.007767917173678e+17
0.04666666666666667,2e+17,2e+17,2e+17,2e+17,2.000000000000071e+17,2.0000000000155555e+17,2.0000000006007782e+17,2.000000008437074e+17,2.0000000623087776e+17,2.0000002981206234e+17,2.000001049238702e+17,2.000002947960692e+17,2.000006986557542e+17,2.0000145148482957e+17,2.0000271768674547e+17,2.000046806340176e+17,2.00007530566279e+17,2.0001145294682925e+17,2.000166186645921e+17,2.0002317674481456e+17,2.00031249675168e+17,2.0004093110157968e+17,2.000522854709719e+17,2.000653491456354e+17,2.0008013253791827e+17,2.0009662287705136e+17,2.0011478729718333e+17,2.0013457601208272e+17,2.0015592540971222e+17,2.001787609559055e+17,2.002029998403394e+17,2.0022855333098288e+17,2.0025532882691773e+17,2.0028323161568464e+17,2.003121663518086e+17,2.0034203827935923e+17,2.0037275422449613e+17,2.0040422338487574e+17,2.0043635794227014e+17,2.004690735233041e+17,2.0050228953123763e+17,2.0053592936948368e+17,2.0056992057523693e+17,2.0060419487932534e+17,2.0063868820625818e+17,2.0067334062647235e+17,2.007080962710002e+17,2.0074290321719456e+17,2.007777133527538e+17
0.05,2e+17,2e+17,2e+17,2e+17,2.0000000000000794e+17,2.0000000000168995e+17,2.000000000640834e+17,2.0000000088819034e+17,2.0000000649598954e+17,2.0000003085362192e+17,2.000001079794407e+17,2.0000030204609968e+17,2.0000071333332173e+17,2.000014777970456e+17,2.0000276057901245e+17,2.0000474546361846e+17,2.0000762275445725e+17,2.0001157766232026e+17,2.0001678056984115e+17,2.000233798168843e+17,2.0003149709970086e+17,2.000412252302279e+17,2.0005262782923453e+17,2.000657404775631e+17,2.0008057287539027e+17,2.0009711162336774e+17,2.0011532331695763e+17,2.0013515772152666e+17,2.0015655086321565e+17,2.0017942792628e+17,2.0020370589122147e+17,2.0022929588072598e+17,2.0025610520388986e+17,2.0028403910528224e+17,2.003130022357453e+17,2.003428998679262e+17,2.0037363888255203e+17,2.0040512855233222e+17,2.004372811498121e+17,2.0047001240403533e+17,2.0050324182888243e+17,2.0053689294370934e+17,2.0057089340459654e+17,2.0060517506225677e+17,2.006396739605152e+17,2.0067433028731107e+17,2.0070908828839328e+17,2.0074389615230464e+17,2.007787058738581e+17
0.05333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000000886e+17,2.000000000018393e+17,2.0000000006848787e+17,2.0000000093677648e+17,2.0000000678425034e+17,2.0000003198254125e+17,2.0000011128367386e+17,2.0000030987266662e+17,2.0000072915726646e+17,2.0000150613530285e+17,2.000028067364717e+17,2.000048151828066e+17,2.000077218428431e+17,2.000117116537681e+17,2.0001695445345203e+17,2.0002359784591018e+17,2.000317626786647e+17,2.0004154086992016e+17,2.000529951555727e+17,2.000661602798138e+17,2.0008104518059827e+17,2.0009763578602605e+17,2.0011589811535434e+17,2.0013578145445907e+17,2.001572214427003e+17,2.0018014296345126e+17,2.0020446277381952e+17,2.0023009184146138e+17,2.002569373796011e+17,2.0028490458722298e+17,2.0031389811160138e+17,2.003438232563097e+17,2.003745869607854e+17,2.0040609857834275e+17,2.0043827047892842e+17,2.0047101850142506e+17,2.005042622783062e+17,2.005379254531959e+17,2.005719358095727e+17,2.006062253265993e+17,2.0064073017592675e+17,2.0067539067136486e+17,2.0071015118153984e+17,2.0074496001408624e+17,2.0077976927853738e+17
0.05666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000000992e+17,2.0000000000200483e+17,2.0000000007331658e+17,2.0000000098966867e+17,2.000000070965694e+17,2.0000003320158957e+17,2.00000114843018e+17,2.0000031828814582e+17,2.0000074614816867e+17,2.00001536530296e+17,2.0000285620119997e+17,2.000048898455486e+17,2.0000782789706147e+17,2.0001185499759552e+17,2.0001714040131306e+17,2.000238309256062e+17,2.0003204651180333e+17,2.0004187812460227e+17,2.000533875563695e+17,2.0006660865957206e+17,2.0008154956006317e+17,2.000981954696104e+17,2.0011651179394602e+17,2.001364473085607e+17,2.00157937241257e+17,2.001809061553895e+17,2.0020527057060086e+17,2.0023094128990093e+17,2.0025782542486688e+17,2.002858281263787e+17,2.0031485403833536e+17,2.003448084976485e+17,2.0037559850665923e+17,2.0040713350487766e+17,2.0043932596630922e+17,2.0047209184711715e+17,2.0050535090635514e+17,2.0053902692024893e+17,2.0057304780819184e+17,2.0060734568636192e+17,2.0064185686274307e+17,2.0067652178537926e+17,2.0071128495392736e+17,2.007460948030071e+17,2.0078090356446867e+17
0.060000000000000005,2e+17,2e+17,2e+17,2e+17,2.000000000000111e+17,2.0000000000218794e+17,2.000000000785971e+17,2.0000000104708704e+17,2.000000074339292e+17,2.000000345137501e+17,2.000001186644041e+17,2.0000032730581702e+17,2.0000076432808397e+17,2.0000156901488774e+17,2.0000290901821088e+17,2.0000496950954253e+17,2.0000794098723955e+17,2.000120077754351e+17,2.000173385051363e+17,2.0002407915601258e+17,2.000323487055681e+17,2.0004223710518746e+17,2.000538051451185e+17,2.0006708573116893e+17,2.0008208612739264e+17,2.0009879078564928e+17,2.00117164461038e+17,2.001371553879765e+17,2.0015869835812813e+17,2.0018171759586986e+17,2.0020612936946717e+17,2.0023184430780515e+17,2.0025876941515712e+17,2.0028680979187923e+17,2.003158700787703e+17,2.0034585564855942e+17,2.00376673570738e+17,2.0040823337664458e+17,2.004404476510325e+17,2.0047323247480976e+17,2.0050650774161254e+17,2.005401973686115e+17,2.005742294196355e+17,2.006085361564437e+17,2.0064305403185706e+17,2.006777236365114e+17,2.007124896092404e+17,2.0074730051953354e+17,2.0078210872914416e+17
0.06333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000001245e+17,2.0000000000239008e+17,2.0000000008435952e+17,2.0000000110926995e+17,2.0000000779738835e+17,2.0000003592222605e+17,2.0000012275525632e+17,2.0000033693987958e+17,2.0000078372056336e+17,2.0000160362413238e+17,2.0000296523548086e+17,2.0000505423624352e+17,2.0000806118803152e+17,2.000121700741513e+17,2.000175488624766e+17,2.0002434264351053e+17,2.00032669373129e+17,2.0004261792956333e+17,2.0005424804242736e+17,2.0006759161608205e+17,2.000826550032783e+17,2.000994218526102e+17,2.001178562316606e+17,2.001379058033064e+17,2.001595048986968e+17,2.001825773844606e+17,2.0020703926374227e+17,2.0023280098197024e+17,2.002597694305832e+17,2.0028784965709965e+17,2.0031694629958112e+17,2.0034696476912454e+17,2.0037781220667517e+17,2.0040939824107696e+17,2.0044163557455306e+17,2.0047444042024454e+17,2.0050773281438886e+17,2.0054143682345453e+17,2.005754806642313e+17,2.006097967526256e+17,2.0064432169479613e+17,2.0067899623232272e+17,2.0071376515135392e+17,2.0074857716412394e+17,2.0078338476986506e+17
