# TYPE dataset
# GEOMETRY grid.dat
# COLUMN_1 Lc_bwd, label = "Backward connection length", units = m
# COLUMN_2 Lc_fwd, label = "Forward connection length", units = m
# COLUMN_3 Lpt_bwd, label = "Backward connection length", units = "{poloidal turns}"
# COLUMN_4 Lpt_fwd, label = "Forward connection length", units = "{poloidal turns}"
# COLUMN_5 Ltt_bwd, label = "Backward connection length", units = "{toroidal turns}"
# COLUMN_6 Ltt_fwd, label = "Forward connection length", units = "{toroidal turns}"
# COLUMN_7 minPsiN_bwd, label = "Minimum psiN in backward direction"
# COLUMN_8 minPsiN_fwd, label = "Minimum psiN in forward direction"
# EXPRESSION_Lc "Lc_bwd + Lc_fwd", label = "Connection length", units = m
# EXPRESSION_Lcs "min(Lc_bwd, Lc_fwd)", label = "Shortest connection length", units = m
# EXPRESSION_Lpt "abs(Lpt_bwd - Lpt_fwd)", label = "Connection length", units = "{poloidal turns}"
# EXPRESSION_Lpts "min(abs(Lpt_bwd), abs(Lpt_fwd))", label = "Shortest connection length", units = "{poloidal turns}"
# EXPRESSION_Ltt "abs(Ltt_bwd - Ltt_fwd)", label = "Connection length", units = "{toroidal turns}"
# EXPRESSION_Ltts "min(abs(Ltt_bwd), abs(Ltt_fwd))", label = "Shortest connection length", units = "{toroidal turns}"
# EXPRESSION_minPsiN "min(minPsiN_bwd, minPsiN_fwd)", label = "Deepest radial incursion", units = psiN
  0.40965842496633E+00  0.40965842681086E+00  0.20974214215969E-01 -0.20974214203075E-01  0.51809972648965E-01 -0.51809972917098E-01  0.00000000000000E+00  0.00000000000000E+00
  0.50825929238156E+00  0.50825929150073E+00  0.15995495574113E-01 -0.15995495644159E-01  0.66503120278483E-01 -0.66503120138071E-01  0.00000000000000E+00  0.00000000000000E+00
  0.56801759585171E+00  0.56801759584694E+00  0.10015175235053E-01 -0.10015175235688E-01  0.75772227068486E-01 -0.75772227067697E-01  0.00000000000000E+00  0.00000000000000E+00
  0.66272063559558E+00  0.66272063559559E+00 -0.20078766922007E-02  0.20078766922020E-02  0.91314449168016E-01 -0.91314449168018E-01  0.00000000000000E+00  0.00000000000000E+00
  0.75600661869644E+00  0.75600661869691E+00 -0.14027708451631E-01  0.14027708451688E-01  0.10691978008243E+00 -0.10691978008251E+00  0.00000000000000E+00  0.00000000000000E+00
  0.16647161173591E+01  0.16647161195048E+01 -0.36004186430639E-01  0.36004186311976E-01  0.24189167364860E+00 -0.24189167389928E+00  0.00000000000000E+00  0.00000000000000E+00
  0.51200391539344E+02  0.51199042425871E+02  0.10885183560476E-01 -0.10841102558089E-01  0.67000328999312E+01 -0.66998715543396E+01  0.00000000000000E+00  0.00000000000000E+00
  0.34903462218372E+03  0.38906656637252E+03 -0.13583490446193E-01  0.13566801465306E-01  0.45790877363241E+02 -0.51041030680721E+02  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05  0.69349793997147E-02 -0.43693091720295E-02  0.13112459215247E+04 -0.13112464449823E+04  0.00000000000000E+00  0.00000000000000E+00
  0.10000000000000E+05  0.10000000000000E+05 -0.20814723999237E-01  0.20954021137794E-01  0.13111570185851E+04 -0.13111578906024E+04  0.00000000000000E+00  0.00000000000000E+00
