Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s
0.06333333333333334,2e+17,2e+17,2e+17,2e+17,2.000000000000137e+17,2.0000000000258675e+17,2.0000000009019133e+17,2.0000000117539994e+17,2.0000000820599942e+17,2.0000003760122154e+17,2.00000127931571e+17,2.0000034987681712e+17
0.06666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000001536e+17,2.0000000000282688e+17,2.0000000009687024e+17,2.000000012462452e+17,2.0000000861492643e+17,2.0000003917088944e+17,2.0000013245684077e+17,2.0000036047072986e+17
0.07,2e+17,2e+17,2e+17,2e+17,2.0000000000001718e+17,2.0000000000309126e+17,2.00000000104133e+17,2.0000000132266323e+17,2.0000000905357546e+17,2.0000004084798656e+17,2.000001372777706e+17,2.000003717320821e+17
0.07333333333333333,2e+17,2e+17,2e+17,2e+17,2.0000000000001926e+17,2.0000000000338198e+17,2.0000000011202022e+17,2.0000000140496582e+17,2.000000095233e+17,2.0000004263654112e+17,2.000001424035795e+17,2.000003836783337e+17
0.07666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000002157e+17,2.000000000037014e+17,2.0000000012057597e+17,2.000000014934875e+17,2.0000001002554483e+17,2.0000004454083632e+17,2.000001478440425e+17,2.0000039632795792e+17
0.08,2e+17,2e+17,2e+17,2e+17,2.000000000000242e+17,2.0000000000405213e+17,2.0000000012984778e+17,2.000000015885869e+17,2.0000001056184973e+17,2.0000004656541856e+17,2.0000015360950474e+17,2.000004097004628e+17
0.08333333333333334,2e+17,2e+17,2e+17,2e+17,2.000000000000271e+17,2.000000000044369e+17,2.0000000013988698e+17,2.000000016906479e+17,2.000000111338533e+17,2.000000487151061e+17,2.0000015971089664e+17,2.0000042381641293e+17
0.08666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000003037e+17,2.0000000000485878e+17,2.0000000015074893e+17,2.00000001800081e+17,2.000000117432972e+17,2.000000509949982e+17,2.000001661597498e+17,2.0000043869745283e+17
0.09000000000000001,2e+17,2e+17,2e+17,2e+17,2.0000000000003402e+17,2.0000000000532115e+17,2.000000001624933e+17,2.0000000191732454e+17,2.000000123920305e+17,2.000000534104847e+17,2.0000017296821366e+17,2.0000045436633133e+17
0.09333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000003808e+17,2.0000000000582768e+17,2.0000000017518435e+17,2.000000020428465e+17,2.0000001308201408e+17,2.0000005596725632e+17,2.0000018014907312e+17,2.0000047084692688e+17
0.09666666666666668,2e+17,2e+17,2e+17,2e+17,2.0000000000004266e+17,2.000000000063823e+17,2.0000000018889123e+17,2.0000000217714586e+17,2.000000138153259e+17,2.0000005867131507e+17,2.000001877157668e+17,2.0000048816427434e+17
0.1,2e+17,2e+17,2e+17,2e+17,2.0000000000004778e+17,2.0000000000698938e+17,2.000000002036883e+17,2.0000000232075427e+17,2.000000145941658e+17,2.0000006152898576e+17,2.000001956824062e+17,2.0000050634459274e+17
0.10333333333333335,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.0000000000005347e+17,2.0000000000765363e+17,2.0000000021965546e+17,2.0000000247423808e+17,2.000000154208612e+17,2.0000006454692746e+17,2.0000020406379613e+17,2.0000052541531434e+17
0.10666666666666667,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.0000000000005984e+17,2.0000000000838022e+17,2.0000000023687862e+17,2.000000026381999e+17,2.0000001629787258e+17,2.0000006773214595e+17,2.000002128754553e+17,2.000005454051148e+17
0.11,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.0000000000006698e+17,2.000000000091748e+17,2.0000000025545005e+17,2.000000028132809e+17,2.0000001722779968e+17,2.0000007109200672e+17,2.0000022213363843e+17,2.000005663439447e+17
0.11333333333333334,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.000000000000749e+17,2.0000000001004336e+17,2.0000000027546874e+17,2.0000000300016272e+17,2.000000182133877e+17,2.000000746342482e+17,2.0000023185535917e+17,2.000005882630621e+17
0.11666666666666667,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.000000000000838e+17,2.0000000001099267e+17,2.0000000029704096e+17,2.0000000319956986e+17,2.000000192575341e+17,2.0000007836699616e+17,2.0000024205841366e+17,2.000006111950667e+17
0.12000000000000001,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.000000000000937e+17,2.0000000001202992e+17,2.0000000032028074e+17,2.0000000341227197e+17,2.0000002036329533e+17,2.000000822987782e+17,2.0000025276140557e+17,2.0000063517393485e+17
0.12333333333333334,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.0000000000010477e+17,2.0000000001316298e+17,2.0000000034531034e+17,2.0000000363908643e+17,2.000000215338944e+17,2.0000008643853936e+17,2.0000026398377162e+17,2.0000066023505642e+17
0.12666666666666668,2e+17,2e+17,2e+17,2.0000000000000003e+17,2.000000000001171e+17,2.0000000001440042e+17,2.000000003722608e+17,2.0000000388088093e+17,2.0000002277272845e+17,2.0000009079565808e+17,2.0000027574580848e+17,2.000006864152724e+17
0.13,2e+17,2e+17,2e+17,2.0000000000000006e+17,2.0000000000013085e+17,2.000000000157515e+17,2.0000000040127267e+17,2.0000000413857632e+17,2.000000240833768e+17,2.0000009537996285e+17,2.000002880687006e+17,2.000007137529142e+17
0.13333333333333333,2e+17,2e+17,2e+17,2.0000000000000006e+17,2.000000000001462e+17,2.0000000001722634e+17,2.0000000043249648e+17,2.0000000441314957e+17,2.000000254696095e+17,2.0000010020174998e+17,2.0000030097454906e+17,2.0000074228784448e+17
0.1366666666666667,2e+17,2e+17,2e+17,2.0000000000000006e+17,2.000000000001633e+17,2.0000000001883597e+17,2.000000004660935e+17,2.0000000470563686e+17,2.00000026935396e+17,2.0000010527180147e+17,2.0000031448640154e+17,2.000007720614988e+17
0.14,2e+17,2e+17,2e+17,2.000000000000001e+17,2.0000000000018234e+17,2.0000000002059226e+17,2.0000000050223648e+17,2.0000000501713686e+17,2.0000002848491462e+17,2.0000011060140416e+17,2.0000032862828336e+17,2.0000080311692934e+17
0.14333333333333334,2e+17,2e+17,2e+17,2.000000000000001e+17,2.000000000002036e+17,2.000000000225082e+17,2.0000000054111037e+17,2.000000053488143e+17,2.0000003012256205e+17,2.000001162023695e+17,2.0000034342522986e+17,2.0000083549884947e+17
0.14666666666666667,2e+17,2e+17,2e+17,2.000000000000001e+17,2.0000000000022723e+17,2.0000000002459782e+17,2.0000000058291312e+17,2.000000057019035e+17,2.0000003185296365e+17,2.0000012208705386e+17,2.0000035890331952e+17,2.0000086925368035e+17
0.15000000000000002,2e+17,2e+17,2e+17,2.0000000000000013e+17,2.0000000000025357e+17,2.0000000002687645e+17,2.0000000062785674e+17,2.0000000607771235e+17,2.00000033680984e+17,2.0000012826838016e+17,2.0000037508970886e+17,2.000009044295986e+17
0.15333333333333335,2e+17,2e+17,2e+17,2.0000000000000016e+17,2.0000000000028288e+17,2.0000000002936064e+17,2.0000000067616787e+17,2.0000000647762627e+17,2.0000003561173805e+17,2.0000013475985994e+17,2.0000039201266794e+17,2.000009410765856e+17
0.15666666666666668,2e+17,2e+17,2e+17,2.0000000000000016e+17,2.000000000003155e+17,2.0000000003206835e+17,2.0000000072808918e+17,2.0000000690311258e+17,2.0000003765060266e+17,2.0000014157561642e+17,2.0000040970161757e+17,2.0000097924647843e+17
0.16,2e+17,2e+17,2e+17,2.000000000000002e+17,2.000000000003518e+17,2.000000000350191e+17,2.0000000078388013e+17,2.000000073557249e+17,2.000000398032288e+17,2.0000014873040858e+17,2.0000042818716758e+17,2.0000101899302227e+17
0.16333333333333333,2e+17,2e+17,2e+17,2.0000000000000022e+17,2.000000000003922e+17,2.0000000003823408e+17,2.0000000084381814e+17,2.0000000783710803e+17,2.000000420755541e+17,2.0000015623965606e+17,2.0000044750115654e+17,2.0000106037192448e+17
0.16666666666666669,2e+17,2e+17,2e+17,2.0000000000000026e+17,2.0000000000043712e+17,2.000000000417362e+17,2.000000009081999e+17,2.000000083490029e+17,2.000000444738164e+17,2.0000016411946506e+17,2.0000046767669254e+17,2.0000110344091005e+17
0.17,2e+17,2e+17,2e+17,2.000000000000003e+17,2.0000000000048704e+17,2.0000000004555034e+17,2.0000000097734256e+17,2.0000000889325178e+17,2.0000004700456707e+17,2.0000017238665504e+17,2.0000048874819568e+17,2.0000114825977923e+17
0.17333333333333334,2e+17,2e+17,2e+17,2.0000000000000035e+17,2.000000000005426e+17,2.0000000004970346e+17,2.0000000105158502e+17,2.000000094718038e+17,2.0000004967468598e+17,2.0000018105878694e+17,2.0000051075144173e+17,2.0000119489046614e+17
0.17666666666666667,2e+17,2e+17,2e+17,2.000000000000004e+17,2.000000000006043e+17,2.0000000005422477e+17,2.000000011312894e+17,2.0000001008672093e+17,2.0000005249139622e+17,2.0000019015419178e+17,2.000005337236074e+17,2.0000124339709974e+17
0.18000000000000002,2e+17,2e+17,2e+17,2.0000000000000045e+17,2.0000000000067283e+17,2.0000000005914595e+17,2.000000012168427e+17,2.000000107401839e+17,2.0000005546228e+17,2.000001996920009e+17,2.0000055770331677e+17,2.0000129384606608e+17
0.18333333333333335,2e+17,2e+17,2e+17,2.000000000000005e+17,2.00000000000749e+17,2.0000000006450125e+17,2.0000000130865808e+17,2.0000001143449872e+17,2.0000005859529488e+17,2.00000209692177e+17,2.0000058273068963e+17,2.0000134630607242e+17
0.18666666666666668,2e+17,2e+17,2e+17,2.000000000000006e+17,2.0000000000083357e+17,2.0000000007032784e+17,2.0000000140717693e+17,2.0000001217210352e+17,2.0000006189879107e+17,2.0000022017554634e+17,2.0000060884739104e+17,2.000014008482134e+17
0.19,2e+17,2e+17,2e+17,2.000000000000007e+17,2.000000000009275e+17,2.0000000007666586e+17,2.000000015128705e+17,2.0000001295557555e+17,2.0000006538152915e+17,2.0000023116383242e+17,2.0000063609668256e+17,2.0000145754603856e+17
0.19333333333333336,2e+17,2e+17,2e+17,2.000000000000008e+17,2.000000000010317e+17,2.0000000008355885e+17,2.0000000162624182e+17,2.0000001378763862e+17,2.0000006905269878e+17,2.0000024267969043e+17,2.000006645234752e+17,2.0000151647562224e+17
0.19666666666666668,2e+17,2e+17,2e+17,2.0000000000000093e+17,2.000000000011474e+17,2.0000000009105392e+17,2.0000000174782784e+17,2.0000001467117114e+17,2.00000072921938e+17,2.0000025474674326e+17,2.0000069417438378e+17,2.0000157771563485e+17
0.2,2e+17,2e+17,2e+17,2.0000000000000106e+17,2.000000000012757e+17,2.00000000099202e+17,2.0000000187820154e+17,2.000000156092141e+17,2.0000007699935338e+17,2.000002673896187e+17,2.0000072509778307e+17,2.0000164134741645e+17
