Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s,Density_t=0.00000005s
0.03333333333333333,2e+17,2e+17,2e+17,2e+17,2.0000000000000416e+17,2.000000000010377e+17,2.0000000004376154e+17,2.000000006537723e+17,2.0000000505041693e+17,2.0000002499233603e+17,2.0000009026612672e+17,2.0000025881118784e+17,2.000006233954315e+17,2.000013122867669e+17,2.0000248384327584e+17,2.000043167592222e+17,2.00006998347012e+17,2.00010712982732e+17,2.0001563217630154e+17,2.000219070155695e+17,2.000296631653906e+17,2.000389982301643e+17,2.0004998109102854e+17,2.0006265276016944e+17,2.0007702830712938e+17,2.0009309946782605e+17,2.0011083762018765e+17
0.03666666666666667,2e+17,2e+17,2e+17,2e+17,2.000000000000046e+17,2.000000000011149e+17,2.0000000004618733e+17,2.000000006816659e+17,2.0000000522076317e+17,2.0000002567363584e+17,2.000000922920283e+17,2.0000026366901613e+17,2.0000063331305232e+17,2.0000133018794624e+17,2.0000251319011165e+17,2.000043613267904e+17,2.0000706197886346e+17,2.0001079936542877e+17,2.0001574465619578e+17,2.0002204846739123e+17,2.0002983591233062e+17,2.0003920400923168e+17,2.0005022105475536e+17,2.0006292750520848e+17,2.0007733792104403e+17,2.0009344358674045e+17,2.0011121549151526e+17
0.04,2e+17,2e+17,2e+17,2e+17,2.000000000000051e+17,2.0000000000120227e+17,2.000000000489089e+17,2.0000000071279738e+17,2.0000000541022314e+17,2.0000002642955184e+17,2.000000945358963e+17,2.0000026904254595e+17,2.0000064427273037e+17,2.0000134995491382e+17,2.0000254557610618e+17,2.000044104859162e+17,2.0000713213865347e+17,2.000108945790937e+17,2.0001586860146608e+17,2.000222043023812e+17,2.000300261880166e+17,2.000394306316697e+17,2.0005048528720586e+17,2.0006322999977075e+17,2.0007767877023818e+17,2.0009382238698387e+17,2.0011163141214563e+17
0.043333333333333335,2e+17,2e+17,2e+17,2e+17,2.0000000000000566e+17,2.0000000000130054e+17,2.0000000005194224e+17,2.000000007472992e+17,2.0000000561940544e+17,2.0000002726197155e+17,2.000000970021861e+17,2.000002749404196e+17,2.000006562889597e+17,2.0000137160943702e+17,2.000025810312702e+17,2.0000446427527782e+17,2.0000720887361155e+17,2.00010998678926e+17,2.0001600407434534e+17,2.0002237458863434e+17,2.0003023406510883e+17,2.0003967817337424e+17,2.0005077386622003e+17,2.0006356032243696e+17,2.0007805093295014e+17,2.0009423594550656e+17,2.0011208545693872e+17
0.04666666666666667,2e+17,2e+17,2e+17,2e+17,2.000000000000063e+17,2.0000000000141053e+17,2.0000000005530502e+17,2.000000007853179e+17,2.0000000584898074e+17,2.000000281729697e+17,2.0000009969578675e+17,2.0000028137210794e+17,2.0000066937760864e+17,2.000013951753291e+17,2.000026195884159e+17,2.000045227371442e+17,2.000072922353321e+17,2.0001111172520784e+17,2.0001615114277968e+17,2.00022559400481e+17,2.0003045962290653e+17,2.000399467171631e+17,2.0005108687672573e+17,2.0006391855893322e+17,2.0007845449452368e+17,2.0009468434623958e+17,2.001125777075391e+17
0.05,2e+17,2e+17,2e+17,2e+17,2.0000000000000704e+17,2.0000000000153315e+17,2.0000000005901683e+17,2.000000008270144e+17,2.000000060996835e+17,2.0000002916481238e+17,2.0000010262202803e+17,2.0000028834792173e+17,2.000006835559344e+17,2.0000142067846672e+17,2.0000266128317594e+17,2.0000458591739427e+17,2.000073822797931e+17,2.0001123378332102e+17,2.0001630988044266e+17,2.0002275881849843e+17,2.0003070294735664e+17,2.0004023635278163e+17,2.0005142441074154e+17,2.0006430480213123e+17,2.0007888954740624e+17,2.0009516768009117e+17,2.0011310825237043e+17
0.05333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000000787e+17,2.0000000000166944e+17,2.0000000006309926e+17,2.000000008725649e+17,2.0000000637231392e+17,2.000000302399617e+17,2.0000010578668902e+17,2.0000029587902378e+17,2.000006988425994e+17,2.00001448146809e+17,2.000027061540241e+17,2.0000465386553802e+17,2.000074790673762e+17,2.0001136492376528e+17,2.0001648036675104e+17,2.0002297292952346e+17,2.0003096413106323e+17,2.000405471769089e+17,2.0005178656738003e+17,2.0006471915204893e+17,2.0007935619114675e+17,2.000956860449423e+17,2.001136771866296e+17
0.05666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000000883e+17,2.0000000000182054e+17,2.0000000006757587e+17,2.0000000092216134e+17,2.0000000666774013e+17,2.000000314010806e+17,2.000001091960066e+17,2.000003039774423e+17,2.0000071525768832e+17,2.000014776104179e+17,2.0000275424229763e+17,2.0000472663473917e+17,2.0000758266288826e+17,2.0001150522217782e+17,2.0001666268688157e+17,2.0002320182666602e+17,2.0003124327329734e+17,2.0004087929316445e+17,2.0005217345285098e+17,2.0006516171585066e+17,2.0007985453239338e+17,2.0009623954564243e+17,2.0011428461228026e+17
0.060000000000000005,2e+17,2e+17,2e+17,2e+17,2.000000000000099e+17,2.0000000000198774e+17,2.0000000007247258e+17,2.0000000097601206e+17,2.0000000698690038e+17,2.000000326510381e+17,2.000001128566852e+17,2.0000031265608506e+17,2.0000073282272698e+17,2.000015091014804e+17,2.0000280559222115e+17,2.0000480428183942e+17,2.0000769313558477e+17,2.0001165475935446e+17,2.0001685693178886e+17,2.0002344560932355e+17,2.0003154048000803e+17,2.0004123281211517e+17,2.0005258518046506e+17,2.0006563260784758e+17,2.000803846848912e+17,2.000968282940044e+17,2.0011493063804592e+17
0.06333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000001107e+17,2.000000000021724e+17,2.000000000778175e+17,2.0000000103434266e+17,2.000000073308056e+17,2.0000003399291517e+17,2.0000011677590675e+17,2.0000032192875462e+17,2.0000075156070214e+17,2.0000154265433187e+17,2.0000286025093213e+17,2.0000488686738426e+17,2.0000781055919434e+17,2.0001181362127174e+17,2.0001706319822464e+17,2.0002370438319645e+17,2.0003185586383357e+17,2.0004160785128294e+17,2.0005302187063754e+17,2.0006613194949818e+17,2.0008094676947946e+17,2.000974524087994e+17,2.001156153794026e+17
