Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s
0.03333333333333333,2e+17,2e+17,2e+17,2e+17,2.0000000000000464e+17,2.00000000001131e+17,2.000000000470657e+17,2.0000000069629197e+17,2.000000053387208e+17,2.000000262627874e+17,2.000000943992023e+17,2.0000026958496867e+17,2.0000064717119898e+17,2.0000135844067722e+17,2.0000256485069885e+17,2.00004447938198e+17,2.0000719733542646e+17,2.000109990521114e+17,2.0001602548279014e+17,2.0002242786930586e+17,2.0003033137439165e+17,2.0003983255097872e+17,2.0005099879915766e+17,2.0006386933945126e+17,2.0007845724847814e+17,2.0009475216292026e+17,2.0011272333380048e+17,2.0013232278957952e+17,2.0015348843510634e+17,2.001761469705252e+17,2.0020021655927424e+17,2.00225609208278e+17,2.002522328479805e+17,2.0027999311679942e+17,2.0030879486560694e+17,2.0033854340444365e+17,2.0036914551705683e+17
0.03666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000000512e+17,2.0000000000121466e+17,2.000000000496579e+17,2.0000000072580112e+17,2.000000055175501e+17,2.0000002697366902e+17,2.0000009650264304e+17,2.0000027460812938e+17,2.000006573911066e+17,2.0000137683335242e+17,2.0000259492685744e+17,2.0000449351232048e+17,2.000072622776634e+17,2.000110870613183e+17,2.0001613990355712e+17,2.0002257156203168e+17,2.0003050663756992e+17,2.0004004108904826e+17,2.0005124172667994e+17,2.0006414721196342e+17,2.0007877011121568e+17,2.000950996100373e+17,2.0011310457231066e+17,2.0013273670374544e+17,2.0015393364830675e+17,2.001766219026812e+17,2.0020071947873066e+17,2.0022613827763664e+17,2.002527861638092e+17,2.0028056874342618e+17,2.003093908633894e+17,2.0033915785300653e+17,2.003697765340351e+17
0.04,2e+17,2e+17,2e+17,2e+17,2.0000000000000566e+17,2.0000000000130928e+17,2.000000000525658e+17,2.00000000758732e+17,2.0000000571642746e+17,2.0000002776235107e+17,2.000000988322588e+17,2.0000028016427904e+17,2.000006686843824e+17,2.000013971423543e+17,2.0000262811673686e+17,2.0000454378043197e+17,2.0000733388069203e+17,2.0001118406589194e+17,2.000162659853748e+17,2.000227298633681e+17,2.000306996821802e+17,2.0004027074712698e+17,2.0005150921970403e+17,2.0006445314680458e+17,2.00079114533845e+17,2.0009548207072598e+17,2.0011352419598352e+17,2.001331922608003e+17,2.0015442362263958e+17,2.0017714455481514e+17,2.0020127290283917e+17,2.0022672045191222e+17,2.002533949940956e+17,2.0028120210034662e+17,2.0031004661340182e+17,2.00339833883927e+17,2.0037047077562227e+17
0.043333333333333335,2e+17,2e+17,2e+17,2e+17,2.000000000000063e+17,2.0000000000141568e+17,2.0000000005580624e+17,2.0000000079522355e+17,2.0000000593598643e+17,2.0000002863078643e+17,2.000001013926363e+17,2.0000028626227674e+17,2.0000068106583094e+17,2.0000141938984803e+17,2.0000266445081405e+17,2.0000459878171798e+17,2.0000741219225965e+17,2.000112901215298e+17,2.0001640379092797e+17,2.0002290284179456e+17,2.000309105811843e+17,2.0004052160131978e+17,2.0005180135618192e+17,2.0006478722257027e+17,2.000794905945256e+17,2.0009589962177e+17,2.001139822794326e+17,2.0013368953253533e+17,2.0015495842655606e+17,2.001777149916432e+17,2.0020187689229565e+17,2.0022735578759066e+17,2.0025405939100806e+17,2.0028189323537366e+17,2.00310762159121e+17,2.003405715364119e+17,2.0037122827685875e+17
0.04666666666666667,2e+17,2e+17,2e+17,2e+17,2.00000000000007e+17,2.0000000000153475e+17,2.00000000059398e+17,2.0000000083542947e+17,2.0000000617692522e+17,2.000000295811216e+17,2.0000010418880794e+17,2.000002929118306e+17,2.0000069455165987e+17,2.0000144360008118e+17,2.000027039624099e+17,2.000046585590008e+17,2.0000749726452522e+17,2.0001140528905683e+17,2.0001655338865514e+17,2.0002309057206e+17,2.000311394142095e+17,2.000407937346715e+17,2.0005211822116272e+17,2.0006514952500208e+17,2.0007989837851456e+17,2.0009635234691808e+17,2.00114478904033e+17,2.0013422859724186e+17,2.0015553813469997e+17,2.0017833328373178e+17,2.002025315132786e+17,2.0022804434625635e+17,2.002547794114205e+17,2.002826422006297e+17,2.003115375479393e+17,2.0034137085319626e+17,2.0037204907593536e+17
0.05,2e+17,2e+17,2e+17,2e+17,2.000000000000078e+17,2.000000000016675e+17,2.0000000006336186e+17,2.000000008795187e+17,2.000000064400083e+17,2.0000003061570093e+17,2.0000010722625984e+17,2.0000030012350896e+17,2.0000070915949466e+17,2.0000146979940144e+17,2.000027466877083e+17,2.0000472315875875e+17,2.0000758915407786e+17,2.0001152963444243e+17,2.0001671485276243e+17,2.0002329313519418e+17,2.0003138626755715e+17,2.0004108723717238e+17,2.000524599067954e+17,2.000655401469875e+17,2.0008033797816448e+17,2.0009684033688022e+17,2.001150141579158e+17,2.0013480953970435e+17,2.0015616282789978e+17,2.0017899950748867e+17,2.002032368374398e+17,2.0022878619458285e+17,2.002555551169027e+17,2.002834490525368e+17,2.0031237283115523e+17,2.0034223188053392e+17,2.0037293321418435e+17
0.05333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000000874e+17,2.0000000000181494e+17,2.000000000677206e+17,2.000000009276759e+17,2.0000000672606858e+17,2.000000317370713e+17,2.0000011051094003e+17,2.0000030790875302e+17,2.00000724908395e+17,2.000014980162757e+17,2.0000279266577706e+17,2.0000479263114723e+17,2.0000768792195702e+17,2.0001166322881827e+17,2.0001688826323917e+17,2.0002351061852016e+17,2.000316512342117e+17,2.000414022057641e+17,2.000528265123316e+17,2.0006595918856013e+17,2.0008080949292118e+17,2.0009736368932298e+17,2.0011558813596205e+17,2.0013543245119296e+17,2.001568325931599e+17,2.0017971374515373e+17,2.002039929418947e+17,2.0022958140432253e+17,2.0025638657370973e+17,2.002843138518065e+17,2.0031326806396298e+17,2.0034315466818736e+17,2.0037388073606934e+17
0.05666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000000976e+17,2.0000000000197843e+17,2.0000000007249933e+17,2.0000000098010243e+17,2.000000070360095e+17,2.00000032947987e+17,2.0000011404926736e+17,2.0000031627989014e+17,2.000007418188723e+17,2.000015282813108e+17,2.000028419385901e+17,2.0000486703002138e+17,2.0000779363367386e+17,2.000118061484979e+17,2.0001707370587437e+17,2.0002374311566742e+17,2.0003193441385043e+17,2.00041738744346e+17,2.0005321814412886e+17,2.000664067569e+17,2.0008131302932112e+17,2.00097922508865e+17,2.001162009397961e+17,2.0013609742945533e+17,2.0015754752365155e+17,2.0018047608478874e+17,2.0020479990921123e+17,2.0023043005229542e+17,2.0025727385277078e+17,2.0028523666342826e+17,2.0031422330544125e+17,2.0034413926941683e+17,2.0037489168917488e+17
0.060000000000000005,2e+17,2e+17,2e+17,2e+17,2.000000000000109e+17,2.0000000000215923e+17,2.0000000007772538e+17,2.000000010370168e+17,2.0000000737080742e+17,2.000000342514154e+17,2.000001178481412e+17,2.0000032525014835e+17,2.0000075991290845e+17,2.0000156062727546e+17,2.0000289455105155e+17,2.0000494641296022e+17,2.0000790635923446e+17,2.0001195847499738e+17,2.000172712722746e+17,2.000239907265863e+17,2.00032235912854e+17,2.0004209696378192e+17,2.0005363491565382e+17,2.0006688296633357e+17,2.000818487009889e+17,2.0009851690707174e+17,2.001168526777785e+17,2.0013680457870806e+17,2.0015830771870285e+17,2.0018128662026643e+17,2.0020565782739866e+17,2.002313322203773e+17,2.002582170296771e+17,2.002862175566574e+17,2.0031523861854125e+17,2.0034518574096848e+17,2.003759661241948e+17
0.06333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000001222e+17,2.000000000023589e+17,2.0000000008342854e+17,2.000000010986555e+17,2.000000077315141e+17,2.0000003565054253e+17,2.0000012191495187e+17,2.0000033483367168e+17,2.00000779213976e+17,2.000015950891241e+17,2.0000295055102125e+17,2.0000503084129258e+17,2.0000802617316435e+17,2.0001212029505763e+17,2.0001748105988266e+17,2.0002425355756272e+17,2.000325558443176e+17,2.0004247698190736e+17,2.0005407694748576e+17,2.0006738793833366e+17,2.0008241662863424e+17,2.000991470024502e+17,2.001175434649986e+17,2.0013755400962736e+17,2.0015911328378803e+17,2.0018214545125914e+17,2.002065667898952e+17,2.0023228799548707e+17,2.0025921618466883e+17,2.002872566050023e+17,2.0031631407007402e+17,2.0034629414306195e+17,2.0037710409492032e+17
