Position_m,Temperature_t=0.00000000s,Temperature_t=0.13333333s,Temperature_t=0.26666667s,Temperature_t=0.40000000s,Temperature_t=0.53333333s,Temperature_t=0.66666667s,Temperature_t=0.80000000s,Temperature_t=0.93333333s,Temperature_t=1.06666667s,Temperature_t=1.20000000s,Temperature_t=1.33333333s,Temperature_t=1.46666667s,Temperature_t=1.60000000s,Temperature_t=1.73333333s,Temperature_t=1.86666667s,Temperature_t=2.00000000s,Temperature_t=2.13333333s,Temperature_t=2.26666667s,Temperature_t=2.40000000s,Temperature_t=2.53333333s,Temperature_t=2.66666667s,Temperature_t=2.80000000s,Temperature_t=2.93333333s,Temperature_t=3.06666667s,Temperature_t=3.20000000s,Temperature_t=3.33333333s,Temperature_t=3.46666667s,Temperature_t=3.60000000s,Temperature_t=3.73333333s,Temperature_t=3.86666667s,Temperature_t=4.00000000s,Temperature_t=4.13333333s,Temperature_t=4.26666667s,Temperature_t=4.40000000s,Temperature_t=4.53333333s,Temperature_t=4.66666667s,Temperature_t=4.80000000s,Temperature_t=4.93333333s,Temperature_t=5.06666667s,Temperature_t=5.20000000s,Temperature_t=5.33333333s,Temperature_t=5.46666667s,Temperature_t=5.60000000s,Temperature_t=5.73333333s,Temperature_t=5.86666667s,Temperature_t=6.00000000s,Temperature_t=6.13333333s,Temperature_t=6.26666667s,Temperature_t=6.40000000s,Temperature_t=6.53333333s,Temperature_t=6.66666667s,Temperature_t=6.80000000s,Temperature_t=6.93333333s,Temperature_t=7.06666667s,Temperature_t=7.20000000s,Temperature_t=7.33333333s,Temperature_t=7.46666667s,Temperature_t=7.60000000s,Temperature_t=7.73333333s,Temperature_t=7.86666667s,Temperature_t=8.00000000s,Temperature_t=8.13333333s,Temperature_t=8.26666667s,Temperature_t=8.40000000s,Temperature_t=8.53333333s,Temperature_t=8.66666667s,Temperature_t=8.80000000s,Temperature_t=8.93333333s,Temperature_t=9.06666667s,Temperature_t=9.20000000s,Temperature_t=9.33333333s,Temperature_t=9.46666667s,Temperature_t=9.60000000s,Temperature_t=9.73333333s,Temperature_t=9.86666667s,Temperature_t=10.00000000s,Temperature_t=10.13333333s,Temperature_t=10.26666667s,Temperature_t=10.40000000s,Temperature_t=10.53333333s,Temperature_t=10.66666667s,Temperature_t=10.80000000s,Temperature_t=10.93333333s,Temperature_t=11.06666667s,Temperature_t=11.20000000s,Temperature_t=11.33333333s,Temperature_t=11.46666667s,Temperature_t=11.60000000s,Temperature_t=11.73333333s,Temperature_t=11.86666667s,Temperature_t=12.00000000s,Temperature_t=12.13333333s,Temperature_t=12.26666667s,Temperature_t=12.40000000s,Temperature_t=12.53333333s,Temperature_t=12.66666667s,Temperature_t=12.80000000s,Temperature_t=12.93333333s,Temperature_t=13.06666667s,Temperature_t=13.20000000s,Temperature_t=13.33333333s,Temperature_t=13.46666667s,Temperature_t=13.60000000s,Temperature_t=13.73333333s,Temperature_t=13.86666667s,Temperature_t=14.00000000s,Temperature_t=14.13333333s,Temperature_t=14.26666667s,Temperature_t=14.40000000s,Temperature_t=14.53333333s,Temperature_t=14.66666667s,Temperature_t=14.80000000s,Temperature_t=14.93333333s,Temperature_t=15.06666667s,Temperature_t=15.20000000s,Temperature_t=15.33333333s,Temperature_t=15.46666667s,Temperature_t=15.60000000s,Temperature_t=15.73333333s,Temperature_t=15.86666667s,Temperature_t=16.00000000s,Temperature_t=16.13333333s,Temperature_t=16.26666667s,Temperature_t=16.40000000s,Temperature_t=16.53333333s,Temperature_t=16.66666667s,Temperature_t=16.80000000s,Temperature_t=16.93333333s,Temperature_t=17.06666667s,Temperature_t=17.20000000s,Temperature_t=17.33333333s,Temperature_t=17.46666667s,Temperature_t=17.60000000s,Temperature_t=17.73333333s,Temperature_t=17.86666667s,Temperature_t=18.00000000s,Temperature_t=18.13333333s,Temperature_t=18.26666667s,Temperature_t=18.40000000s,Temperature_t=18.53333333s,Temperature_t=18.66666667s,Temperature_t=18.80000000s,Temperature_t=18.93333333s,Temperature_t=19.06666667s,Temperature_t=19.20000000s,Temperature_t=19.33333333s,Temperature_t=19.46666667s,Temperature_t=19.60000000s,Temperature_t=19.73333333s,Temperature_t=19.86666667s
-0.12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000001,100.00000000000001,100.00000000000004,100.00000000000007,100.00000000000014,100.00000000000026,100.00000000000045,100.0000000000008,100.00000000000138,100.0000000000023,100.0000000000038,100.00000000000614,100.00000000000975,100.00000000001523,100.00000000002345,100.00000000003556,100.00000000005319,100.00000000007851,100.00000000011445,100.00000000016485,100.00000000023469,100.00000000033052,100.00000000046062,100.00000000063555,100.00000000086857,100.00000000117623,100.00000000157898,100.00000000210194,100.0000000027757,100.00000000363731,100.0000000047312,100.00000000611053,100.00000000783828,100.00000000998882,100.00000001264935,100.00000001592159,100.00000001992355,100.00000002479153,100.00000003068213,100.00000003777444,100.00000004627239,100.00000005640719,100.00000006843985,100.0000000826639,100.0000000994082,100.00000011903973,100.00000014196667,100.00000016864134,100.00000019956344,100.00000023528317,100.0000002764044,100.00000032358807,100.00000037755538,100.00000043909111,100.00000050904698,100.00000058834482,100.00000067797994,100.00000077902429,100.0000008926296,100.00000102003057,100.00000116254776,100.00000132159066,100.0000014986604,100.00000169535252,100.00000191335957,100.00000215447356,100.00000242058826,100.0000027137014,100.00000303591668,100.00000338944555,100.000003776609,100.00000419983898,100.00000466167968,100.00000516478876,100.0000057119382,100.00000630601511,100.00000695002224,100.00000764707833,100.00000840041832,100.00000921339327,100.00001008947014,100.00001103223136,100.00001204537422,100.00001313271008,100.00001429816336,100.00001554577034,100.00001687967786,100.00001830414173,100.00001982352511,100.00002144229656,100.00002316502808,100.00002499639294,100.0000269411633,100.00002900420782,100.00003119048901,100.0000335050606,100.00003595306454,100.00003853972821,100.00004127036128,100.00004415035252,100.00004718516665,100.00005038034091,100.00005374148168,100.000057274261,100.00006098441304,100.00006487773044,100.00006896006073,100.00007323730257,100.00007771540206,100.00008240034896,100.00008729817291,100.00009241493962,100.00009775674707,100.00010332972167,100.00010914001447,100.00011519379737,100.00012149725923,100.00012805660218
-0.11975999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000001,100.00000000000001,100.00000000000004,100.00000000000007,100.00000000000014,100.00000000000026,100.00000000000047,100.00000000000081,100.00000000000138,100.00000000000232,100.00000000000382,100.00000000000617,100.0000000000098,100.00000000001532,100.00000000002358,100.00000000003575,100.00000000005348,100.00000000007893,100.00000000011502,100.00000000016564,100.0000000002358,100.00000000033202,100.00000000046265,100.00000000063825,100.00000000087216,100.00000000118095,100.00000000158515,100.00000000210991,100.00000000278595,100.00000000365034,100.0000000047477,100.00000000613126,100.00000000786417,100.00000001002095,100.00000001268897,100.00000001597017,100.0000000199828,100.00000002486343,100.0000000307689,100.00000003787866,100.00000004639698,100.00000005655542,100.00000006861545,100.00000008287105,100.00000009965154,100.00000011932448,100.00000014229856,100.00000016902679,100.00000020000947,100.00000023579749,100.0000002769955,100.00000032426519,100.00000037832862,100.00000043997144,100.00000051004628,100.00000058947595,100.00000067925673,100.00000078046163,100.00000089424351,100.00000102183814,100.00000116456731,100.00000132384167,100.00000150116361,100.00000169812998,100.00000191643461,100.00000215787088,100.00000242433394,100.00000271782292,100.00000304044293,100.00000339440692,100.00000378203731,100.00000420576757,100.00000466814339,100.00000517182397,100.00000571958283,100.00000631430862,100.00000695900562,100.00000765679415,100.0000084109107,100.00000922470787,100.00001010165418,100.00001104533361,100.00001205944497,100.00001314780116,100.00001431432807,100.0000155630635,100.00001689815575,100.00001832386208,100.00001984454707,100.00002146468067,100.00002318883628,100.00002502168847,100.00002696801073,100.000029032673,100.00003122063903,100.00003353696371,100.00003598679021,100.000038575347,100.00004130794483,100.00004418997351,100.00004722689876,100.00005042425875,100.00005378766079,100.00005732277775,100.00006103534461,100.0000649311548,100.0000690160565,100.00007329594908,100.00007777677924,100.00008246453727,100.00008736525335,100.00009248499363,100.00009782985649,100.0001034059687,100.00010921948164,100.00011527656741,100.00012158341512,100.00012814622704
-0.11951999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000001,100.00000000000001,100.00000000000004,100.00000000000007,100.00000000000014,100.00000000000027,100.00000000000047,100.00000000000082,100.0000000000014,100.00000000000237,100.0000000000039,100.00000000000628,100.00000000000998,100.00000000001559,100.00000000002397,100.00000000003635,100.00000000005433,100.00000000008015,100.00000000011674,100.00000000016803,100.0000000002391,100.00000000033651,100.00000000046872,100.0000000006464,100.00000000088295,100.00000000119515,100.00000000160364,100.00000000213385,100.00000000281665,100.00000000368946,100.00000000479719,100.00000000619345,100.00000000794182,100.00000001011732,100.00000001280785,100.00000001611595,100.00000002016061,100.00000002507913,100.00000003102924,100.00000003819135,100.00000004677075,100.00000005700016,100.0000000691423,100.00000008349252,100.00000010038161,100.00000012017873,100.00000014329429,100.00000017018311,100.0000002013475,100.00000023734042,100.00000027876875,100.00000032629656,100.00000038064836,100.00000044261245,100.0000005130442,100.0000005928693,100.0000006830871,100.00000078477369,100.00000089908522,100.00000102726088,100.00000117062594,100.00000133059469,100.00000150867328,100.00000170646237,100.00000192565976,100.00000216806288,100.00000243557099,100.00000273018746,100.00000305402169,100.00000340929098,100.00000379832223,100.00000422355332,100.00000468753454,100.00000519292963,100.00000574251673,100.00000633918913,100.00000698595575,100.0000076859416,100.00000844238781,100.00000925865166,100.0000101382063,100.00001108464036,100.00001210165723,100.00001319307438,100.00001436282221,100.000015614943,100.00001695358942,100.00001838302313,100.00001990761294,100.00002153183301,100.00002326026086,100.00002509757506,100.00002704855305,100.00002911806855,100.00003131108907,100.00003363267308,100.00003608796722,100.00003868220335,100.00004142069545,100.00004430883646,100.00004735209507,100.00005055601228,100.0000539261981,100.000057468328,100.00006118813936,100.00006509142784,100.00006918404384,100.00007347188864,100.00007796091076,100.00008265710221,100.00008756649466,100.00009269515564,100.00009804918474,100.00010363470983,100.00010945788314,100.00011552487759,100.00012184188283,100.00012841510161
-0.11927999999999998,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000001,100.00000000000001,100.00000000000004,100.00000000000009,100.00000000000016,100.00000000000027,100.0000000000005,100.00000000000085,100.00000000000146,100.00000000000244,100.00000000000402,100.00000000000648,100.00000000001029,100.00000000001604,100.00000000002466,100.00000000003733,100.00000000005576,100.00000000008218,100.00000000011961,100.00000000017204,100.00000000024463,100.00000000034406,100.0000000004789,100.00000000066002,100.00000000090103,100.00000000121891,100.00000000163462,100.00000000217389,100.00000000286805,100.00000000375495,100.00000000488004,100.00000000629755,100.0000000080718,100.00000001027857,100.00000001300673,100.00000001635985,100.00000002045805,100.00000002543995,100.00000003146472,100.00000003871432,100.00000004739583,100.00000005774389,100.00000007002329,100.00000008453166,100.00000010160227,100.00000012160692,100.0000001449589,100.00000017211612,100.00000020358412,100.0000002399194,100.00000028173257,100.00000032969159,100.00000038452515,100.00000044702594,100.0000005180539,100.00000059853956,100.00000068948728,100.00000079197845,100.00000090717462,100.00000103632067,100.00000118074773,100.00000134187616,100.00000152121831,100.00000172038128,100.00000194106948,100.00000218508704,100.00000245434015,100.00000275083922,100.00000307670078,100.00000343414946,100.0000038255195,100.00000425325631,100.00000471991771,100.00000522817508,100.00000578081426,100.00000638073627,100.00000703095779,100.00000773461159,100.0000084949466,100.00000931532789,100.00001019923633,100.00001115026825,100.00001217213477,100.00001326866091,100.00001444378464,100.00001570155564,100.00001704613399,100.00001848178856,100.00002001289529,100.00002164393534,100.00002337949304,100.00002522425372,100.00002718300132,100.00002926061595,100.00003146207129,100.00003379243185,100.00003625685005,100.0000388605634,100.00004160889122,100.00004450723168,100.00004756105841,100.00005077591717,100.00005415742248,100.00005771125407,100.00006144315334,100.00006535891977,100.00006946440728,100.00007376552044,100.00007826821083,100.00008297847323,100.00008790234186,100.00009304588653,100.00009841520885,100.00010401643846,100.0001098557291,100.00011593925493,100.00012227320666,100.00012886378774
-0.11903999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000001,100.00000000000003,100.00000000000004,100.00000000000009,100.00000000000016,100.00000000000028,100.00000000000051,100.0000000000009,100.00000000000153,100.00000000000256,100.00000000000419,100.00000000000676,100.00000000001071,100.00000000001668,100.00000000002561,100.00000000003874,100.00000000005778,100.00000000008507,100.00000000012368,100.0000000001777,100.00000000025243,100.0000000003547,100.00000000049329,100.00000000067926,100.00000000092653,100.00000000125242,100.0000000016783,100.00000000223038,100.00000000294052,100.00000000384726,100.0000000049968,100.00000000644425,100.00000000825493,100.00000001050574,100.00000001328688,100.00000001670334,100.00000002087688,100.00000002594795,100.00000003207775,100.00000003945044,100.00000004827558,100.00000005879049,100.0000000712629,100.00000008599365,100.00000010331946,100.00000012361586,100.00000014730018,100.00000017483462,100.00000020672935,100.00000024354577,100.00000028589969,100.0000003344646,100.00000038997504,100.00000045322982,100.00000052509533,100.00000060650886,100.00000069848186,100.00000080210303,100.00000091854162,100.00000104905041,100.00000119496877,100.00000135772555,100.00000153884186,100.00000173993378,100.00000196271496,100.00000220899899,100.00000248070174,100.00000277984344,100.00000310855071,100.00000346905838,100.00000386371103,100.00000429496454,100.00000476538737,100.0000052776616,100.00000583458379,100.00000643906581,100.00000709413527,100.00000780293578,100.0000085687272,100.00000939488547,100.00001028490233,100.00001124238493,100.0000122710551,100.00001337474853,100.00001455741375,100.00001582311086,100.00001717601025,100.00001862039089,100.00002016063874,100.00002180124474,100.00002354680281,100.00002540200765,100.00002737165238,100.00002946062602,100.00003167391093,100.00003401657997,100.00003649379379,100.00003911079764,100.00004187291852,100.00004478556177,100.00004785420799,100.00005108440959,100.00005448178736,100.00005805202703,100.00006180087564,100.00006573413798,100.00006985767288,100.00007417738956,100.00007869924386,100.00008342923442,100.00008837339902,100.00009353781066,100.00009892857378,100.00010455182046,100.00011041370658,100.00011652040806,100.00012287811697,100.00012949303785
-0.11879999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000001,100.00000000000003,100.00000000000004,100.00000000000009,100.00000000000017,100.00000000000031,100.00000000000055,100.00000000000095,100.00000000000162,100.00000000000271,100.00000000000443,100.00000000000713,100.00000000001127,100.00000000001752,100.00000000002686,100.00000000004056,100.00000000006041,100.00000000008882,100.00000000012898,100.00000000018507,100.00000000026259,100.00000000036856,100.00000000051199,100.00000000070428,100.00000000095967,100.00000000129596,100.00000000173503,100.0000000023037,100.00000000303459,100.00000000396705,100.00000000514827,100.00000000663451,100.00000000849235,100.00000001080024,100.00000001364995,100.00000001714842,100.0000000214195,100.00000002660597,100.00000003287165,100.00000004040362,100.00000004941454,100.00000006014525,100.00000007286727,100.00000008788554,100.00000010554128,100.00000012621481,100.00000015032867,100.00000017835062,100.00000021079676,100.00000024823481,100.00000029128732,100.00000034063491,100.0000003970196,100.00000046124815,100.00000053419527,100.00000061680693,100.00000071010366,100.00000081518371,100.00000093322613,100.00000106549398,100.00000121333719,100.00000137819553,100.00000156160141,100.00000176518249,100.0000019906643,100.00000223987261,100.00000251473575,100.00000281728666,100.00000314966486,100.00000351411833,100.000003913005,100.00000434879423,100.00000482406814,100.00000534152254,100.00000590396789,100.00000651433,100.00000717565044,100.0000078910869,100.00000866391322,100.00000949751936,100.00001039541105,100.00001136120933,100.00001239864984,100.00001351158198,100.00001470396784,100.00001597988096,100.00001734350492,100.00001879913181,100.00002035116036,100.0000220040941,100.00002376253931,100.00002563120275,100.00002761488929,100.00002971849943,100.00003194702666,100.00003430555469,100.00003679925454,100.00003943338164,100.00004221327262,100.00004514434221,100.0000482320799,100.00005148204663,100.0000548998713,100.00005849124729,100.00006226192889,100.00006621772768,100.00007036450889,100.00007470818761,100.00007925472514,100.00008401012515,100.00008898042992,100.00009417171657,100.00009959009313,100.00010524169487,100.00011113268037,100.00011726922776,100.0001236575309,100.00013030379569
-0.11855999999999998,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000001,100.00000000000003,100.00000000000006,100.0000000000001,100.00000000000018,100.00000000000033,100.0000000000006,100.00000000000102,100.00000000000173,100.0000000000029,100.00000000000472,100.00000000000757,100.00000000001197,100.00000000001857,100.00000000002841,100.00000000004282,100.00000000006368,100.00000000009348,100.00000000013554,100.00000000019422,100.00000000027518,100.00000000038573,100.00000000053515,100.00000000073524,100.0000000010007,100.00000000134985,100.0000000018052,100.00000000239439,100.00000000315087,100.00000000411508,100.00000000533542,100.00000000686951,100.00000000878556,100.00000001116379,100.00000001409808,100.00000001769764,100.00000002208893,100.0000000274176,100.00000003385067,100.00000004157876,100.00000005081847,100.00000006181486,100.00000007484411,100.00000009021625,100.00000010827794,100.00000012941547,100.0000001540577,100.00000018267922,100.00000021580344,100.00000025400583,100.00000029791717,100.00000034822682,100.00000040568605,100.00000047111126,100.0000005453874,100.00000062947109,100.00000072439403,100.00000083126605,100.00000095127834,100.00000108570644,100.0000012359133,100.00000140335204,100.0000015895689,100.00000179620572,100.00000202500259,100.00000227780019,100.0000025565421,100.00000286327679,100.00000320015964,100.00000356945468,100.00000397353615,100.00000441488997,100.00000489611492,100.00000541992367,100.00000598914365,100.0000066067177,100.00000727570455,100.00000799927899,100.00000878073207,100.00000962347086,100.00001053101819,100.00001150701208,100.00001255520506,100.0000136794633,100.00001488376547,100.00001617220154,100.00001754897126,100.00001901838263,100.00002058485009,100.00002225289256,100.00002402713139,100.00002591228805,100.00002791318182,100.00003003472722,100.00003228193131,100.00003465989101,100.00003717379013,100.0000398288964,100.00004263055833,100.000045584202,100.00004869532783,100.00005196950713,100.00005541237869,100.00005902964524,100.00006282706995,100.00006681047267,100.00007098572637,100.00007535875336,100.00007993552158,100.00008472204081,100.00008972435886,100.00009494855777,100.00010040075004,100.00010608707474,100.00011201369374,100.00011818678789,100.00012461255322,100.00013129719719
-0.11832,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000001,100.00000000000003,100.00000000000006,100.00000000000011,100.0000000000002,100.00000000000037,100.00000000000064,100.00000000000111,100.00000000000188,100.00000000000311,100.00000000000507,100.00000000000813,100.0000000000128,100.00000000001982,100.00000000003027,100.00000000004555,100.00000000006763,100.00000000009909,100.00000000014344,100.00000000020522,100.00000000029033,100.00000000040636,100.00000000056299,100.00000000077243,100.00000000104994,100.00000000141448,100.00000000188935,100.00000000250307,100.0000000032902,100.00000000429237,100.00000000555947,100.00000000715076,100.00000000913636,100.00000001159862,100.00000001463388,100.00000001835411,100.00000002288884,100.00000002838716,100.00000003501992,100.00000004298191,100.00000005249437,100.00000006380743,100.00000007720283,100.00000009299657,100.00000011154187,100.00000013323199,100.0000001585034,100.00000018783875,100.00000022177011,100.00000026088217,100.00000030581549,100.00000035726978,100.00000041600723,100.00000048285578,100.00000055871241,100.00000064454646,100.0000007414028,100.00000085040506,100.00000097275873,100.00000110975421,100.0000012627698,100.00000143327452,100.00000162283094,100.0000018330977,100.00000206583216,100.00000232289266,100.00000260624078,100.00000291794343,100.00000326017474,100.00000363521775,100.00000404546603,100.00000449342504,100.00000498171332,100.00000551306346,100.00000609032297,100.00000671645488,100.00000739453813,100.00000812776787,100.00000891945538,100.00000977302803,100.00001069202881,100.00001168011589,100.00001274106175,100.00001387875237,100.00001509718604,100.00001640047209,100.00001779282942,100.00001927858487,100.0000208621714,100.00002254812611,100.00002434108815,100.0000262457964,100.00002826708715,100.00003040989141,100.00003267923236,100.0000350802225,100.00003761806072,100.00004029802925,100.0000431254906,100.00004610588435,100.00004924472371,100.00005254759228,100.00005602014049,100.00005966808216,100.00006349719081,100.00006751329612,100.00007172228015,100.00007613007374,100.00008074265263,100.00008556603377,100.00009060627148,100.00009586945367,100.000101361698,100.00010708914802,100.00011305796947,100.00011927434636,100.00012574447723,100.00013247457142
-0.11807999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000001,100.00000000000001,100.00000000000003,100.00000000000006,100.00000000000011,100.00000000000023,100.0000000000004,100.0000000000007,100.00000000000121,100.00000000000205,100.00000000000338,100.0000000000055,100.00000000000878,100.00000000001378,100.00000000002132,100.00000000003249,100.00000000004879,100.00000000007228,100.00000000010571,100.00000000015277,100.00000000021818,100.00000000030815,100.00000000043062,100.0000000005957,100.00000000081612,100.00000000110776,100.00000000149033,100.00000000198807,100.00000000263051,100.0000000034535,100.0000000045001,100.00000000582186,100.00000000748001,100.00000000954685,100.00000001210728,100.00000001526044,100.00000001912153,100.00000002382365,100.00000002951987,100.00000003638547,100.00000004462015,100.00000005445052,100.0000000661326,100.00000007995453,100.0000000962393,100.0000001153477,100.00000013768114,100.00000016368482,100.00000019385081,100.0000002287212,100.00000026889137,100.0000003150132,100.00000036779839,100.00000042802182,100.00000049652475,100.00000057421815,100.00000066208601,100.00000076118852,100.00000087266524,100.00000099773823,100.00000113771509,100.00000129399189,100.00000146805603,100.00000166148897,100.00000187596879,100.00000211327281,100.00000237527979,100.00000266397217,100.00000298143814,100.00000332987348,100.00000371158325,100.00000412898332,100.00000458460177,100.00000508107992,100.00000562117343,100.00000620775299,100.00000684380491,100.00000753243157,100.00000827685149,100.00000908039944,100.00000994652613,100.00001087879792,100.00001188089615,100.00001295661639,100.00001410986745,100.00001534467026,100.00001666515651,100.00001807556718,100.00001958025085,100.00002118366183,100.0000228903582,100.00002470499963,100.00002663234511,100.00002867725046,100.0000308446658,100.00003313963285,100.00003556728201,100.00003813282957,100.00004084157453,100.00004369889552,100.00004671024757,100.0000498811587,100.00005321722665,100.00005672411524,100.000060407551,100.00006427331945,100.00006832726149,100.00007257526971,100.00007702328469,100.00008167729116,100.00008654331432,100.00009162741596,100.00009693569064,100.00010247426196,100.00010824927867,100.00011426691086,100.00012053334618,100.00012705478602,100.00013383744181
-0.11783999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000001,100.00000000000001,100.00000000000004,100.00000000000007,100.00000000000013,100.00000000000024,100.00000000000044,100.00000000000077,100.00000000000132,100.00000000000223,100.0000000000037,100.00000000000598,100.00000000000954,100.00000000001495,100.00000000002306,100.00000000003506,100.00000000005254,100.00000000007769,100.00000000011342,100.00000000016358,100.0000000002332,100.0000000003288,100.00000000045873,100.00000000063356,100.00000000086665,100.0000000011746,100.00000000157799,100.00000000210207,100.00000000277761,100.00000000364187,100.0000000047396,100.00000000612427,100.0000000078593,100.00000001001953,100.00000001269275,100.00000001598134,100.00000002000415,100.00000002489838,100.0000000308217,100.00000003795438,100.00000004650174,100.00000005669652,100.00000006880147,100.00000008311206,100.00000009995924,100.00000011971238,100.00000014278223,100.00000016962396,100.00000020074035,100.00000023668491,100.00000027806517,100.00000032554594,100.00000037985261,100.0000004417744,100.0000005121678,100.00000059195972,100.00000068215077,100.00000078381858,100.00000089812085,100.00000102629848,100.00000116967861,100.00000132967756,100.00000150780355,100.00000170565953,100.00000192494575,100.0000021674621,100.00000243511059,100.00000272989735,100.00000305393473,100.00000340944311,100.00000379875253,100.00000422430423,100.0000046886519,100.00000519446277,100.00000574451865,100.00000634171653,100.00000698906916,100.00000768970546,100.00000844687054,100.0000092639257,100.00001014434827,100.00001109173098,100.0000121097815,100.00001320232153,100.0000143732858,100.00001562672087,100.00001696678382,100.0000183977406,100.00001992396443,100.00002154993382,100.0000232802306,100.00002511953767,100.00002707263678,100.00002914440593,100.00003133981681,100.0000336639321,100.00003612190255,100.00003871896409,100.00004146043466,100.00004435171114,100.00004739826603,100.00005060564413,100.0000539794591,100.00005752538995,100.00006124917755,100.00006515662093,100.00006925357373,100.00007354594037,100.00007803967242,100.00008274076477,100.00008765525187,100.00009278920393,100.00009814872307,100.00010373993953,100.00010956900785,100.00011564210301,100.00012196541672,100.00012854515357,100.00013538752728
