Position_m,Temperature_t=0.00000000s,Temperature_t=1.66666667s,Temperature_t=3.33333333s,Temperature_t=5.00000000s,Temperature_t=6.66666667s,Temperature_t=8.33333333s,Temperature_t=10.00000000s,Temperature_t=11.66666667s,Temperature_t=13.33333333s,Temperature_t=15.00000000s,Temperature_t=16.66666667s,Temperature_t=18.33333333s
-0.12,40.0,40.0,40.0000000000153,40.00000001380995,40.00000059946972,40.0000064806661,40.000033098825526,40.00010785689488,40.00026301872693,40.00052644151069,40.000915708862095,40.00143670773509
-0.11975999999999999,40.0,40.0,40.000000000015376,40.00000001384564,40.00000060039989,40.000006487329046,40.00003312290136,40.00010791505885,40.000263127633964,40.00052661350655,40.00091595012252,40.00143701847214
-0.11951999999999999,40.0,40.0,40.00000000001561,40.000000013952715,40.00000060319042,40.00000650731786,40.00003319512885,40.000108089550736,40.00026345435506,40.00052712949416,40.00091667390378,40.0014379506833
-0.11927999999999998,40.0,40.0,40.000000000016,40.0000000141318,40.00000060785235,40.00000654069248,40.000033315685336,40.000108380740876,40.00026399951256,40.000527990379624,40.00091788140053,40.00143950583536
-0.11903999999999999,40.0,40.0,40.000000000016556,40.00000001438384,40.00000061440164,40.00000658753517,40.000033484802664,40.000108789092266,40.00026476385471,40.000529197216366,40.00091957396282,40.00144168554711
-0.11879999999999999,40.0,40.0,40.00000000001727,40.00000001471015,40.00000062285924,40.000006647950734,40.00003370276752,40.00010931516106,40.000265748256155,40.00053075120574,40.000921753096726,40.001444491589936
-0.11855999999999998,40.0,40.0,40.00000000001817,40.000000015112356,40.00000063325112,40.00000672206671,40.000033969921745,40.00010995959708,40.00026695371862,40.0005326536977,40.00092442046506,40.001447925888414
-0.11832,40.0,40.0,40.00000000001925,40.00000001559242,40.000000645608345,40.00000681003352,40.00003428666281,40.00011072314438,40.00026838137158,40.00053490619149,40.00092757788798,40.001451990520955
-0.11807999999999999,40.0,40.0,40.00000000002051,40.000000016152676,40.000000659967164,40.00000691202479,40.000034653444196,40.000111606641845,40.00027003247292,40.00053751033636,40.00093122734371,40.001456687720406
-0.11783999999999999,40.0,40.0,40.00000000002199,40.00000001679582,40.00000067636907,40.00000702823757,40.0000350707759,40.00011261102384,40.000271908409644,40.00054046793227,40.000935370969195,40.00146201987462
-0.1176,40.0,40.0,40.00000000002368,40.000000017524926,40.00000069486093,40.00000715889265,40.00003553922498,40.00011373732091,40.000274010698675,40.00054378093068,40.000940011060784,40.00146798952711
-0.11735999999999999,40.0,40.0,40.000000000025615,40.00000001834344,40.00000071549508,40.00000730423489,40.0000360594161,40.0001149866605,40.00027634098764,40.000547451435246,40.00094515007492,40.00147459937757
-0.11711999999999999,40.0,40.0,40.000000000027796,40.00000001925524,40.00000073832944,40.000007464533574,40.00003663203215,40.00011636026773,40.00027890105566,40.00055148170268,40.00095079062885,40.001481852282545
-0.11687999999999998,40.0,40.0,40.00000000003025,40.000000020264594,40.000000763427686,40.00000764008281,40.000037257814924,40.00011785946624,40.00028169281424,40.00055587414351,40.00095693550132,40.00148975125593
-0.11664,40.0,40.0,40.000000000033005,40.00000002137621,40.00000079085933,40.000007831201934,40.00003793756577,40.00011948567902,40.00028471830815,40.000560631322905,40.00096358763327,40.001498299469596
-0.11639999999999999,40.0,40.0,40.000000000036074,40.00000002259526,40.000000820699945,40.00000803823597,40.0000386721464,40.00012124042935,40.00028797971637,40.000565755961546,40.000970750128566,40.00150750025397
