Position_m,Temperature_t=0.00000000s,Temperature_t=1.81818182s,Temperature_t=3.63636364s,Temperature_t=5.45454545s,Temperature_t=7.27272727s,Temperature_t=9.09090909s,Temperature_t=10.90909091s,Temperature_t=12.72727273s,Temperature_t=14.54545455s,Temperature_t=16.36363636s,Temperature_t=18.18181818s
-0.12,60.0,60.0,60.000000000002196,60.00000000330065,60.00000020312228,60.00000281347202,60.00001726763335,60.00006480384762,60.00017671406727,60.000387215701295,60.00072583436513
-0.11975999999999999,60.0,60.0,60.00000000000221,60.000000003310895,60.00000020350538,60.000002817018235,60.00001728313482,60.00006484721563,60.000176805303404,60.000387374113195,60.000726074754965
-0.11951999999999999,60.0,60.0,60.000000000002245,60.000000003341626,60.00000020465467,60.000002827656886,60.000017329639206,60.00006497731966,60.0001770790118,60.000387849348876,60.000726795924486
-0.11927999999999998,60.0,60.0,60.000000000002316,60.00000000339306,60.0000002065755,60.000002845425215,60.00001740727861,60.0000651944759,60.00017753578373,60.00038864234651,60.00072799920143
-0.11903999999999999,60.0,60.0,60.00000000000241,60.00000000346552,60.000000209275754,60.000002870375475,60.00001751622999,60.00006549909018,60.00017817634938,60.00038975422605,60.000729686125055
-0.11879999999999999,60.0,60.0,60.00000000000253,60.00000000355946,60.00000021276584,60.000002902575034,60.00001765671544,60.00006589165848,60.000179001578616,60.00039118629019,60.00073185844718
-0.11855999999999998,60.0,60.0,60.00000000000268,60.00000000367543,60.000000217058755,60.000002942106555,60.00001782900264,60.0000663727676,60.0001800124818,60.00039294002532,60.00073451813324
-0.11832,60.0,60.0,60.00000000000286,60.00000000381414,60.00000022217012,60.00000298906812,60.00001803340516,60.00006694309577,60.000181210210684,60.00039501710261,60.000737667363374
-0.11807999999999999,60.0,60.0,60.000000000003084,60.000000003976375,60.00000022811824,60.000003043573514,60.000018270283014,60.000067603413385,60.00018259605936,60.000397419379034,60.00074130853355
-0.11783999999999999,60.0,60.0,60.00000000000334,60.00000000416309,60.00000023492412,60.00000310575236,60.00001854004309,60.000068354583846,60.00018417146528,60.000400148898514,60.00074544425673
-0.1176,60.0,60.0,60.00000000000363,60.000000004375366,60.000000242611584,60.000003175750464,60.000018843139735,60.00006919756436,60.00018593801028,60.000403207893136,60.00075007736407
-0.11735999999999999,60.0,60.0,60.000000000003965,60.00000000461442,60.000000251207304,60.00000325373002,60.000019180075356,60.00007013340688,60.000187897421796,60.000406598784316,60.00075521090613
-0.11711999999999999,60.0,60.0,60.00000000000435,60.00000000488161,60.00000026074089,60.00000333986996,60.000019551401074,60.00007116325908,60.00019005157398,60.00041032418416,60.00076084815414
-0.11687999999999998,60.0,60.0,60.000000000004775,60.000000005178464,60.000000271245,60.00000343436629,60.00001995771743,60.000072288365395,60.00019240248901,60.0004143868967,60.000766992601264
-0.11664,60.0,60.0,60.000000000005265,60.00000000550666,60.00000028275541,60.00000353743244,60.00002039967511,60.00007351006815,60.000194952338376,60.00041878991938,60.00077364796399
-0.11639999999999999,60.0,60.0,60.00000000000581,60.00000000586804,60.0000002953111,60.00000364929964,60.00002087797579,60.00007482980869,60.0001977034443,60.000423536444394,60.00078081818339
-0.11615999999999999,60.0,60.0,60.00000000000642,60.000000006264635,60.00000030895442,60.00000377021739,60.00002139337299,60.000076249128675,60.00020065828116,60.00042862986023,60.00078850742658
-0.11592,60.0,60.0,60.00000000000711,60.00000000669867,60.00000032373118,60.00000390045385,60.00002194667292,60.00007776967133,60.00020381947702,60.000434073753176,60.000796720088125
-0.11567999999999999,60.0,60.0,60.00000000000788,60.00000000717256,60.00000033969075,60.00000404029635,60.00002253873556,60.000079393182865,60.00020718981519,60.000439871908924,60.000805460791476
-0.11543999999999999,60.0,60.0,60.00000000000873,60.000000007688925,60.00000035688627,60.00000419005192,60.00002317047556,60.000081121513865,60.00021077223591,60.00044602831419,60.00081473439048
