r_m,B_tesla_phi_0
0.0,0.38078347360707165
0.00012012012012012012,0.3825745978104024
0.00024024024024024023,0.384366881674551
0.00036036036036036037,0.38616028342486935
0.00048048048048048047,0.3879547620808918
0.0006006006006006006,0.38975027743920315
0.0007207207207207207,0.3915467900567055
0.0008408408408408408,0.3933442612342425
0.0009609609609609609,0.3951426530006326
0.001081081081081081,0.3969419280970734
0.0012012012012012011,0.3987420498686828
0.0013213213213213212,0.40054297747903944
0.0014414414414414415,0.4023446635778425
0.0015615615615615615,0.4041470608274226
0.0016816816816816816,0.4059501224599849
0.0018018018018018018,0.4077538022664074
0.0019219219219219219,0.4095580545852408
0.002042042042042042,0.41136283429197157
0.002162162162162162,0.41316809678850847
0.0022822822822822822,0.4149737979928609
0.0024024024024024023,0.4167798943290644
0.0025225225225225223,0.4185863427173172
0.0026426426426426424,0.4203931005642947
0.002762762762762763,0.4222001257536987
0.002882882882882883,0.4240073766370036
0.003003003003003003,0.42581481202436994
0.003123123123123123,0.42762239117577777
0.003243243243243243,0.4294300737923471
0.003363363363363363,0.4312378200078116
0.0034834834834834836,0.4330455903802017
0.0036036036036036037,0.4348533458837031
0.0037237237237237237,0.4366610478467252
0.0038438438438438438,0.43846865659628603
0.003963963963963964,0.44027613134452215
0.004084084084084084,0.4420834315970886
0.004204204204204204,0.44389051721905454
0.004324324324324324,0.4456973484282679
0.0044444444444444444,0.44750388578885747
0.0045645645645645645,0.4493100902048367
0.0046846846846846845,0.45111592291386643
0.004804804804804805,0.4529213454811463
0.004924924924924925,0.45472631979339984
0.005045045045045045,0.45653080805301066
0.005165165165165165,0.4583347727722802
0.005285285285285285,0.4601381767677689
0.005405405405405406,0.461940983154786
0.005525525525525526,0.46374315534198685
0.005645645645645646,0.46554465702605324
0.005765765765765766,0.46734545218650947
0.005885885885885886,0.46914550508064384
0.006006006006006006,0.4709447802385025
0.006126126126126126,0.47274324245801463
0.006246246246246246,0.47454085703092413
0.006366366366366366,0.4763375930115552
0.006486486486486486,0.4781334224415821
0.006606606606606606,0.479928317699318
0.006726726726726726,0.4817222514233464
0.006846846846846846,0.48351519650771574
0.006966966966966967,0.48530712609723475
0.007087087087087087,0.487098013582838
0.007207207207207207,0.48888783259707813
0.007327327327327327,0.4906765570097139
0.007447447447447447,0.492464160923361
0.0075675675675675675,0.4942506186692617
0.0076876876876876875,0.4960359048031459
0.007807807807807808,0.497819994101147
0.007927927927927928,0.49960286155583283
0.008048048048048049,0.5013844823723197
0.008168168168168169,0.503164831964437
0.008288288288288289,0.504943885951
0.008408408408408409,0.5067216201521624
0.008528528528528529,0.5084980105858107
0.008648648648648649,0.5102730334640659
0.008768768768768769,0.5120466658193081
0.008888888888888889,0.5138188909848291
0.009009009009009009,0.5155896959320575
0.009129129129129129,0.517359067875672
0.009249249249249249,0.5191269942315432
0.009369369369369369,0.520893462612982
0.009489489489489489,0.5226584608270692
0.00960960960960961,0.5244219768710344
0.00972972972972973,0.5261839989287432
0.00984984984984985,0.5279445153672615
0.00996996996996997,0.529703514733461
0.01009009009009009,0.5314609857507284
0.01021021021021021,0.5332169173157469
0.01033033033033033,0.5349712984953122
0.01045045045045045,0.5367241185232505
0.01057057057057057,0.5384753667973984
0.01069069069069069,0.5402250328766184
0.010810810810810811,0.5419731064779102
0.010930930930930931,0.5437195774735638
0.011051051051051052,0.5454644358883888
0.011171171171171172,0.5472076718969735
0.011291291291291292,0.5489492765273485
0.011411411411411412,0.5506892455649446
0.011531531531531532,0.5524275767995426
0.011651651651651652,0.5541642681809863
0.011771771771771772,0.5558993178113847
0.011891891891891892,0.5576327239423036
0.012012012012012012,0.559364484972046
0.012132132132132132,0.5610945994429899
0.012252252252252252,0.562823066038954
0.012372372372372372,0.56454988358265
0.012492492492492492,0.5662750510331842
0.012612612612612612,0.5679985674835889
0.012732732732732732,0.5697204321584288
0.012852852852852852,0.5714406444114614
0.012972972972972972,0.5731592037233154
0.013093093093093092,0.5748761096992485
0.013213213213213212,0.5765913620669475
0.013333333333333332,0.5783049606743508
0.013453453453453453,0.58001690548754
0.013573573573573573,0.581727196588677
0.013693693693693693,0.5834358341739554
0.013813813813813813,0.5851428187324897
0.013933933933933934,0.5868481516789991
0.014054054054054054,0.588551834769397
0.014174174174174175,0.5902538698703524
0.014294294294294295,0.5919542589573623
0.014414414414414415,0.5936530041128447
0.014534534534534535,0.5953501075243013
0.014654654654654655,0.5970455714825154
0.014774774774774775,0.5987393983797584
0.014894894894894895,0.6004315907080621
0.015015015015015015,0.6021221510575218
0.015135135135135135,0.6038110821146104
0.015255255255255255,0.6054983866605502
0.015375375375375375,0.6071840675697179
0.015495495495495495,0.6088681278080549
0.015615615615615615,0.6105505704315347
0.015735735735735737,0.6122313985846628
0.015855855855855857,0.613910615498976
0.015975975975975977,0.6155882244916006
0.016096096096096097,0.6172642289638379
0.016216216216216217,0.6189386323994369
0.016336336336336337,0.6206114376480292
0.016456456456456457,0.6222826453978157
0.016576576576576577,0.6239522559759895
0.016696696696696697,0.6256202697847238
0.016816816816816817,0.6272866872999825
0.016936936936936937,0.62895150907032
0.017057057057057057,0.6306147357157353
0.017177177177177178,0.6322763679265447
0.017297297297297298,0.6339364064622491
0.017417417417417418,0.6355948521504496
0.017537537537537538,0.6372517058857842
0.017657657657657658,0.6389069686288543
0.017777777777777778,0.6405606414052009
0.017897897897897898,0.6422127253042983
0.018018018018018018,0.6438632214785386
0.018138138138138138,0.6455121311422632
0.018258258258258258,0.6471594555708114
