Position_m,Temperature_t=0.00000000s,Temperature_t=0.19900498s,Temperature_t=0.39800995s,Temperature_t=0.59701493s,Temperature_t=0.79601990s,Temperature_t=0.99502488s,Temperature_t=1.19402985s,Temperature_t=1.39303483s,Temperature_t=1.59203980s,Temperature_t=1.79104478s,Temperature_t=1.99004975s,Temperature_t=2.18905473s,Temperature_t=2.38805970s,Temperature_t=2.58706468s,Temperature_t=2.78606965s,Temperature_t=2.98507463s,Temperature_t=3.18407960s,Temperature_t=3.38308458s,Temperature_t=3.58208955s,Temperature_t=3.78109453s,Temperature_t=3.98009950s,Temperature_t=4.17910448s,Temperature_t=4.37810945s,Temperature_t=4.57711443s,Temperature_t=4.77611940s,Temperature_t=4.97512438s,Temperature_t=5.17412935s,Temperature_t=5.37313433s,Temperature_t=5.57213930s,Temperature_t=5.77114428s,Temperature_t=5.97014925s,Temperature_t=6.16915423s,Temperature_t=6.36815920s,Temperature_t=6.56716418s,Temperature_t=6.76616915s,Temperature_t=6.96517413s,Temperature_t=7.16417910s,Temperature_t=7.36318408s,Temperature_t=7.56218905s,Temperature_t=7.76119403s,Temperature_t=7.96019900s,Temperature_t=8.15920398s,Temperature_t=8.35820896s,Temperature_t=8.55721393s,Temperature_t=8.75621891s,Temperature_t=8.95522388s,Temperature_t=9.15422886s,Temperature_t=9.35323383s,Temperature_t=9.55223881s,Temperature_t=9.75124378s,Temperature_t=9.95024876s,Temperature_t=10.14925373s,Temperature_t=10.34825871s,Temperature_t=10.54726368s,Temperature_t=10.74626866s,Temperature_t=10.94527363s,Temperature_t=11.14427861s,Temperature_t=11.34328358s,Temperature_t=11.54228856s,Temperature_t=11.74129353s,Temperature_t=11.94029851s,Temperature_t=12.13930348s,Temperature_t=12.33830846s,Temperature_t=12.53731343s,Temperature_t=12.73631841s,Temperature_t=12.93532338s,Temperature_t=13.13432836s,Temperature_t=13.33333333s,Temperature_t=13.53233831s,Temperature_t=13.73134328s,Temperature_t=13.93034826s,Temperature_t=14.12935323s,Temperature_t=14.32835821s,Temperature_t=14.52736318s,Temperature_t=14.72636816s,Temperature_t=14.92537313s,Temperature_t=15.12437811s,Temperature_t=15.32338308s,Temperature_t=15.52238806s,Temperature_t=15.72139303s,Temperature_t=15.92039801s,Temperature_t=16.11940299s,Temperature_t=16.31840796s,Temperature_t=16.51741294s,Temperature_t=16.71641791s,Temperature_t=16.91542289s,Temperature_t=17.11442786s,Temperature_t=17.31343284s,Temperature_t=17.51243781s,Temperature_t=17.71144279s,Temperature_t=17.91044776s,Temperature_t=18.10945274s,Temperature_t=18.30845771s,Temperature_t=18.50746269s,Temperature_t=18.70646766s,Temperature_t=18.90547264s,Temperature_t=19.10447761s,Temperature_t=19.30348259s,Temperature_t=19.50248756s,Temperature_t=19.70149254s,Temperature_t=19.90049751s
-0.12,40.0,40.0,40.0,40.0,40.000000000000014,40.00000000000086,40.00000000001819,40.00000000020448,40.000000001467846,40.000000007560025,40.000000030220775,40.00000009907927,40.000000277282126,40.00000068241921,40.00000151081424,40.00000306219947,40.00000576149433,40.00001017482787,40.00001701785031,40.000027155475074,40.00004159323002,40.000061461215644,40.00008799220373,40.000122495666076,40.00016632954558,40.00022087143546,40.00028749058047,40.00036752181193,40.00046224221874,40.0005728510668,40.00070045322775,40.0008460461712,40.00101051041481,40.00119460321081,40.001398955169506,40.001624069475604,40.001870323333065,40.00213797127446,40.002427149984754,40.00273788431359,40.00307009417978,40.00342360210493,40.00379814114703,40.00419336303834,40.00460884636344,40.005044104642856,40.005498594214096,40.005971721825475,40.006462851878894,40.00697131327551,40.007496405833066,40.00803740625677,40.008593573655574,40.00916415460454,40.00974838776041,40.01034550804308,40.01095475039942,40.011575353168894,40.01220656107248,40.012847627847584,40.01349781855242,40.014156411563356,40.01482270028864,40.0154959946214,40.01617562215395,40.016860929174676,40.01755128146758,40.01824606493369,40.01894468605205,40.01964657219719,40.02035117182847,40.021057954565926,40.02176641116565,40.02247605340715,40.023186413903744,40.02389704584624,40.02460752268926,40.02531743778851,40.0260264039968,40.026734053225525,40.02744003597793,40.02814402085967,40.02884569407154,40.02954475888894,40.03024093513187,40.03093395862903,40.031623580678946,40.032309567510964,40.0329916997483,40.03366977187532,40.03434359171066,40.03501297988782,40.03567776934443,40.03633780482129,40.03699294237202,40.037643048884235,40.03828800161257,40.038927687724225,40.03956200385727,40.040190855692025,40.04081415753559
-0.11975999999999999,40.0,40.0,40.0,40.0,40.000000000000014,40.00000000000086,40.00000000001822,40.00000000020471,40.00000000146917,40.000000007565724,40.00000003024017,40.00000009913411,40.00000027741582,40.000000682708425,40.00000151138145,40.000003063224845,40.00000576322546,40.000010177585985,40.00001702203228,40.00002716155116,40.00004160173755,40.000061472749344,40.00008800740359,40.00012251520357,40.00016635410926,40.00022090171658,40.000287527259346,40.000367565545524,40.000462293629695,40.000572910734284,40.000700521680024,40.00084612387995,40.00101059779126,40.001194700603236,40.00139906286229,40.0016241876894,40.00187045222603,40.002138110944315,40.00242730047154,40.002738045602925,40.0030702662065,40.003423784756976,40.00379833426952,40.004193566437635,40.004609059811266,40.005044327880306,40.005498826955495,40.00597196376213,40.00646310268263,40.00697157260197,40.00749667332485,40.0080376815463,40.008593856367746,40.00916444435916,40.00974868417437,40.01034581073239,40.01095505898096,40.011575667262036,40.01220688030046,40.01284795183877,40.01349814694137,40.01415674399176,40.0148230364061,40.0154963340861,40.01617596463323,40.01686127434543,40.01755162901668,40.0182464145582,40.018945037459446,40.01964692510547,40.020351525966255,40.021058309672426,40.02176676699066,40.022476409710954,40.02318677045702,40.023897402429924,40.02460787909433,40.02531779381585,40.02602675945695,40.02673440793847,40.02744038977287,40.02814437357474,40.02884604555358,40.029545108993204,40.03024128372181,40.030934305575954,40.03162392586181,40.03230991081606,40.03299204106902,40.033670111111874,40.03434392876981,40.03501331468264,40.035678101794026,40.03633813485056,40.036993269911434,40.03764337386958,40.0382883239847,40.03892800742887,40.03956232084481,40.04019116991725,40.040814468957535
-0.11951999999999999,40.0,40.0,40.0,40.0,40.000000000000014,40.00000000000087,40.00000000001829,40.000000000205375,40.000000001473126,40.00000000758283,40.00000003029839,40.00000009929863,40.00000027781691,40.000000683576076,40.000001513083056,40.00000306630097,40.000005768418866,40.00001018586032,40.000017034578185,40.00002717977941,40.000041627260124,40.00006150735045,40.00008805300317,40.000122573816064,40.00016642780031,40.000220992559946,40.000287637296,40.000367696746295,40.00046244786257,40.00057308973674,40.00070072703683,40.000846357006225,40.0010108599206,40.001194992780526,40.00139938594065,40.00162454233079,40.00187083890492,40.00213852995388,40.0024277519319,40.002738529470925,40.00307078228664,40.00342433271311,40.00379891363696,40.004194176635515,40.004609700154745,40.00504499759264,40.005499525179694,40.005972689572104,40.00646385509383,40.00697235058135,40.00749747580021,40.00803850741489,40.00859470450426,40.009165313622994,40.009749573416244,40.010346718800314,40.01095598472559,40.01157660954145,40.0122078379844,40.01284892381232,40.01349913210822,40.01415774127696,40.01482404475846,40.0154973524802,40.01617699207104,40.0168623098577,40.01755267166397,40.01824746343172,40.01894609168162,40.019647983830325,40.0203525883796,40.02105937499192,40.02176783446568,40.02247747862237,40.02318784011687,40.02389847218095,40.02460894830954,40.025318861897865,40.0260278258374,40.02673547207733,40.02744145115769,40.02814543171995,40.02884709999969,40.029546159306015,40.03024232949161,40.03093534641672,40.03162496141038,40.03231094073134,40.032993065031185,40.03367112882153,40.03434493994727,40.03501431906709,40.0356790991428,40.03633912493838,40.03699425252969,40.0376443488256,40.038289291101094,40.03892896654282,40.03956327180742,40.04019211259293,40.04081540322337
-0.11927999999999998,40.0,40.0,40.0,40.0,40.000000000000014,40.000000000000874,40.00000000001841,40.0000000002065,40.00000000147976,40.00000000761148,40.00000003039591,40.000000099574244,40.00000027848878,40.000000685029384,40.000001515933086,40.000003071452944,40.0000057771166,40.00001019971742,40.000017055588344,40.00002721030484,40.00004166999991,40.00006156529197,40.00008812936103,40.00012267196307,40.000166551194894,40.00022114467413,40.000287821546834,40.00036791643342,40.00046270611333,40.00057338946002,40.000701070885775,40.00084674734993,40.00101129882425,40.00119548199334,40.00139992689079,40.001625136126364,40.001871486340114,40.00213923151937,40.00242850782863,40.00273933962649,40.00307164637357,40.003425250168455,40.00379988368262,40.00419519829882,40.004610772289,40.00504611889729,40.00550069421982,40.00597390479714,40.006465114855324,40.00697365314968,40.00749881938015,40.00803989016016,40.00859612453078,40.009166769021064,40.00975106226167,40.010348239164344,40.01095753468394,40.01157818718225,40.0122094414153,40.0128505511667,40.01350078155056,40.01415941100755,40.01482573301736,40.015499057550585,40.01617871228199,40.01686404358646,40.017554417337706,40.018249219528904,40.018947856733,40.01964975641953,40.020354367143526,40.02106115862072,40.021769621702646,40.02247926826353,40.02318963101042,40.02390026322654,40.02461073845739,40.025320650147854,40.026029611237966,40.02673725372433,40.027443228193206,40.02814720333103,40.02884886541705,40.02954791780271,40.0302440803817,40.03093708905392,40.031626695186695,40.03231266507572,40.03299477940814,40.03367283272986,40.03434663291869,40.03501600066496,40.03568076896086,40.03634078259947,40.03699589768455,40.03764598115168,40.038290910301384,40.03893057234474,40.0395648639617,40.04019369087258,40.04081696742259
-0.11903999999999999,40.0,40.0,40.0,40.0,40.000000000000014,40.00000000000089,40.00000000001859,40.000000000208075,40.000000001489106,40.00000000765186,40.00000003053331,40.00000009996248,40.000000279435056,40.00000068707607,40.00000151994641,40.00000307870725,40.000005789362795,40.00001021922687,40.000017085167265,40.000027253278056,40.00004173016624,40.00006164685591,40.000088236846736,40.00012281011721,40.00016672488461,40.00022135878551,40.000288080888566,40.000368225648835,40.00046306960328,40.00057381131779,40.00070155484476,40.000847296743736,40.00101191655875,40.00119617052977,40.001400688238526,40.0016259718444,40.00187239754569,40.002140218902596,40.00242957167189,40.002740479827516,40.0030728624712,40.00342654137014,40.00380124889304,40.0041966361489,40.00461228116479,40.00504769696831,40.00550233946655,40.00597561503734,40.006466887769015,40.00697548630266,40.00750071024598,40.00804183614047,40.00859812297408,40.00916881723984,40.009753157547976,40.01035037880389,40.01095971596869,40.011580407421675,40.01221169794634,40.01285284136249,40.01350310282806,40.014161760834085,40.01482810891624,40.015501457105806,40.01618113314214,40.0168664834679,40.017556874027086,40.01825169088506,40.01895034068831,40.019652250980855,40.02035687039262,40.02106366871435,40.021772136872315,40.02248178681498,40.023192151322775,40.02390278375135,40.02461325771742,40.02532316673569,40.02603212381454,40.02673976101731,40.02744572899533,40.02814969649828,40.028851349866876,40.029550392512164,40.03024654438551,40.030939541442635,40.03162913510474,40.03231509171949,40.032997192024126,40.03367523061275,40.03434901540952,40.03501836714929,40.03568311886699,40.036343115396676,40.036998212881365,40.03764827829422,40.038293188971714,40.038932832159276,40.03956710456969,40.04019591195458,40.04081916868906
-0.11879999999999999,40.0,40.0,40.0,40.0,40.000000000000014,40.0000000000009,40.000000000018815,40.00000000021013,40.00000000150122,40.00000000770415,40.000000030711185,40.00000010046498,40.00000028065966,40.000000689724345,40.000001525138764,40.0000030880918,40.00000580520378,40.00001024446137,40.00001712342376,40.00002730885539,40.000041807975855,40.000061752333536,40.00008837584115,40.00012298876468,40.000166949476906,40.00022163563879,40.00028841621873,40.00036862545791,40.00046353957967,40.00057435675229,40.000702180562776,40.000848007053854,40.001012715216625,40.00119706071617,40.00140167255021,40.00162705229586,40.001873575580404,40.002141495411934,40.0024309470202,40.00274195388196,40.00307443463502,40.003428210618274,40.0038030138091,40.00419849496262,40.00461423178945,40.005049737037346,40.00550446636904,40.00597782595206,40.00646917969674,40.00697785609655,40.007503154639984,40.008044351775645,40.008600706422776,40.009171465027904,40.00975586617488,40.01035314476089,40.01096253575516,40.011583277559666,40.0122146149934,40.012855801922974,40.01350610356299,40.0141647984696,40.01483118025086,40.01550455901649,40.016184262589384,40.016869637499795,40.01756004978258,40.01825488559642,40.018953551682905,40.01965547568229,40.02036010632134,40.02106691348776,40.02177538820445,40.022485042515804,40.02319540929715,40.02390604199775,40.02461651432633,40.0253264198879,40.02603537177918,40.02674300214978,40.0274489617351,40.028152919366626,40.028854561464506,40.02955359151681,40.0302497295495,40.03094271159042,40.03163228913041,40.03231822858434,40.033000310754176,40.03367833029634,40.034352095194905,40.03502142624228,40.03568615652862,40.03634613094095,40.037001205673036,40.037651247746616,40.03829613454464,40.03893575335694,40.03957000093873,40.04019878308213,40.040822014200856
-0.11855999999999998,40.0,40.0,40.0,40.0,40.000000000000014,40.00000000000092,40.00000000001909,40.00000000021266,40.00000000151614,40.00000000776856,40.00000003093022,40.00000010108356,40.00000028216678,40.000000692982965,40.00000153152683,40.00000309963599,40.000005824688124,40.000010275496884,40.00001717047116,40.00002737719913,40.000041903653155,40.000061882025676,40.00008854673683,40.000123208405604,40.000167225595646,40.000221975997576,40.00028882845636,40.0003691169501,40.00046411731653,40.00057502723508,40.000702949720754,40.00084888018098,40.00101369692727,40.0011981549182,40.00140288243369,40.00162838033534,40.00187502354869,40.002143064403356,40.00243263748146,40.002743765648795,40.00307636697309,40.003430262266974,40.003805183026934,40.00420077957333,40.0046166292279,40.00505224439453,40.00550708043576,40.00598054326075,40.0064719965611,40.00698076864897,40.007506158866384,40.0080474435478,40.00860388152813,40.00917471919677,40.009759195105175,40.01035654414051,40.010966001282,40.011586804959485,40.01221820003564,40.01285944043464,40.0135097914407,40.01416853169005,40.01483495487969,40.01550837121578,40.01618810862386,40.01687351374185,40.01756395271629,40.01825881182052,40.018957497913036,40.019659438752356,40.020364083184255,40.0210709012156,40.021779383988054,40.022489043663874,40.023199413235055,40.02391004626586,40.02462051657813,40.02533041788782,40.02603936340022,40.02674698537097,40.02745293463879,40.028156880135676,40.028858508379386,40.02955752295268,40.03025364397316,40.03094660755729,40.03163616528153,40.032322083643315,40.03300414352416,40.03368213965706,40.0343558800997,40.03502518571525,40.03568988966171,40.03634983689121,40.037004883659876,40.03765489704914,40.03829975449905,40.03893934335402,40.03957356042142,40.04020231154308,40.0408255111802
-0.11832,40.0,40.0,40.0,40.0,40.00000000000002,40.00000000000094,40.000000000019426,40.00000000021567,40.00000000153394,40.000000007845316,40.00000003119111,40.00000010182011,40.00000028396088,40.00000069686123,40.00000153912823,40.00000311337076,40.00000584786674,40.00001031241274,40.0000172264274,40.00002745847774,40.000042017430445,40.00006203624307,40.0000887499384,40.00012346955453,40.00016755388155,40.000222380644935,40.000289318542585,40.00036970123964,40.00046480411534,40.00057582426791,40.0007038640324,40.00084991806115,40.00101486385794,40.00119945554171,40.001404320539336,40.00162995886212,40.0018767446017,40.00214492928147,40.002434646713986,40.00274591903907,40.00307866364711,40.00343270072538,40.00380776119903,40.00420349487185,40.004619478603544,40.00505522438948,40.00551018723556,40.00598377274393,40.006475344346434,40.00698423013979,40.00750972929205,40.008051118002136,40.008607655004774,40.00917858662153,40.00976315136545,40.0103605841118,40.01097011985177,40.01159099704834,40.01222246061612,40.01286376454773,40.01351417421017,40.01417296833483,40.01483944072443,40.01551290169977,40.01619267930837,40.01687812031613,40.01756859100229,40.018263477776514,40.01896218763617,40.01966414848035,40.02036880929628,40.02107564023242,40.02178413257154,40.02249379861602,40.02320417149645,40.02391480491378,40.02462527282427,40.025335169075696,40.02604410700239,40.02675171898598,40.027457655987945,40.028161587059756,40.02886319883516,40.029562195009404,40.03025829580901,40.030951237455774,40.03164077162786,40.03232666492082,40.0330086983107,40.0336866666215,40.0343603779984,40.03502965338858,40.03569432603073,40.03635424095432,40.03700925448956,40.037659233788844,40.038304056360055,40.03894360961249,40.03957779041542,40.040206504669854,40.040829666893345
-0.11807999999999999,40.0,40.0,40.0,40.0,40.00000000000002,40.00000000000096,40.00000000001982,40.00000000021919,40.00000000155467,40.00000000793466,40.00000003149464,40.00000010267673,40.000000286046735,40.000000701369004,40.000001547961574,40.000003129328626,40.00000587479295,40.00001035529173,40.00001729141523,40.00002755286604,40.00004214954821,40.00006221530667,40.00008898586292,40.000123772740864,40.00016793499273,40.00022285038394,40.000289887441284,40.0003703794663,40.000465601305834,40.00057674938348,40.00070492524507,40.000851122666646,40.00101621821465,40.001200965033746,40.001405989561015,40.001631790821165,40.00187874193834,40.002147093500554,40.002436978427575,40.00274841801699,40.00308132887342,40.0034355304587,40.00381075303522,40.00420664580752,40.00462278509937,40.005058682432306,40.00551379239852,40.00598752024413,40.006479229099654,40.006988246811986,40.00751387234744,40.00805538174776,40.00861203363152,40.0091830742417,40.009767742046805,40.01036527190843,40.01097489883164,40.01159586131798,40.012227404342376,40.01286878197686,40.01351925968454,40.01417811630727,40.01484464577045,40.015518158527925,40.01619798276876,40.01688346540738,40.017573972877,40.018268891745464,40.01896762917128,40.019669613216664,40.020374293032944,40.02108113893288,40.02178964236298,40.022499315788195,40.023209692499925,40.02392032635769,40.024630791473726,40.025340681848775,40.026049610966865,40.02675721135578,40.02746313411948,40.02816704844799,40.02886864110967,40.02956761593026,40.03026369326266,40.03095660945086,40.031646116291036,40.03233198049256,40.03301398314118,40.03369191916644,40.034365596815036,40.03503483713166,40.035699473448574,40.03635935088497,40.03701432585706,40.0376642655995,40.03830904769893,40.03894855963987,40.03958269836347,40.04021136983932,40.04083448865041
-0.11783999999999999,40.0,40.0,40.0,40.0,40.00000000000002,40.00000000000099,40.000000000020265,40.000000000223224,40.00000000157839,40.00000000803686,40.00000003184166,40.00000010365561,40.00000028842943,40.00000070651675,40.000001558046506,40.00000314754377,40.000005905522585,40.00001040422026,40.00001736556236,40.000027660545406,40.00004230025537,40.00006241954794,40.0000892549403,40.00012411850929,40.000168369605234,40.000223386038336,40.00029053613972,40.000371152796,40.00046651024677,40.00057780414628,40.000706135140646,40.00085249600693,40.00101776224318,40.00120268588357,40.00140789223712,40.00163387920418,40.00188101880632,40.002149560565655,40.00243963638458,40.002751266600995,40.00308436692415,40.00343875598932,40.00381416330374,40.004210237389216,40.00462655395892,40.00506262399454,40.00551790161698,40.00599179166679,40.0064836569312,40.00699282497256,40.00751859452741,40.0080602414585,40.00861702425216,40.009188189061895,40.00977297430559,40.010370614829306,40.01098034565406,40.01160140532538,40.01223303888698,40.01287450050152,40.013525055741646,40.01418398357513,40.01485057806729,40.01552414982356,40.0162040271944,40.01688955726348,40.01758010663956,40.01827506207072,40.018973830899185,40.01967584137304,40.02038054283066,40.02108740577204,40.02179592183033,40.02250560365571,40.02321598472286,40.02392661907205,40.02463708099322,40.02534696466147,40.0260558837314,40.02676347089737,40.027469377425696,40.028173272664326,40.028874843535,40.02957379401218,40.03026984459277,40.03096273176002,40.03165220744459,40.032338038485555,40.03302000609367,40.03369790531877,40.03437154452321,40.03504074486282,40.035705339776484,40.03636517448566,40.03702010550452,40.037670000161505,40.03831473613297,40.03895420098917,40.03958829175316,40.0402169144727,40.04083998380532
