Position_m,Temperature_t=0.00000000s,Temperature_t=0.83333333s,Temperature_t=1.66666667s,Temperature_t=2.50000000s,Temperature_t=3.33333333s,Temperature_t=4.16666667s,Temperature_t=5.00000000s,Temperature_t=5.83333333s,Temperature_t=6.66666667s,Temperature_t=7.50000000s,Temperature_t=8.33333333s,Temperature_t=9.16666667s,Temperature_t=10.00000000s,Temperature_t=10.83333333s,Temperature_t=11.66666667s,Temperature_t=12.50000000s,Temperature_t=13.33333333s,Temperature_t=14.16666667s,Temperature_t=15.00000000s,Temperature_t=15.83333333s,Temperature_t=16.66666667s,Temperature_t=17.50000000s,Temperature_t=18.33333333s,Temperature_t=19.16666667s
-0.12,40.0,40.0,40.0,40.0,40.0000000000003,40.00000000002679,40.00000000068965,40.00000000800679,40.00000005424638,40.00000025110774,40.00000087933519,40.00000249497376,40.00000601742909,40.00001276905318,40.000024453760574,40.00004308091993,40.0000708525901,40.00011003559895,40.00016283729956,40.000231298262484,40.00031720916365,40.00042205410386,40.00054697905357,40.00069278201811
-0.11975999999999999,40.0,40.0,40.0,40.0,40.0000000000003,40.00000000002693,40.00000000069232,40.0000000080306,40.000000054373956,40.000000251585966,40.00000088071725,40.00000249826137,40.00000602416551,40.000012781336096,40.0000244741716,40.00004311238951,40.00007089822681,40.000110098512046,40.000162920437184,40.0002314042795,40.000317340325395,40.00042221222602,40.00054716547466,40.000692997598975
-0.11951999999999999,40.0,40.0,40.0,40.0,40.000000000000306,40.00000000002735,40.000000000700325,40.000000008102006,40.00000005475669,40.00000025302063,40.00000088486344,40.00000250812421,40.00000604437477,40.00001281818484,40.000024535404684,40.00004320679825,40.00007103513693,40.00011028725134,40.000163169850055,40.000231722330554,40.00031773381064,40.00042268659251,40.00054772473793,40.00069364434156
-0.11927999999999998,40.0,40.0,40.0,40.0,40.00000000000032,40.00000000002806,40.00000000071373,40.00000000822147,40.00000005539655,40.00000025541789,40.00000089178898,40.000002524593896,40.00000607811434,40.00001287969369,40.00002463760248,40.00004336434856,40.000071263593085,40.000110602168654,40.00016358597651,40.00023225294593,40.00031839024519,40.00042347792646,40.000548657664055,40.000694723162894
-0.11903999999999999,40.0,40.0,40.0,40.0,40.000000000000334,40.000000000029054,40.00000000073265,40.00000000838969,40.00000005629653,40.00000025878702,40.00000090151642,40.00000254771639,40.00000612546622,40.00001296599461,40.00002478096089,40.00004358531317,40.00007158395585,40.00011104372106,40.00016416937618,40.00023299679138,40.000319310402205,40.000424587107716,40.000549965237134,40.00069623514756
-0.11879999999999999,40.0,40.0,40.0,40.0,40.000000000000355,40.000000000030354,40.0000000007572,40.00000000860762,40.0000000574607,40.00000026314047,40.00000091407574,40.00000257755215,40.00000618653709,40.000013077257435,40.00002496572932,40.00004387003548,40.000071996674166,40.000111612471265,40.00016492073038,40.000233954668566,40.00032049520263,40.000426015173225,40.000551648605104,40.00069818154811
-0.11855999999999998,40.0,40.0,40.0,40.0,40.000000000000384,40.00000000003197,40.00000000078757,40.00000000887648,40.00000005889424,40.00000026849389,40.000000929504345,40.00000261417618,40.000006261458495,40.00001321369014,40.00002519221093,40.000044218929844,40.00007250228565,40.00011230908798,40.000165840842534,40.000235127515445,40.00032194571564,40.00042776331754,40.00055370908018,40.00070056378554
-0.11832,40.0,40.0,40.0,40.0,40.00000000000041,40.000000000033914,40.00000000082398,40.000000009197755,40.00000006060336,40.00000027486617,40.00000094784723,40.00000265767824,40.000006350387004,40.000013375539055,40.00002546076299,40.00004463248193,40.00007310141705,40.00011313434641,40.00016693063868,40.0002365164068,40.00032366315913,40.00042983289325,40.00055614813935,40.00070338344968
-0.11807999999999999,40.0,40.0,40.0,40.0,40.000000000000455,40.0000000000362,40.00000000086669,40.00000000957319,40.00000006259545,40.00000028227947,40.000000969157,40.00000270816292,40.00000645350448,40.00001356308918,40.00002577179724,40.00004511124923,40.00007379478472,40.00011408912873,40.00016819116791,40.00023812255476,40.00032564890022,40.00043222541153,40.00055896742484,40.00070664229971
-0.11783999999999999,40.0,40.0,40.0,40.0,40.0000000000005,40.00000000003887,40.000000000916,40.00000001000484,40.000000064878996,40.00000029075936,40.00000099349407,40.000002765749926,40.00000657101835,40.00001377666459,40.00002612578032,40.00004565586144,40.00007458319513,40.000115174424664,40.00016962360305,40.00023994730934,40.00032790445583,40.00043494254262,40.00056216874461,40.00071034226458
-0.1176,40.0,40.0,40.0,40.0,40.00000000000055,40.00000000004193,40.00000000097227,40.000000010495015,40.00000006746371,40.00000030033479,40.000001020926746,40.00000283057424,40.000006703161894,40.00001401662873,40.00002652323424,40.000046267021105,40.00007546754545,40.00011639133207,40.00017122924117,40.000241992159054,40.00033043149324,40.00043798611642,40.00056575407289,40.000714485443545
