r_m,B_tesla_phi_5.4978
0.0,1.1324951334231155
0.00015,1.1325697503951286
0.0003,1.1326442425669911
0.00045,1.1327186095159347
0.0006,1.1327928508188072
0.0007499999999999999,1.1328669660520712
0.0009,1.1329409547918088
0.00105,1.1330148166137204
0.0012,1.1330885510930226
0.0013499999999999999,1.1331621577947635
0.0014999999999999998,1.1332356362658635
0.0016499999999999998,1.1333089860509742
0.0018,1.133382206694353
0.00195,1.1334552977398633
0.0021,1.1335282587309727
0.00225,1.1336010892107582
0.0024,1.1336737887219035
0.0025499999999999997,1.1337463568066992
0.0026999999999999997,1.1338187930070454
0.0028499999999999997,1.1338910968644507
0.0029999999999999996,1.1339632679200342
0.0031499999999999996,1.134035305714524
0.0032999999999999995,1.1341072097882594
0.0034499999999999995,1.1341789796811914
0.0036,1.134250614932882
0.00375,1.1343221150815688
0.0039,1.1343934796482835
0.00405,1.1344647081391106
0.0042,1.134535800059253
0.00435,1.1346067549135095
0.0045,1.1346775722062807
0.00465,1.1347482514415628
0.0048,1.1348187921229518
0.0049499999999999995,1.134889193753646
0.0050999999999999995,1.1349594558364424
0.0052499999999999995,1.1350295778737396
0.005399999999999999,1.1350995593675384
0.005549999999999999,1.1351693998194432
0.005699999999999999,1.1352390987306573
0.005849999999999999,1.1353086556019931
0.005999999999999999,1.1353780699338631
0.006149999999999999,1.1354473412262878
0.006299999999999999,1.1355164689753496
0.006449999999999999,1.1355854526533957
0.006599999999999999,1.1356542917229118
0.006749999999999999,1.1357229856459472
0.006899999999999999,1.1357915338841398
0.007049999999999999,1.1358599358987171
0.0072,1.1359281911504995
0.00735,1.135996299099896
0.0075,1.1360642592069083
0.00765,1.1361320709311316
0.0078,1.1361997337317542
0.007949999999999999,1.1362672470675574
0.0081,1.1363346103969172
0.008249999999999999,1.1364018231778064
0.0084,1.136468884867791
0.008549999999999999,1.1365357949240358
0.0087,1.1366025528032901
0.008849999999999998,1.1366691579526111
0.009,1.1367356097923258
0.009149999999999998,1.1368019077377138
0.0093,1.1368680512036347
0.009449999999999998,1.1369340396045275
0.0096,1.1369998723544135
0.00975,1.1370655488668941
0.009899999999999999,1.1371310685551541
0.01005,1.137196430831962
0.010199999999999999,1.137261635109668
0.01035,1.137326680800209
0.010499999999999999,1.1373915673151045
0.01065,1.1374562940654624
0.010799999999999999,1.1375208604619762
0.01095,1.1375852659149261
0.011099999999999999,1.1376495098341801
0.01125,1.1377135916287329
0.011399999999999999,1.1377775106888144
0.01155,1.1378412663801918
0.011699999999999999,1.137904858066575
0.01185,1.137968285111243
0.011999999999999999,1.138031546877045
0.01215,1.1380946427264023
0.012299999999999998,1.138157572021307
0.01245,1.138220334123324
0.012599999999999998,1.1382829283935922
0.01275,1.138345354192824
0.012899999999999998,1.1384076108813073
0.013049999999999999,1.138469697818905
0.013199999999999998,1.1385316143650557
0.013349999999999999,1.1385933598787774
0.013499999999999998,1.1386549337186627
0.013649999999999999,1.138716335242886
0.013799999999999998,1.138777563806658
