Position_m,Temperature_t=0.00000000s,Temperature_t=0.47619048s,Temperature_t=0.95238095s,Temperature_t=1.42857143s,Temperature_t=1.90476190s,Temperature_t=2.38095238s,Temperature_t=2.85714286s,Temperature_t=3.33333333s,Temperature_t=3.80952381s,Temperature_t=4.28571429s,Temperature_t=4.76190476s,Temperature_t=5.23809524s,Temperature_t=5.71428571s,Temperature_t=6.19047619s,Temperature_t=6.66666667s,Temperature_t=7.14285714s,Temperature_t=7.61904762s,Temperature_t=8.09523810s,Temperature_t=8.57142857s,Temperature_t=9.04761905s,Temperature_t=9.52380952s,Temperature_t=10.00000000s,Temperature_t=10.47619048s,Temperature_t=10.95238095s,Temperature_t=11.42857143s,Temperature_t=11.90476190s,Temperature_t=12.38095238s,Temperature_t=12.85714286s,Temperature_t=13.33333333s,Temperature_t=13.80952381s,Temperature_t=14.28571429s,Temperature_t=14.76190476s,Temperature_t=15.23809524s,Temperature_t=15.71428571s,Temperature_t=16.19047619s,Temperature_t=16.66666667s,Temperature_t=17.14285714s,Temperature_t=17.61904762s,Temperature_t=18.09523810s,Temperature_t=18.57142857s,Temperature_t=19.04761905s,Temperature_t=19.52380952s
-0.12,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0000000000002,1000.0000000000006,1000.0000000000015,1000.0000000000036,1000.0000000000086,1000.0000000000192,1000.0000000000412,1000.0000000000846,1000.0000000001671,1000.0000000003191,1000.00000000059,1000.0000000010588,1000.0000000018479,1000.0000000031431,1000.0000000052192,1000.0000000084744,1000.0000000134745
-0.11975999999999999,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0000000000002,1000.0000000000006,1000.0000000000015,1000.0000000000036,1000.0000000000086,1000.0000000000192,1000.0000000000412,1000.0000000000846,1000.0000000001671,1000.0000000003191,1000.00000000059,1000.0000000010588,1000.0000000018479,1000.0000000031431,1000.0000000052192,1000.0000000084744,1000.0000000134745
-0.11952,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0000000000002,1000.0000000000006,1000.0000000000015,1000.0000000000038,1000.0000000000088,1000.0000000000197,1000.000000000042,1000.000000000086,1000.0000000001697,1000.0000000003239,1000.0000000005984,1000.0000000010731,1000.0000000018717,1000.0000000031818,1000.0000000052805,1000.0000000085697,1000.0000000136196
-0.11928,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0000000000002,1000.0000000000006,1000.0000000000016,1000.0000000000039,1000.0000000000091,1000.0000000000203,1000.0000000000434,1000.0000000000888,1000.0000000001751,1000.0000000003336,1000.0000000006153,1000.000000001102,1000.0000000019197,1000.0000000032596,1000.000000005404,1000.0000000087614,1000.0000000139112
-0.11903999999999999,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0000000000002,1000.0000000000007,1000.0000000000017,1000.0000000000041,1000.0000000000097,1000.0000000000215,1000.0000000000456,1000.0000000000931,1000.0000000001831,1000.0000000003481,1000.000000000641,1000.0000000011457,1000.0000000019925,1000.0000000033777,1000.0000000055911,1000.0000000090517,1000.0000000143528
-0.11879999999999999,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0000000000002,1000.0000000000007,1000.0000000000018,1000.0000000000044,1000.0000000000103,1000.000000000023,1000.0000000000487,1000.0000000000989,1000.0000000001941,1000.0000000003679,1000.0000000006758,1000.000000001205,1000.000000002091,1000.0000000035374,1000.0000000058441,1000.0000000094439,1000.0000000149491
-0.11856,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0000000000003,1000.0000000000008,1000.000000000002,1000.0000000000049,1000.0000000000113,1000.0000000000249,1000.0000000000525,1000.0000000001064,1000.000000000208,1000.0000000003932,1000.0000000007201,1000.0000000012806,1000.0000000022164,1000.0000000037404,1000.0000000061656,1000.0000000099423,1000.0000000157063
-0.11832,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0000000000003,1000.0000000000009,1000.0000000000023,1000.0000000000053,1000.0000000000124,1000.0000000000273,1000.0000000000573,1000.0000000001157,1000.0000000002253,1000.0000000004244,1000.0000000007747,1000.0000000013735,1000.0000000023704,1000.0000000039895,1000.0000000065594,1000.000000010552,1000.0000000166319
-0.11807999999999999,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0000000000003,1000.000000000001,1000.0000000000025,1000.000000000006,1000.0000000000138,1000.0000000000301,1000.000000000063,1000.0000000001269,1000.0000000002461,1000.0000000004618,1000.00000000084,1000.0000000014846,1000.0000000025545,1000.0000000042872,1000.0000000070298,1000.0000000112797,1000.0000000177355
-0.11784,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0000000000005,1000.0000000000011,1000.0000000000028,1000.0000000000068,1000.0000000000155,1000.0000000000335,1000.0000000000699,1000.0000000001401,1000.0000000002707,1000.0000000005061,1000.0000000009173,1000.0000000016158,1000.0000000027713,1000.0000000046372,1000.000000007582,1000.0000000121329,1000.0000000190282
