Position_m,Temperature_t=0.00000000s,Temperature_t=1.48148148s,Temperature_t=2.96296296s,Temperature_t=4.44444444s,Temperature_t=5.92592593s,Temperature_t=7.40740741s,Temperature_t=8.88888889s,Temperature_t=10.37037037s,Temperature_t=11.85185185s,Temperature_t=13.33333333s,Temperature_t=14.81481481s,Temperature_t=16.29629630s,Temperature_t=17.77777778s,Temperature_t=19.25925926s
-0.12,40.0,40.0,40.00000000000121,40.000000001891024,40.00000011973095,40.00000169211681,40.00001054113089,40.00004001473704,40.00011010731482,40.000243039701544,40.000458339330365,40.00076959941658,40.00118336282105,40.001699590353816
-0.11975999999999999,40.0,40.0,40.000000000001215,40.00000000189699,40.00000011996062,40.00000169428731,40.00001055076558,40.000040042012195,40.0001101652357,40.00024314103763,40.00045849408207,40.00076981355174,40.00118363815896,40.001699925159144
-0.11951999999999999,40.0,40.0,40.000000000001236,40.000000001914884,40.000000120649624,40.00000170079882,40.000010579669656,40.00004012383766,40.000110338998326,40.00024344504588,40.00045895833718,40.00077045595723,40.00118446417269,40.00170092957512
-0.11927999999999998,40.0,40.0,40.00000000000127,40.00000000194483,40.000000121801214,40.00000171167439,40.000010627926066,40.0000402604141,40.00011062898104,40.00024395233054,40.00045973295549,40.000771527758694,40.00118584224751,40.001702605228196
-0.11903999999999999,40.0,40.0,40.00000000000132,40.000000001987026,40.00000012342018,40.000001726946465,40.00001069564621,40.00004045199977,40.00011103565236,40.00024466361493,40.00046081893639,40.0007730302319,40.0011877739201,40.00170495389
-0.11879999999999999,40.0,40.0,40.00000000000139,40.00000000204173,40.00000012551287,40.000001746656885,40.00001078297015,40.00004069891087,40.00011155957148,40.000245579742014,40.000462217419475,40.000774964803455,40.00119026087921,40.00170797747798
-0.11855999999999998,40.0,40.0,40.00000000000148,40.000000002109275,40.00000012808719,40.00000177085707,40.00001089006683,40.000041001521915,40.00011220138881,40.00024670167508,40.00046392968533,40.000777333051516,40.00119330496638,40.00171167805606
-0.11832,40.0,40.0,40.00000000000158,40.00000000219008,40.000000131152674,40.00000179960806,40.00001101713435,40.0000413602662,40.00011296184657,40.000248030498426,40.00046595715621,40.00078013670652,40.00119690817662,40.001716057835296
-0.11807999999999999,40.0,40.0,40.0000000000017,40.00000000228461,40.000000134720466,40.000001832980665,40.000011164400235,40.000041775636255,40.0001138417794,40.00024956741806,40.00046830139678,40.000783377651906,40.00120107265908,40.00172111917447
-0.11783999999999999,40.0,40.0,40.00000000000184,40.00000000239343,40.0000001388034,40.00000187105565,40.000011332121794,40.000042248184386,40.000114842115046,40.00025131376244,40.000470964114946,40.0007870579249,40.00120580071782,40.001726864580725
-0.1176,40.0,40.0,40.000000000002004,40.00000000251718,40.000000143415996,40.000001913923825,40.00001152058646,40.00004277852318,40.00011596387503,40.000253270983286,40.00047394716258,40.000791179717254,40.00121109481242,40.0017332967102
-0.11735999999999999,40.0,40.0,40.000000000002196,40.000000002656584,40.000000148574536,40.00000196168628,40.00001173011218,40.00004336732618,40.000117208175425,40.000255440656375,40.0004772525364,40.000795745376,40.00121695755873,40.00174041836862
-0.11711999999999999,40.0,40.0,40.00000000000241,40.00000000281244,40.0000001542971,40.00000201445456,40.00001196104782,40.000044015328434,40.000118576227635,40.0002578244824,40.000480882378774,40.00080075740428,40.00122339172956,40.0017482325119
-0.11687999999999998,40.0,40.0,40.00000000000265,40.00000000298566,40.000000160603626,40.000002072350874,40.000012213773644,40.00004472332727,40.00012006933923,40.00026042428785,40.00048483897859,40.00080621846209,40.00123040025535,40.001756742246734
-0.11664,40.0,40.0,40.00000000000292,40.000000003177234,40.00000016751597,40.000002135508346,40.0000124887018,40.00004549218296,40.00012168891484,40.00026324202595,40.00048912477216,40.00081213136712,40.001237986224915,40.001765950831214
-0.11639999999999999,40.0,40.0,40.000000000003226,40.000000003388266,40.00000017505796,40.00000220407122,40.00001278627683,40.000046322819514,40.000123436457,40.0002662797776,40.00049374234411,40.00081849909556,40.00124615288612,40.00177586167536
-0.11615999999999999,40.0,40.0,40.000000000003574,40.00000000361995,40.000000183255466,40.00000227819519,40.000013106976205,40.00004721622547,40.000125313567224,40.00026953975236,40.00049869442833,40.00082532478293,40.001254903646554,40.001786478341735
-0.11592,40.0,40.0,40.00000000000396,40.00000000387361,40.0000001921365,40.00000235804764,40.00001345131097,40.00004817345477,40.00012732194689,40.000273024289484,40.000503983908935,40.0008326117249,40.00126424207429,40.00179780454598
-0.11567999999999999,40.0,40.0,40.00000000000439,40.000000004150685,40.000000201731254,40.000002443807944,40.00001381982633,40.000049195627675,40.00012946339839,40.00027673585901,40.00050961382122,40.00084036337818,40.001274171898544,40.001809844157385
-0.11543999999999999,40.0,40.0,40.00000000000487,40.00000000445273,40.00000021207223,40.000002535667846,40.00001421310228,40.000050283931664,40.00013173982613,40.0002806770628,40.0005155873527,40.00084858336133,40.00128469701038,40.00182260119945
-0.1152,40.0,40.0,40.00000000000541,40.00000000478145,40.00000022319431,40.00000263383174,40.0000146317544,40.00005143962245,40.00013415323774,40.0002848506357,40.000521907844096,40.000857275455665,40.0012958214634,40.00183607985038
-0.11495999999999999,40.0,40.0,40.000000000006004,40.00000000513867,40.00000023513486,40.000002738517075,40.00001507643446,40.00005266402504,40.000136705745206,40.000289259446745,40.000528578790416,40.000866443606114,40.0013075494745,40.00185028444367
-0.11471999999999999,40.0,40.0,40.000000000006665,40.0000000055264,40.00000024793385,40.000002849954726,40.00001554783128,40.00005395853476,40.000139399566116,40.00029390650028,40.00053560384202,40.00087609192214,40.001319885424486,40.0018652194686
-0.11447999999999998,40.0,40.0,40.000000000007404,40.00000000594679,40.00000026163391,40.00000296838941,40.00001604667154,40.000055324618415,40.000142237024924,40.00029879493728,40.00054298680571,40.0008862246786,40.00133283385885,40.001880889570735
-0.11424,40.0,40.0,40.00000000000823,40.00000000640215,40.000000276280524,40.00000309408011,40.000016573720536,40.00005676381547,40.00014522055424,40.00030392803656,40.00055073164586,40.00089684631671,40.00134639948841,40.001897299552475
-0.11399999999999999,40.0,40.0,40.000000000009145,40.00000000689501,40.000000291922134,40.00000322730053,40.00001712978318,40.00005827773927,40.00014835269623,40.00030930921612,40.00055884248553,40.000907961444895,40.00136058719005,40.001914454373505
-0.11375999999999999,40.0,40.0,40.00000000001016,40.00000000742806,40.00000030861025,40.00000336833957,40.00001771570483,40.000059868078274,40.000151636103986,40.00031494203449,40.00056732360767,40.00091957483979,40.0013754020074,40.00193235915132
-0.11352,40.0,40.0,40.00000000001129,40.00000000800422,40.000000326399594,40.00000351750183,40.0000183323723,40.00006153659741,40.000155073543,40.0003208301921,40.00057617945626,40.00093169144716,40.001390849151505,40.00195101916166
-0.11327999999999999,40.0,40.0,40.00000000001254,40.00000000862662,40.0000003453483,40.00000367510811,40.00001898071486,40.00006328513941,40.00015866789262,40.00032697753269,40.00058541463756,40.00094431638279,40.00140693400157,40.00197043983903
-0.11303999999999999,40.0,40.0,40.00000000001393,40.000000009298645,40.000000365518,40.000003841495996,40.00001966170528,40.00006511562628,40.00016242214765,40.000333388044766,40.000595033921314,40.000957454933555,40.00142366210562,40.00199062677712
-0.11279999999999998,40.0,40.0,40.00000000001547,40.0000000100239,40.00000038697405,40.000004017020395,40.0000203763609,40.00006703006067,40.000166339419884,40.00034006586311,40.00060504224202,40.000971112558275,40.00144103918119,40.002011585729264
-0.11256,40.0,40.0,40.00000000001718,40.00000001080631,40.00000040978569,40.000004202054164,40.00002112574478,40.00006903052749,40.00017042293975,40.00034701527025,40.000615444700195,40.000985294888785,40.001459071116,40.00203332260889
-0.11231999999999999,40.0,40.0,40.00000000001907,40.000000011650044,40.00000043402623,40.00000439698873,40.00002191096687,40.000071119195404,40.00017467605802,40.00035424069809,40.00062624656364,40.00100000773084,40.001477763968694,40.002055843489906
-0.11207999999999999,40.0,40.0,40.000000000021174,40.0000000125596,40.00000045977321,40.000004602234725,40.00002273318522,40.000073298318455,40.000179102247515,40.000361746729425,40.00063745326883,40.001015257065156,40.00149712396944,40.00207915460718
