Position_m,Temperature_t=0.00000000s,Temperature_t=0.15384615s,Temperature_t=0.30769231s,Temperature_t=0.46153846s,Temperature_t=0.61538462s,Temperature_t=0.76923077s,Temperature_t=0.92307692s,Temperature_t=1.07692308s,Temperature_t=1.23076923s,Temperature_t=1.38461538s,Temperature_t=1.53846154s,Temperature_t=1.69230769s,Temperature_t=1.84615385s,Temperature_t=2.00000000s,Temperature_t=2.15384615s,Temperature_t=2.30769231s,Temperature_t=2.46153846s,Temperature_t=2.61538462s,Temperature_t=2.76923077s,Temperature_t=2.92307692s,Temperature_t=3.07692308s,Temperature_t=3.23076923s,Temperature_t=3.38461538s,Temperature_t=3.53846154s,Temperature_t=3.69230769s,Temperature_t=3.84615385s,Temperature_t=4.00000000s,Temperature_t=4.15384615s,Temperature_t=4.30769231s,Temperature_t=4.46153846s,Temperature_t=4.61538462s,Temperature_t=4.76923077s,Temperature_t=4.92307692s,Temperature_t=5.07692308s,Temperature_t=5.23076923s,Temperature_t=5.38461538s,Temperature_t=5.53846154s,Temperature_t=5.69230769s,Temperature_t=5.84615385s,Temperature_t=6.00000000s,Temperature_t=6.15384615s,Temperature_t=6.30769231s,Temperature_t=6.46153846s,Temperature_t=6.61538462s,Temperature_t=6.76923077s,Temperature_t=6.92307692s,Temperature_t=7.07692308s,Temperature_t=7.23076923s,Temperature_t=7.38461538s,Temperature_t=7.53846154s,Temperature_t=7.69230769s,Temperature_t=7.84615385s,Temperature_t=8.00000000s,Temperature_t=8.15384615s,Temperature_t=8.30769231s,Temperature_t=8.46153846s,Temperature_t=8.61538462s,Temperature_t=8.76923077s,Temperature_t=8.92307692s,Temperature_t=9.07692308s,Temperature_t=9.23076923s,Temperature_t=9.38461538s,Temperature_t=9.53846154s,Temperature_t=9.69230769s,Temperature_t=9.84615385s,Temperature_t=10.00000000s,Temperature_t=10.15384615s,Temperature_t=10.30769231s,Temperature_t=10.46153846s,Temperature_t=10.61538462s,Temperature_t=10.76923077s,Temperature_t=10.92307692s,Temperature_t=11.07692308s,Temperature_t=11.23076923s,Temperature_t=11.38461538s,Temperature_t=11.53846154s,Temperature_t=11.69230769s,Temperature_t=11.84615385s,Temperature_t=12.00000000s,Temperature_t=12.15384615s,Temperature_t=12.30769231s,Temperature_t=12.46153846s,Temperature_t=12.61538462s,Temperature_t=12.76923077s,Temperature_t=12.92307692s,Temperature_t=13.07692308s,Temperature_t=13.23076923s,Temperature_t=13.38461538s,Temperature_t=13.53846154s,Temperature_t=13.69230769s,Temperature_t=13.84615385s,Temperature_t=14.00000000s,Temperature_t=14.15384615s,Temperature_t=14.30769231s,Temperature_t=14.46153846s,Temperature_t=14.61538462s,Temperature_t=14.76923077s,Temperature_t=14.92307692s,Temperature_t=15.07692308s,Temperature_t=15.23076923s,Temperature_t=15.38461538s,Temperature_t=15.53846154s,Temperature_t=15.69230769s,Temperature_t=15.84615385s,Temperature_t=16.00000000s,Temperature_t=16.15384615s,Temperature_t=16.30769231s,Temperature_t=16.46153846s,Temperature_t=16.61538462s,Temperature_t=16.76923077s,Temperature_t=16.92307692s,Temperature_t=17.07692308s,Temperature_t=17.23076923s,Temperature_t=17.38461538s,Temperature_t=17.53846154s,Temperature_t=17.69230769s,Temperature_t=17.84615385s,Temperature_t=18.00000000s,Temperature_t=18.15384615s,Temperature_t=18.30769231s,Temperature_t=18.46153846s,Temperature_t=18.61538462s,Temperature_t=18.76923077s,Temperature_t=18.92307692s,Temperature_t=19.07692308s,Temperature_t=19.23076923s,Temperature_t=19.38461538s,Temperature_t=19.53846154s,Temperature_t=19.69230769s,Temperature_t=19.84615385s
-0.12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000004,100.00000000000031,100.00000000000196,100.0000000000099,100.00000000004158,100.00000000014926,100.00000000046997,100.00000000132394,100.00000000339014,100.00000000799317,100.000000017538,100.00000003612732,100.00000007038872,100.00000013052839,100.00000023161289,100.00000039506531,100.00000065034604,100.00000103677453,100.00000160543784,100.00000242112435,100.00000356421756,100.00000513248634,100.00000724271119,100.00001003209375,100.00001365940514,100.00001830583946,100.00002417554931,100.00003149585092,100.00004051709689,100.00005151222378,100.00006477598937,100.00008062392203,100.00009939100875,100.00012143015324,100.00014711043754,100.0001768152218,100.00021094011771,100.0002498908697,100.00029408117737,100.00034393049013,100.00039986180282,100.00046229947843,100.00053166712101,100.00060838551919,100.0006928706771,100.00078553194753,100.00088677027854,100.00099697658244,100.00111653023373,100.00124579770039,100.00138513131036,100.00153486815424,100.00169532912271,100.0018668180766,100.00204962114582,100.00224400615282,100.00245022215536,100.0026684991027,100.00289904759882,100.00314205876623,100.00339770420352,100.0036661360295,100.00394748700724,100.00424187074111,100.0045493819398,100.00487009673893,100.00520407307704,100.00555135111833,100.00591195371688,100.00628588691636,100.00667314048029,100.00707368844775,100.00748748970992,100.00791448860345,100.00835461551631,100.00880778750269,100.00927390890368,100.00975287197039,100.01024455748704,100.0107488353913,100.01126556538966,100.01179459756604,100.0123357729814,100.01288892426325,100.01345387618346,100.01403044622306,100.01461844512336,100.0152176774222,100.01582794197479,100.01644903245854,100.01708073786143,100.0177228429535,100.01837512874138,100.01903737290561,100.01970935022064,100.02039083295764,100.0210815912702,100.02178139356289,100.02249000684314,100.02320719705638,100.02393272940495,100.02466636865103,100.02540787940387,100.02615702639172,100.0269135747189,100.02767729010836,100.02844793913009,100.029225289416,100.03000910986151,100.03079917081435,100.03159524425111,100.0323971039418,100.0332045256031,100.03401728704046,100.03483516827971,100.03565795168866,100.03648542208872,100.03731736685745,100.0381535760222,100.03899384234515,100.03983796140044,100.04068573164342
-0.11975999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000004,100.00000000000031,100.00000000000196,100.00000000000993,100.00000000004164,100.00000000014944,100.0000000004705,100.00000000132526,100.00000000339321,100.00000000799977,100.00000001755133,100.00000003615261,100.0000000704343,100.00000013060676,100.00000023174219,100.00000039527096,100.0000006506624,100.0000010372469,100.00000160612439,100.00000242209799,100.0000035655679,100.00000513432137,100.00000724515887,100.00001003530322,100.0000136635478,100.00001831110967,100.00002418216475,100.0000315040526,100.00004052714894,100.00005152441271,100.00006479062328,100.00008064132933,100.00009941153672,100.00012145416642,100.00014713831582,100.00017684735852,100.00021097691743,100.00024993274617,100.00029412855123,100.00034398378672,100.00039992144995,100.00046236590417,100.00053174075167,100.00060846677717,100.00069295997903,100.00078562970245,100.00088687688616,100.0009970924315,100.00111665570073,100.00124593314807,100.00138527708665,100.0015350245912,100.00169549653562,100.00186699676317,100.00204981138556,100.00224420820653,100.00245043626475,100.00266872549001,100.00289928646673,100.00314231029773,100.00339796856188,100.00366641335843,100.00394777743101,100.00424217436478,100.00454969884949,100.00487042700226,100.00520441674345,100.00555170821957,100.00591232426748,100.00628627091419,100.00667353790702,100.00707409926949,100.00748791387784,100.0079149260543,100.00835506617307,100.00880825127525,100.00927438568938,100.00975336165472,100.01024505994421,100.01074935048489,100.01126609297327,100.01179513748384,100.01233632506876,100.01288948834734,100.01345445208379,100.01403103375209,100.01461904408701,100.01521828762039,100.01582856320198,100.01644966450422,100.01708138051058,100.01772349598707,100.01837579193678,100.01903804603708,100.01971003305968,100.02039152527347,100.02108229283004,100.02178210413243,100.02249072618677,100.02320792493762,100.02393346558671,100.02466711289593,100.02540863147449,100.02615778605093,100.02691434173005,100.02767806423553,100.02844872013833,100.02922607707153,100.03000990393193,100.0307999710688,100.03159605046046,100.03239791587885,100.03320534304261,100.0340181097594,100.03483599605737,100.0356587843067,100.03648625933135,100.03731820851154,100.03815442187727,100.03899469219355,100.03983881503741,100.0406865888671
-0.11951999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000004,100.00000000000031,100.00000000000198,100.00000000000998,100.00000000004181,100.00000000014998,100.00000000047204,100.00000000132921,100.00000000340243,100.00000000801964,100.00000001759133,100.00000003622854,100.00000007057103,100.00000013084188,100.00000023213015,100.00000039588788,100.00000065161147,100.00000103866402,100.000001608184,100.0000024250189,100.00000356961893,100.00000513982651,100.00000725250189,100.00001004493161,100.0000136759758,100.00001832692031,100.00002420201105,100.00003152865766,100.00004055730506,100.00005156097953,100.00006483452503,100.00008069355123,100.00009947312066,100.00012152620596,100.0001472219507,100.00017694376862,100.00021108731659,100.00025005837558,100.00029427067284,100.00034414367653,100.00040010039133,100.00046256518142,100.00053196164362,100.00060871055109,100.00069322788484,100.00078592296722,100.00088719670896,100.00099743997873,100.00111703210169,100.00124633949109,100.00138571441553,100.0015354939021,100.00169599877435,100.00186753282287,100.0020503821048,100.00224481436771,100.0024510785929,100.00266940465195,100.00290000307045,100.0031430648922,100.00339876163699,100.00366724534524,100.00394864870232,100.00424308523576,100.00455064957858,100.00487141779227,100.00520544774271,100.00555277952334,100.00591343591935,100.00628742290766,100.0066747301872,100.00707533173475,100.00748918638158,100.00791623840682,100.00835641814338,100.00880964259292,100.0092758160465,100.00975483070769,100.01024656731572,100.0107508957657,100.01126767572411,100.01179675723725,100.01233798133086,100.01289118059961,100.0134561797848,100.01403279633918,100.01462084097795,100.01522011821497,100.01583042688357,100.01645156064123,100.01708330845798,100.01772545508777,100.01837778152294,100.01904006543144,100.01971208157683,100.02039360222095,100.0210843975096,100.02178423584104,100.02249288421768,100.02321010858135,100.023935674132,100.02466934563063,100.02541088768639,100.02616006502858,100.02691664276348,100.027680386617,100.02845106316302,100.02922844003811,100.03001228614318,100.03080237183217,100.03159846908858,100.03240035168997,100.03320779536114,100.03402057791622,100.0348384793903,100.0356612821608,100.03648877105927,100.03732073347376,100.03815695944247,100.0389972417388,100.03984137594833,100.04068916053818
-0.11927999999999998,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000004,100.00000000000031,100.00000000000199,100.00000000001005,100.00000000004209,100.0000000001509,100.00000000047464,100.00000000133583,100.00000000341787,100.00000000805292,100.00000001765837,100.00000003635574,100.00000007080013,100.00000013123578,100.00000023278004,100.00000039692132,100.00000065320128,100.00000104103776,100.00000161163382,100.00000242991129,100.00000357640403,100.00000514904687,100.00000726480023,100.00001006105725,100.0000136967898,100.000018353399,100.0000242352479,100.0000315698635,100.0000406078065,100.00005162221599,100.00006490804405,100.00008078100244,100.00009957624857,100.00012164684159,100.00014736200232,100.00017710521182,100.00021127218366,100.00025026874467,100.00029450865681,100.00034441141173,100.00040040002654,100.00046289886687,100.00053233152036,100.00060911874087,100.0006936764803,100.00078641402273,100.00088773223204,100.00099802192216,100.00111766235615,100.00124701987863,100.00138644668367,100.00153627971855,100.00169683972256,100.0018684303981,100.0020513377109,100.0022458293145,100.00245215409419,100.00267054182402,100.00290120293116,100.00314432836048,100.00340008953293,100.0036686383905,100.00395010752091,100.00424461035522,100.00455224143154,100.00487307671814,100.00520717398975,100.00555457325089,100.0059152972003,100.00628935173108,100.00667672646105,100.00707739528877,100.00749131697026,100.00791843571245,100.00835868177913,100.00881197210599,100.00927821092124,100.0097572903688,100.01024909113134,100.01075348305064,100.01127032574288,100.0117994692071,100.01234075442488,100.0128940139496,100.01345907248422,100.01403574744596,100.01462384951724,100.01522318318182,100.0158335472455,100.01645473534084,100.01708653641528,100.01772873520257,100.01838111267708,100.019043446491,100.01971551139418,100.02039707963681,100.02108792135485,100.02178780493861,100.0224964973843,100.02321376462916,100.02393937187016,100.02467308386679,100.02541466522814,100.02616388068473,100.02692049534542,100.0276842749398,100.02845498604657,100.02923239630823,100.03001627463253,100.03080639138126,100.03160251854656,100.03240442991549,100.03321190122304,100.03402471029428,100.03484263717583,100.03566546425729,100.03649297638286,100.0373249609538,100.03816120802195,100.03900151037473,100.03984566361218,100.04069346621614
-0.11903999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000004,100.00000000000031,100.00000000000202,100.00000000001016,100.0000000000425,100.0000000001522,100.0000000004783,100.00000000134519,100.00000000343964,100.00000000809983,100.00000001775282,100.00000003653498,100.0000000711229,100.00000013179069,100.00000023369552,100.00000039837697,100.00000065544043,100.00000104438088,100.00000161649223,100.00000243680091,100.00000358595864,100.00000516203028,100.00000728211715,100.00001008376256,100.00001372609556,100.00001839067954,100.00002428204238,100.00003162787617,100.00004067890468,100.00005170842566,100.00006501154331,100.00008090411313,100.00009972142595,100.00012181666268,100.00014755915282,100.00017733247209,100.00021153241391,100.00025056486957,100.00029484364985,100.00034478827946,100.00040082179291,100.00046336855786,100.00053285214906,100.0006096932931,100.00069430790093,100.00078710520273,100.00088848599648,100.00099884101895,100.00111854944589,100.00124797752528,100.00138747734624,100.00153738574383,100.00169802333863,100.001869693709,100.00205268269198,100.00224725780885,100.00245366780968,100.00267214233133,100.00290289166242,100.00314610660865,100.00340195845185,100.00367059899543,100.00395216068975,100.00424675683016,100.0045544818211,100.00487541149973,100.00520960351248,100.00555709773879,100.00591791675572,100.00629206633837,100.00667953599047,100.0070802995005,100.0074943155186,100.00792152815008,100.00836186756148,100.00881525059565,100.00928158139237,100.0097607520116,100.01025264305652,100.01075712429375,100.01127405526871,100.01180328591401,100.01234465714901,100.01289800146905,100.01346314352311,100.01403990067843,100.01462808357128,100.0152274966431,100.01583793866102,100.01645920322238,100.01709107924293,100.01773335142796,100.01838580072663,100.01904820476891,100.01972033828538,100.02040197350976,100.02109288056428,100.02179282782802,100.02250158228846,100.02321890987639,100.02394457578458,100.02467834477044,100.02541998144294,100.02616925053435,100.0269259171571,100.02768974704603,100.02846050678662,100.02923796402968,100.03002188769264,100.03081204814829,100.03160821740097,100.03241016925105,100.03321767944794,100.03403052583207,100.0348484884663,100.03567134975734,100.03649889456725,100.03733091031583,100.03816718707414,100.03900751764935,100.0398516976618,100.04069952561409
-0.11879999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000004,100.00000000000033,100.00000000000205,100.0000000000103,100.00000000004302,100.00000000015388,100.00000000048306,100.0000000013573,100.00000000346785,100.0000000081606,100.00000001787515,100.00000003676705,100.00000007154075,100.00000013250902,100.00000023488049,100.00000040026093,100.00000065833821,100.00000104870699,100.00000162277875,100.00000244571518,100.00000359832032,100.00000517882721,100.00000730451943,100.00001011313425,100.0000137640041,100.00001843890205,100.00002434256906,100.00003170291073,100.00004077086152,100.00005181992425,100.00006514539982,100.00008106332938,100.00009990917633,100.00012203627882,100.00014781410688,100.0001776263585,100.00021186893028,100.00025094779677,100.00029527683182,100.00034527560281,100.00040136716667,100.00046397589368,100.00053352534187,100.00061043620248,100.00069512433348,100.0007879988954,100.00088946060093,100.00099990008711,100.00111969641671,100.0012492157128,100.00138880992886,100.00153881575474,100.00169955365769,100.00187132705557,100.00205442161916,100.00224910469865,100.0024556248694,100.00267421159086,100.00290507497257,100.00314840564037,100.00340437469615,100.00367313376428,100.00395481511754,100.00424953187579,100.00455737827076,100.00487842997009,100.00521274445441,100.00556036144143,100.00592130335096,100.00629557580558,100.00668316816153,100.00708405406505,100.00749819202937,100.0079255260285,100.00836598610326,100.00881948897647,100.00928593867368,100.00976522714632,100.01025723489475,100.01076183158851,100.0112788766816,100.0118082200207,100.0123497024448,100.0129031563742,100.01346840638813,100.01404526978921,100.01463355715413,100.01523307286958,100.01584361565267,100.01646497905534,100.01709695195231,100.01773931901215,100.01839186115137,100.01905435597125,100.01972657817748,100.02040829998253,100.02109929149083,100.02179932106698,100.02250815568716,100.02322556127389,100.0239513030145,100.02468514566367,100.02542685383023,100.02617619224878,100.02693292603634,100.02769682093448,100.02846764353755,100.02924516150705,100.03002914377296,100.03081936072225,100.03161558437505,100.03241758854898,100.03322514901203,100.0340380436245,100.03485605247032,100.03567895797823,100.03650654503342,100.03733860107968,100.03817491621287,100.03901528326574,100.03985949788483,100.0407073585996
-0.11855999999999998,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000004,100.00000000000033,100.00000000000209,100.00000000001047,100.00000000004367,100.00000000015595,100.00000000048891,100.00000000137221,100.00000000350259,100.00000000823546,100.00000001802582,100.00000003705287,100.00000007205529,100.00000013339339,100.00000023633916,100.0000004025798,100.00000066190454,100.00000105403068,100.00000163051422,100.00000245668316,100.00000361352883,100.00000519949104,100.00000733207732,100.0000101492635,100.00001381063186,100.00001849821322,100.0000244170105,100.00003179519152,100.00004088394978,100.00005195704009,100.00006531000496,100.00008125911378,100.00010014004184,100.00012230632059,100.00014812759257,100.00017798770602,100.00021228268426,100.00025141860408,100.00029580941674,100.00034587474197,100.00040203766424,100.00046472255687,100.00053435295725,100.00061134951319,100.00069612801748,100.00078909754492,100.00089065870331,100.0010012020071,100.0011211063802,100.00125073779208,100.00139044802941,100.00154057360369,100.00170143479356,100.00187333481973,100.00205655914853,100.00225137491992,100.00245803049452,100.00267675511377,100.00290775866709,100.00315123155922,100.00340734467103,100.0036762494068,100.00395807782103,100.00425294281801,100.0045609384172,100.0048821400779,100.00521660507698,100.00556437293346,100.00592546587387,100.00629988933342,100.00668763248707,100.00708866880623,100.00750295663602,100.00793043978898,100.0083710481515,100.00882469829898,100.0092912941165,100.00977072742216,100.01026287859005,100.01076761717037,100.01128480250476,100.0118142843344,100.01235590339945,100.01290949202809,100.01347487471381,100.01405186867983,100.01464028442965,100.01523992628267,100.01585059289462,100.01647207776158,100.0171041697079,100.01774665335704,100.01839930958536,100.01906191595897,100.01973424715295,100.02041607535367,100.02110717064369,100.02180730136986,100.02251623449446,100.02323373592985,100.02395957085668,100.02469350402632,100.02543530004745,100.02618472365748,100.0269415399791,100.02770551476225,100.02847641461206,100.02925400720325,100.03003806148119,100.03082834785033,100.03162463835018,100.03242670681956,100.03323432904934,100.03404728292423,100.03486534855398,100.03568830839454,100.03651594735943,100.03734805292198,100.03818441520849,100.03902482708317,100.03986908422479,100.04071698519579
-0.11832,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000004,100.00000000000034,100.00000000000213,100.00000000001067,100.00000000004444,100.00000000015841,100.0000000004959,100.00000000139002,100.00000000354403,100.00000000832469,100.00000001820538,100.00000003739339,100.00000007266819,100.00000013444664,100.0000002380761,100.00000040534063,100.00000066615003,100.00000106036747,100.00000163972075,100.00000246973568,100.00000363162627,100.00000522407805,100.00000736486486,100.00001019224605,100.00001386610091,100.00001856876659,100.00002450555726,100.00003190495251,100.0000410184535,100.00005212011449,100.00006550576516,100.00008149194595,100.00010041458394,100.00012262744013,100.00014850036206,100.00017841737638,100.0002127746568,100.00025197840162,100.00029644265388,100.00034658709544,100.00040283484333,100.0004656102744,100.00053533690145,100.0006124353205,100.00069732124676,100.00079040365308,100.00089208302253,100.00100274972378,100.00112278251562,100.00125254718493,100.00139239532017,100.00154266322068,100.00170367094101,100.0018757214675,100.0020591000235,100.00225407349913,100.00246088999974,100.0026797785077,100.00291094865085,100.00315459057117,100.00341087488685,100.00367995274061,100.00396195592765,100.00425699709601,100.00456517001288,100.00488654989007,100.00522119376234,100.0055691409125,100.00593041333752,100.00630501624988,100.00669293860922,100.00709415367923,100.00750861960516,100.00793628000783,100.00837706459009,100.00883088975212,100.0092976592122,100.00977726462999,100.01026958622947,100.01077449341916,100.01129184540717,100.01182149180931,100.0123632732484,100.01291702194307,100.013482562285,100.01405971140312,100.01464827971391,100.01524807145692,100.01585888521485,100.01648051441752,100.01711274782943,100.01775537002038,100.0184081618192,100.01907090075005,100.01974336145177,100.02042531607965,100.02111653469036,100.02181678560964,100.0225258357833,100.02324345111158,100.02396939676728,100.0247034374978,100.02544533791166,100.02619486274969,100.02695177714128,100.02771584684626,100.0284868384827,100.02926451974099,100.03004865958482,100.03083902843937,100.03163539836726,100.03243754323249,100.0332452388531,100.03405826314282,100.03487639624214,100.03569942063929,100.03652712128154,100.03735928567723,100.03819570398893,100.03903616911818,100.03988047678207,100.04072842558226
-0.11807999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000004,100.00000000000034,100.00000000000219,100.00000000001091,100.00000000004533,100.0000000001613,100.00000000050404,100.00000000141077,100.0000000035923,100.00000000842859,100.0000000184144,100.00000003778968,100.00000007338127,100.00000013567183,100.00000024009618,100.00000040855097,100.00000067108603,100.00000106773385,100.00000165042185,100.00000248490541,100.00000365265703,100.00000525264757,100.00000740295991,100.00001024218246,100.00001393053918,100.00001865072274,100.00002460840845,100.00003203243757,100.00004117466831,100.00005230950231,100.00006573310228,100.00008176232313,100.00010073338396,100.000123000312,100.00014893319245,100.00017891625885,100.00021334585931,100.00025262833282,100.00029717782883,100.00034741410111,100.0004037603043,100.00046664081921,100.00053647912988,100.00061369577212,100.000698706371,100.00079191978095,100.00089373634019,100.0010045462481,100.00112472807179,100.00125464738622,100.00139465554967,100.00154508861539,100.00170626637781,100.0018784915512,100.00206204907704,100.00225720555544,100.0024642087956,100.00268328747923,100.00291465093066,100.00315848898703,100.00341497196169,100.00368425069394,100.00396645667803,100.00426170226478,100.0045700809287,100.00489166759442,100.00522651901579,100.0055746742017,100.00593615488269,100.0063109660129,100.00669909630216,100.00710051877316,100.00751519133932,100.00794305739906,100.0083840464423,100.00883807466596,100.00930504559483,100.00978485070476,100.0102773700457,100.0107824728617,100.01130001820604,100.01182985554914,100.01237182537761,100.01292575978313,100.01349148303926,100.01406881216553,100.01465755747753,100.01525752312217,100.01586850759749,100.01649030425644,100.01712270179408,100.01776548471807,100.018418433802,100.01908132652154,100.01975393747338,100.0204360387769,100.02112740045864,100.02182779081993,100.02253697678745,100.02325472424748,100.02398079836367,100.02471496387886,100.02545698540143,100.02620662767612,100.02696365584018,100.02772783566496,100.02849893378348,100.02927671790437,100.03006095701255,100.03085142155737,100.03164788362817,100.0324501171182,100.03325789787708,100.03407100385219,100.0348892152197,100.0357123145053,100.03654008669541,100.03737231933904,100.03820880264084,100.03904932954566,100.03989369581507,100.04074170009619
-0.11783999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000004,100.00000000000036,100.00000000000225,100.0000000000112,100.00000000004637,100.00000000016459,100.00000000051338,100.00000000143453,100.00000000364757,100.00000000854749,100.00000001865351,100.00000003824286,100.00000007419655,100.0000001370722,100.00000024240467,100.00000041221891,100.00000067672458,100.00000107614743,100.00000166264245,100.00000250222688,100.00000367666803,100.00000528526209,100.00000744644427,100.00001029917817,100.00001400408065,100.00001874424954,100.00002472577182,100.00003217790095,100.00004135290195,100.00005252557227,100.00006599245417,100.00008207076077,100.00010109704381,100.00012342563377,100.00014942688654,100.00017948527125,100.00021399733451,100.00025336957547,100.00029801626468,100.00034835723757,100.00040481569144,100.00046781601141,100.00053778164852,100.00061513306984,100.00070028579744,100.00079364855061,100.00089562150237,100.00100659465897,100.001126946369,100.00125704196566,100.00139723254492,100.00154785387936,100.00170922546688,100.0018816497117,100.0020654112339,100.00226077630307,100.00246799239086,100.0026872878363,100.00291887161777,100.00316293322497,100.0034196426239,100.00368915030798,100.00397158742862,100.00426706599781,100.00457567915657,100.00489750150227,100.00523258946868,100.00558098175249,100.00594269978068,100.00631774821305,100.00670611547471,100.00710777431381,100.00752268237962,100.00795078281706,100.00839200487351,100.00884626451433,100.00931346504377,100.00979349772834,100.01028624241961,100.01079156817437,100.01130933386943,100.01183938880952,100.01238157332622,100.01293571936647,100.01350165106928,100.01407918532958,100.01466813234802,100.01526829616597,100.01587947518506,100.01650146267065,100.01713404723876,100.01777701332622,100.01843014164375,100.01909320961174,100.01976599177893,100.02044826022376,100.02113978493855,100.02184033419678,100.02254967490343,100.02326757292883,100.02399379342624,100.0247281011334,100.02547026065848,100.02622003675073,100.02697719455637,100.02774149985991,100.02851271931146,100.02929062064041,100.03007497285596,100.03086554643491,100.03166211349716,100.03246444796933,100.03327232573696,100.03408552478588,100.03490382533286,100.03572700994636,100.03655486365737,100.03738717406131,100.03822373141075,100.03906432869995,100.03990876174115,100.04075682923333
