Position_m,Temperature_t=0.00000000s,Temperature_t=0.90909091s,Temperature_t=1.81818182s,Temperature_t=2.72727273s,Temperature_t=3.63636364s,Temperature_t=4.54545455s,Temperature_t=5.45454545s,Temperature_t=6.36363636s,Temperature_t=7.27272727s,Temperature_t=8.18181818s,Temperature_t=9.09090909s,Temperature_t=10.00000000s,Temperature_t=10.90909091s,Temperature_t=11.81818182s,Temperature_t=12.72727273s,Temperature_t=13.63636364s,Temperature_t=14.54545455s,Temperature_t=15.45454545s,Temperature_t=16.36363636s,Temperature_t=17.27272727s,Temperature_t=18.18181818s,Temperature_t=19.09090909s
-0.12,100.0,100.0,100.0,100.0,100.00000000000006,100.00000000000423,100.00000000011595,100.00000000151613,100.00000001180354,100.0000000630478,100.00000025397874,100.00000082374807,100.00000225375153,100.00000538209046,100.00001150871802,100.00002247042086,100.00004067171463,100.00006906693903,100.00011109721639,100.00017059174994,100.00025164577025,100.00035848773152
-0.11975999999999999,100.0,100.0,100.0,100.0,100.00000000000006,100.00000000000425,100.0000000001163,100.00000000151974,100.00000001182622,100.00000006314772,100.00000025431613,100.00000082467837,100.00000225594121,100.0000053866352,100.00001151723933,100.00002248512273,100.0000406953902,100.0000691029272,100.00011114931574,100.00017066410174,100.00025174272385,100.00035861370485
-0.11951999999999999,100.0,100.0,100.0,100.0,100.00000000000006,100.00000000000429,100.00000000011735,100.00000000153057,100.0000000118943,100.00000006344747,100.00000025532833,100.00000082746925,100.00000226251028,100.00000540026939,100.00001154280325,100.00002252922832,100.00004076641689,100.00006921089171,100.00011130561383,100.00017088115713,100.00025203358469,100.00035899162484
-0.11927999999999998,100.0,100.0,100.0,100.0,100.00000000000006,100.00000000000438,100.0000000001191,100.00000000154867,100.00000001200813,100.0000000639485,100.00000025701979,100.00000083213203,100.00000227348343,100.00000542304116,100.00001158549509,100.00002260287792,100.0000408850113,100.0000693911499,100.00011156655542,100.0001712435165,100.00025251913719,100.00035962248819
-0.11903999999999999,100.0,100.0,100.0,100.0,100.00000000000006,100.0000000000045,100.00000000012159,100.00000000157418,100.00000001216827,100.00000006465288,100.00000025939659,100.00000083868173,100.00000228889274,100.00000545501172,100.0000116454215,100.0000227062439,100.00004105143546,100.0000696440802,100.00011193266387,100.00017175187753,100.0002532002828,100.0003605074283
-0.11879999999999999,100.0,100.0,100.0,100.0,100.00000000000006,100.00000000000466,100.0000000001248,100.00000000160719,100.0000000123754,100.00000006556321,100.0000002624664,100.00000084713704,100.00000230877777,100.00000549625557,100.00001172271065,100.00002283953106,100.00004126599727,100.00006997012255,100.00011240454171,100.00017240703608,100.0002540780407,100.00036164771625
-0.11855999999999998,100.0,100.0,100.0,100.0,100.00000000000006,100.00000000000485,100.00000000012878,100.0000000016479,100.00000001263038,100.0000000666827,100.00000026623856,100.00000085752048,100.00000233318556,100.00000554686065,100.00001181751254,100.000023002977,100.00004152905097,100.00007036977917,100.00011298287137,100.00017320988692,100.00025515354892,100.00036304476191
-0.11832,100.0,100.0,100.0,100.0,100.00000000000007,100.00000000000507,100.00000000013353,100.00000000169649,100.00000001293424,100.00000006801513,100.00000027072402,100.00000086985837,100.00000236217087,100.0000056069285,100.00001192999916,100.00002319685245,100.00004184099757,100.00007084361498,100.00011366841592,100.00017416142475,100.00025642806524,100.00036470011501
-0.11807999999999999,100.0,100.0,100.0,100.0,100.00000000000007,100.00000000000534,100.0000000001391,100.00000000175321,100.00000001328819,100.00000006956492,100.00000027593545,100.00000088418096,100.00000239579617,100.00000567657442,100.00001206036485,100.00002342146162,100.00004220228543,100.00007139225839,100.00011446201992,100.00017526274499,100.00025790296834,100.00036661546638
-0.11783999999999999,100.0,100.0,100.0,100.0,100.00000000000007,100.00000000000566,100.0000000001455,100.00000000181831,100.00000001369358,100.00000007133708,100.00000028188724,100.00000090052245,100.00000243413186,100.00000575592773,100.00001220882659,100.0000236771427,100.00004261341078,100.00007201640197,100.00011536461017,100.00017651504484,100.00025957975882,100.00036879264906
-0.1176,100.0,100.0,100.0,100.0,100.00000000000009,100.00000000000601,100.0000000001528,100.0000000018921,100.000000014152,100.0000000733373,100.00000028859556,100.00000091892109,100.00000247725633,100.00000584513197,100.00001237562427,100.00002396426832,100.00004307491835,100.00007271680315,100.00011637719666,100.00017791962428,100.00026146006039,100.00037123363964
