Position_m,Temperature_t=0.00000000s,Temperature_t=2.00000000s,Temperature_t=4.00000000s,Temperature_t=6.00000000s,Temperature_t=8.00000000s,Temperature_t=10.00000000s,Temperature_t=12.00000000s,Temperature_t=14.00000000s,Temperature_t=16.00000000s,Temperature_t=18.00000000s
-0.12,60.0,60.0,60.00000000001794,60.00000001714653,60.00000077262458,60.000008571662725,60.00004461398834,60.000147487222,60.00036374733834,60.000734708974996
-0.11975999999999999,60.0,60.0,60.000000000018034,60.000000017191844,60.00000077385181,60.000008580691116,60.00004464725482,60.000147568796045,60.000363901884064,60.000734955379535
-0.11951999999999999,60.0,60.0,60.00000000001831,60.00000001732778,60.00000077753349,60.000008607776294,60.000044747054254,60.00014781351818,60.000364365521236,60.00073569459314
-0.11927999999999998,60.0,60.0,60.00000000001878,60.00000001755515,60.000000783684435,60.00000865300067,60.00004491363494,60.00014822191371,60.00036513914164,60.00073692792476
-0.11903999999999999,60.0,60.0,60.00000000001944,60.00000001787521,60.00000079232614,60.00000871647782,60.000045147322666,60.000148794641916,60.00036622382145,60.00073865690158
-0.11879999999999999,60.0,60.0,60.00000000002031,60.00000001828962,60.000000803486834,60.00000879835267,60.000045448521185,60.0001495324967,60.00036762082208,60.000740883270026
-0.11855999999999998,60.0,60.0,60.00000000002137,60.0000000188005,60.00000081720153,60.000008898801774,60.00004581771275,60.000150436407395,60.00036933159114,60.0007436089967
-0.11832,60.0,60.0,60.000000000022666,60.00000001941041,60.000000833512175,60.00000901803363,60.000046255458656,60.00015150743958,60.000371357763356,60.0007468362695
-0.11807999999999999,60.0,60.0,60.00000000002419,60.000000020122386,60.00000085246771,60.000009156289,60.00004676239991,60.00015274679595,60.000373701161685,60.0007505674986
-0.11783999999999999,60.0,60.0,60.000000000025956,60.00000002093992,60.00000087412418,60.00000931384133,60.00004733925795,60.000154155817256,60.0003763637983,60.000754805317584
-0.1176,60.0,60.0,60.00000000002799,60.00000002186701,60.00000089854496,60.00000949099713,60.00004798683536,60.000155735983384,60.0003793478758,60.00075955258458
-0.11735999999999999,60.0,60.0,60.000000000030305,60.000000022908154,60.0000009258008,60.00000968809649,60.00004870601677,60.000157488914375,60.000382655788336,60.00076481238338
-0.11711999999999999,60.0,60.0,60.00000000003293,60.00000002406836,60.00000095597005,60.00000990551356,60.00004949776969,60.00015941637161,60.00038629012288,60.00077058802467
-0.11687999999999998,60.0,60.0,60.00000000003588,60.000000025353216,60.000000989138854,60.00001014365712,60.00005036314548,60.00016152025902,60.00039025366053,60.00077688304722
-0.11664,60.0,60.0,60.00000000003919,60.00000002676885,60.00000102540133,60.00001040297119,60.00005130328043,60.000163802624364,60.00039454937778,60.00078370121918
-0.11639999999999999,60.0,60.0,60.000000000042895,60.000000028322,60.0000010648598,60.000010683935656,60.00005231939675,60.00016626566058,60.00039918044802,60.000791046539305
