Position_m,Temperature_t=0.00000000s,Temperature_t=1.05263158s,Temperature_t=2.10526316s,Temperature_t=3.15789474s,Temperature_t=4.21052632s,Temperature_t=5.26315789s,Temperature_t=6.31578947s,Temperature_t=7.36842105s,Temperature_t=8.42105263s,Temperature_t=9.47368421s,Temperature_t=10.52631579s,Temperature_t=11.57894737s,Temperature_t=12.63157895s,Temperature_t=13.68421053s,Temperature_t=14.73684211s,Temperature_t=15.78947368s,Temperature_t=16.84210526s,Temperature_t=17.89473684s,Temperature_t=18.94736842s
-0.12,60.0,60.0,60.0,60.0,60.00000000000101,60.00000000008208,60.000000001951065,60.00000002121462,60.00000013611406,60.000000601887955,60.000002027236015,60.00000556264456,60.00001303191401,60.0000269591153,60.000050482345024,60.00008717867383,60.00014084055883,60.00021524403138,60.00031393969584
-0.11975999999999999,60.0,60.0,60.0,60.0,60.000000000001016,60.00000000008249,60.00000000195814,60.00000002127362,60.00000013641307,60.00000060295726,60.00000203020502,60.00000556946802,60.000013045483264,60.00002698321625,60.000050521476744,60.000087237774686,60.000140924696396,60.00021535810475,60.00031408818334
-0.11951999999999999,60.0,60.0,60.0,60.0,60.00000000000104,60.000000000083695,60.00000000197937,60.000000021450624,60.0000001373101,60.000000606165166,60.000002039112026,60.00000558993842,60.000013086191025,60.000027055519105,60.00005063887191,60.00008741507725,60.0001411771091,60.00021570032484,60.00031453364582
-0.11927999999999998,60.0,60.0,60.0,60.0,60.00000000000107,60.00000000008573,60.000000002014914,60.00000002174668,60.0000001388095,60.00000061152466,60.00000205398798,60.00000562411793,60.00001315414727,60.000027176199985,60.00005083479154,60.000087710945145,60.00014159827879,60.00021627130463,60.00031527683723
-0.11903999999999999,60.0,60.0,60.0,60.0,60.00000000000112,60.0000000000886,60.00000000206502,60.00000002216341,60.00000014091786,60.00000061905524,60.00000207487841,60.00000567209631,60.000013249507525,60.000027345503064,60.000051109590366,60.000088125863016,60.00014218883565,60.00021707183128,60.000316318708755
-0.11879999999999999,60.0,60.0,60.0,60.0,60.000000000001194,60.00000000009233,60.000000002130044,60.00000002270304,60.00000014364414,60.00000062878294,60.00000210184354,60.000005733990996,60.00001337247311,60.00002756374086,60.00005146371726,60.00008866043704,60.000142949558786,60.00021810286663,60.00031766040946
-0.11855999999999998,60.0,60.0,60.0,60.0,60.00000000000127,60.00000000009696,60.00000000221041,60.0000000233684,60.0000001469996,60.00000064074041,60.00000213495843,60.00000580994734,60.00001352329146,60.00002783129461,60.000051897715686,60.00008931539544,60.000143881376715,60.000219365547906,60.000319303286894
-0.11832,60.0,60.0,60.0,60.0,60.00000000000137,60.00000000010254,60.000000002306685,60.0000000241629,60.000000150997884,60.00000065496702,60.00000217431309,60.000005900138866,60.00001370225642,60.00002814861476,60.000052412224214,60.00009009158912,60.000144985368145,60.00022086118837,60.0003212488879
-0.11807999999999999,60.0,60.0,60.0,60.0,60.00000000000149,60.000000000109104,60.0000000024195,60.000000025090614,60.000000155655094,60.000000671508936,60.000002220012725,60.00000600476754,60.00001390970868,60.00002851622144,60.000053007977165,60.00009098999231,60.00014626276263,60.00022259127815,60.00032349895932
-0.11783999999999999,60.0,60.0,60.0,60.0,60.000000000001634,60.00000000011673,60.0000000025496,60.000000026156236,60.00000016098978,60.00000069041926,60.000002272177895,60.000006124064114,60.00001414603626,60.00002893470506,60.000053685805284,60.000092011703366,60.000147714941434,60.00022455748504,60.00032605544887
-0.1176,60.0,60.0,60.0,60.0,60.0000000000018,60.00000000012547,60.000000002697846,60.00000002736513,60.00000016702303,60.00000071175817,60.00000233094482,60.0000062582885,60.00001441167497,60.00002940472695,60.00005444663649,60.00009315794561,60.00014934343843,60.00022676165543,60.00032892050611
-0.11735999999999999,60.0,60.0,60.0,60.00000000000001,60.00000000000198,60.00000000013541,60.000000002865214,60.00000002872336,60.00000017377855,60.00000073559302,60.000002396465575,60.00000640773021,60.000014707109045,60.0000299270201,60.00005529149673,60.00009443006824,60.000151149941026,60.00022920581531,60.00033209648329
-0.11711999999999999,60.0,60.0,60.0,60.00000000000001,60.000000000002196,60.00000000014664,60.000000003052804,60.00000003023768,60.00000018128273,60.000000761998585,60.00000246890848,60.00000657270878,60.000015032871715,60.000030502389926,60.00005622151087,60.00009582954731,60.000153136291246,60.00023189217127,60.000335585936526
-0.11687999999999998,60.0,60.0,60.0,60.00000000000001,60.00000000000244,60.000000000159254,60.00000000326184,60.0000000319156,60.000000189564716,60.00000079105719,60.000002548458355,60.000006753574304,60.00001538954596,60.00003113171512,60.00005723790368,60.00009735798686,60.000155304486846,60.000234823111704,60.00033939162677
-0.11664,60.0,60.0,60.0,60.00000000000001,60.000000000002714,60.00000000017337,60.00000000349367,60.000000033765396,60.00000019865653,60.000000822858944,60.00000263531695,60.000006950708006,60.000015777765185,60.000031815948574,60.00005834200092,60.000099017119986,60.00015765668248,60.000238001207926,60.000343516521056
-0.11639999999999999,60.0,60.0,60.0,60.00000000000001,60.00000000000303,60.00000000018912,60.00000000374979,60.00000003579616,60.00000020859314,60.00000085750196,60.00000272970328,60.000007164522785,60.000016198214105,60.00003255611839,60.00005953523043,60.00010080881013,60.00016019519101,60.00024142921548,60.00034796379367
-0.11615999999999999,60.0,60.0,60.0,60.00000000000001,60.000000000003375,60.000000000206626,60.000000004031854,60.00000003801782,60.00000021941261,60.00000089509256,60.000002831854104,60.00000739546391,60.00001665162952,60.00003335332892,60.00006081912338,60.00010273505238,60.000162922484805,60.00024511007544,60.00035273682746
-0.11592,60.0,60.0,60.0,60.00000000000001,60.00000000000377,60.000000000226045,60.000000004341665,60.000000040441186,60.00000023115617,60.00000093574562,60.000002942024345,60.00000764400968,60.00001713880133,60.00003420876189,60.00006219531554,60.00010479797481,60.0001658411972,60.00024904691586,60.00035783921512
-0.11567999999999999,60.0,60.0,60.0,60.00000000000001,60.00000000000421,60.000000000247546,60.0000000046812,60.00000004307801,60.0000002438684,60.00000097958474,60.00000306048759,60.00000791067217,60.00001766057345,60.00003512367762,60.00006366554866,60.00010699983999,60.00016895412399,60.0002532430532,60.000363274760666
-0.11543999999999999,60.0,60.0,60.0,60.000000000000014,60.00000000000472,60.00000000027133,60.000000005052605,60.000000045941015,60.00000025759732,60.00000102674263,60.000003187536635,60.00000819599803,60.0000182178449,60.000036099416306,60.00006523167187,60.000109343046525,60.000172264224986,60.0002577019939,60.00036904748085
-0.1152,60.0,60.0,60.0,60.000000000000014,60.00000000000528,60.00000000029758,60.00000000545823,60.00000004904396,60.00000027239457,60.000001077361404,60.000003323484016,60.00000850056928,60.00001881157086,60.000037137399325,60.00006689564325,60.00011183013064,60.00017577462565,60.00026242743597,60.000375161606705
-0.11495999999999999,60.0,60.0,60.0,60.000000000000014,60.000000000005905,60.00000000032654,60.00000000590064,60.00000005240169,60.00000028831557,60.000001131592896,60.00000346866261,60.00000882500425,60.000019442763936,60.000038239130696,60.000068659531415,60.00011446376793,60.00017948861888,60.00026742327068,60.0003816215851
-0.11471999999999999,60.0,60.0,60.0,60.00000000000002,60.00000000000661,60.00000000035844,60.000000006382585,60.00000005603018,60.000000305419654,60.00000118959906,60.00000362342629,60.00000916995847,60.00002011249528,60.000039406198525,60.00007052551715,60.000117246775076,60.00018340966674,60.00027269358433,60.000388432080435
-0.11447999999999998,60.0,60.0,60.0,60.00000000000002,60.0000000000074,60.00000000039356,60.00000000690708,60.00000005994665,60.00000032377031,60.00000125155234,60.000003788150536,60.00000953612564,60.00002082189596,60.00004064027662,60.00007249589524,60.000120182111786,60.00018754140238,60.00027824266004,60.000395597976286
-0.11424,60.0,60.0,60.0,60.00000000000002,60.00000000000828,60.0000000004322,60.000000007477375,60.000000064169555,60.000000343435325,60.00000131763608,60.00000396323318,60.000009924238725,60.00002157215831,60.00004194312609,60.00007457307622,60.00012327288264,60.000191887632,60.000284074979646,60.00040312437723
-0.11399999999999999,60.0,60.0,60.0,60.00000000000003,60.000000000009265,60.00000000047469,60.00000000809699,60.00000006871875,60.00000036448701,60.000001388044936,60.00000414909513,60.000010335071,60.00002236453733,60.000043316597065,60.00007675958836,60.0001265223392,60.000196452336816,60.000290195225695,60.000411016610606
-0.11375999999999999,60.0,60.0,60.0,60.00000000000003,60.000000000010374,60.000000000521375,60.00000000876973,60.000000073615475,60.000000387002416,60.00000146298537,60.000004346181164,60.00001076943719,60.00002320035222,60.0000447626305,60.00007905807961,60.00012993388205,60.00020123967525,60.00029660828342,60.00041928022845
-0.11352,60.0,60.0,60.0,60.000000000000036,60.0000000000116,60.00000000057265,60.000000009499715,60.00000007888253,60.00000041106357,60.000001542676095,60.000004554960704,60.00001122819469,60.000024080987906,60.000046283260026,60.00008147131972,60.00013351106298,60.00020625398506,60.000303319242875,60.00042792100942
-0.11327999999999999,60.0,60.0,60.0,60.00000000000004,60.00000000001298,60.00000000062894,60.00000001029137,60.00000008454429,60.0000004367577,60.00000162734861,60.00000477592874,60.0000117122448,60.00002500789671,60.00004788061389,60.000084002202335,60.000137257587284,60.0002114997856,60.00031033340108,60.00043694496078
-0.11303999999999999,60.0,60.0,60.0,60.00000000000005,60.000000000014516,60.0000000006907,60.00000001114951,60.00000009062684,60.00000046417754,60.00000171724773,60.00000500960665,60.00001222253403,60.0000259826,60.000049556917006,60.00008665374732,60.00014117731606,60.000216981780184,60.00031765626427,60.0004463583205
-0.11279999999999998,60.0,60.0,60.0,60.00000000000006,60.000000000016236,60.000000000758455,60.00000001207928,60.000000097158065,60.00000049342154,60.0000018126321,60.00000525654324,60.0000127600555,60.00002700669,60.00005131449299,60.00008942910299,60.00014527426866,60.00022270485846,60.00032529355019,60.00045616755933
-0.11256,60.0,60.0,60.0,60.000000000000064,60.000000000018154,60.00000000083275,60.00000001308628,60.00000010416776,60.00000052459419,60.000001913774874,60.000005517315635,60.00001332585031,60.00002808183162,60.00005315576644,60.00009233154858,60.00014955262519,60.000228674098935,60.00033325119045,60.000466379382985
-0.11231999999999999,60.0,60.0,60.0,60.00000000000007,60.000000000020286,60.000000000914184,60.000000014176486,60.00000011168774,60.00000055780635,60.00000202096425,60.00000579253039,60.000013921009085,60.000029209764364,60.00005508326506,60.0000953644967,60.000154016729084,60.00023489477151,60.000341535332986,60.0004770007344
-0.11207999999999999,60.0,60.0,60.0,60.000000000000085,60.00000000002267,60.00000000100342,60.000000015356385,60.00000011975196,60.00000059317552,60.00000213450417,60.000006082824505,60.00001454667349,60.000030392304325,60.00005709962215,60.00009853149592,60.000158671089785,60.00024137234013,60.00035015234455,60.000488038796
-0.11184,60.0,60.0,60.0,60.0000000000001,60.00000000002533,60.000000001101185,60.00000001663293,60.00000012839667,60.0000006308262,60.00000225471498,60.000006388866595,60.00001520403784,60.00003163134624,60.0000592075789,60.000101836233426,60.00016352038549,60.00024811246549,60.00035910881329,60.00049950099204
-0.11159999999999999,60.0,60.0,60.0,60.00000000000011,60.00000000002829,60.00000000120826,60.00000001801362,60.00000013766049,60.00000067089028,60.00000238193414,60.00000671135805,60.000015894350774,60.000032928865636,60.00006140998698,60.000105282537746,60.000168569466,60.00025512100786,60.000368411551364,60.000511394991
-0.11135999999999999,60.0,60.0,60.0,60.00000000000013,60.000000000031584,60.000000001325475,60.00000001950653,60.00000014758464,60.00000071350735,60.000002516516986,60.000007051034245,60.00001661891702,60.00003428692104,60.00006370981109,60.00010887438158,60.00017382335558,60.000262404029904,60.00037806759768,60.00052372870807
-0.11112,60.0,60.0,60.0,60.00000000000014,60.00000000003526,60.00000000145379,60.000000021120314,60.00000015821302,60.000000758825145,60.000002658837516,60.00000740866586,60.00001737909918,60.00003570765629,60.00006611013165,60.000112615884746,60.00017928725604,60.000269967799646,60.000388084220624,60.0005365103076
-0.11087999999999999,60.0,60.0,60.0,60.00000000000016,60.00000000003935,60.000000001594195,60.00000002286432,60.00000016959239,60.000000806999964,60.000002809289185,60.00000778506014,60.00001817631959,60.00003719330287,60.00006861414755,60.00011651131713,60.000184966549746,60.00027781879348,60.00039846892093,60.00054974820573
-0.11063999999999999,60.0,60.0,60.0,60.00000000000019,60.000000000043904,60.00000000174781,60.00000002474857,60.000000181772585,60.00000085819708,60.00000296828578,60.000008181062356,60.00001901206231,60.000038746182405,60.00007122517902,60.000120565101795,60.000190866802825,60.000285963699284,60.000409229434545,60.00056345107294
-0.11039999999999998,60.0,60.0,60.0,60.00000000000021,60.00000000004897,60.00000000191581,60.00000002678384,60.00000019480663,60.000000912591204,60.00000313626231,60.00000859755719,60.00001988787509,60.00004036870917,60.00007394667051,60.00012478181817,60.000196993768384,60.00029440941956,60.00042037373563,60.00057762783678
-0.11016,60.0,60.0,60.0,60.00000000000025,60.00000000005461,60.00000000209951,60.0000000289817,60.000000208751,60.00000097036699,60.00000331367592,60.00000903547024,60.0000208053715,60.00004206339273,60.000076782193794,60.000129166205284,60.000203353389864,60.00030316307468,60.000431910039545,60.00059228768451
-0.10991999999999999,60.0,60.0,60.0,60.000000000000284,60.00000000006088,60.00000000230034,60.00000003135461,60.000000223665765,60.00000103171951,60.00000350100691,60.00000949576962,60.000021766233054,60.000043832840646,60.00007973545102,60.000133723165135,60.000209951804436,60.00031223200623,60.00044384680597,60.000607440065956
-0.10967999999999999,60.0,60.0,60.0,60.00000000000033,60.00000000006785,60.00000000251982,60.0000000339159,60.00000023961484,60.00000109685484,60.0000036987597,60.0000099794675,60.00002277221149,60.000045679761215,60.000082810277924,60.000138457766134,60.00021679534651,60.00032162378036,60.00045619274205,60.00062309469625
-0.10944,60.0,60.0,60.0,60.00000000000037,60.0000000000756,60.00000000275964,60.00000003667993,60.00000025666621,60.00000116599054,60.00000390746395,60.00001048762185,60.000023825131045,60.000047606966426,60.00008601064716,60.00014337524662,60.00022389055131,60.00033134619127,60.000468956805605,60.00063926155876
-0.10919999999999999,60.0,60.0,60.0,60.000000000000426,60.00000000008421,60.00000000302162,60.000000039662076,60.000000274892166,60.00000123935631,60.000004127675595,60.00001102133817,60.000024926890895,60.000049617374884,60.000089340671636,60.00014848101849,60.00023124415855,60.000341407264756,60.0004821482084,60.00065595090796
-0.10895999999999999,60.0,60.0,60.0,60.00000000000048,60.000000000093785,60.00000000330773,60.00000004287887,60.000000294369556,60.000001317194574,60.00000435997808,60.00001158177127,60.00002607946759,60.000051714014866,60.000092804608045,60.00015378067092,60.000238863116145,60.000351815261816,60.0004957764195,60.00067317327243
