Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s
0.0,2e+17,2e+17,2e+17,2.0000000000003203e+17,2.0000000000555203e+17,2.0000000018990755e+17,2.0000000247792947e+17,2.0000001742590205e+17,2.0000008054030573e+17,2.0000027633837322e+17,2.0000076159878922e+17,2.0000177832172522e+17,2.0000365167900493e+17,2.0000677410522198e+17,2.0001158035145098e+17,2.00018519210576e+17,2.0002802665228842e+17,2.0004050341382224e+17,2.000562984517542e+17,2.0007569842104445e+17,2.0009892257480557e+17,2.0012612209759088e+17,2.001573827800848e+17,2.0019273000557037e+17,2.002321351658496e+17,2.0027552280118323e+17,2.0032277793246618e+17,2.0037375320738067e+17,2.0042827560906138e+17,2.0048615257528058e+17,2.0054717745085398e+17,2.0061113424973232e+17,2.006778017401849e+17,2.0074695689042134e+17,2.0081837772621027e+17,2.0089184565922957e+17,2.0096714734713002e+17,2.010440761452306e+17,2.0112243320659376e+17,2.012020282828249e+17,2.0128268027292378e+17,2.0136421756230938e+17,2.0144647818902678e+17,2.0152930986930077e+17,2.0161256991012877e+17,2.0169612503255414e+17,2.0177985112564573e+17,2.0186363294802045e+17,2.0194736379096224e+17,2.0203094511477834e+17,2.0211428616796202e+17,2.0219730359695875e+17,2.0227992105282957e+17,2.0236206879983382e+17,2.0244368332988717e+17,2.0252470698595706e+17,2.0260508759671712e+17,2.026847781241666e+17,2.0276373632541837e+17,2.0284192442944525e+17,2.029193088292411e+17,2.0299585978958442e+17,2.0307155117037792e+17,2.031463601653693e+17,2.032202670559289e+17,2.0329325497946003e+17,2.033653097119455e+17,2.0343641946408163e+17,2.0350657469041635e+17,2.0357576791088755e+17,2.0364399354414816e+17,2.0371124775206358e+17,2.037775282947744e+17,2.038428343957276e+17,2.0390716661609734e+17
0.0013313313313313313,2e+17,2e+17,2e+17,2.0000000000003203e+17,2.0000000000555203e+17,2.0000000018990755e+17,2.0000000247792947e+17,2.0000001742590205e+17,2.0000008054030573e+17,2.0000027633837322e+17,2.0000076159878922e+17,2.0000177832172522e+17,2.0000365167900493e+17,2.0000677410522198e+17,2.0001158035145098e+17,2.00018519210576e+17,2.0002802665228842e+17,2.0004050341382224e+17,2.000562984517542e+17,2.0007569842104445e+17,2.0009892257480557e+17,2.0012612209759088e+17,2.001573827800848e+17,2.0019273000557037e+17,2.002321351658496e+17,2.0027552280118323e+17,2.0032277793246618e+17,2.0037375320738067e+17,2.0042827560906138e+17,2.0048615257528058e+17,2.0054717745085398e+17,2.0061113424973232e+17,2.006778017401849e+17,2.0074695689042134e+17,2.0081837772621027e+17,2.0089184565922957e+17,2.0096714734713002e+17,2.010440761452306e+17,2.0112243320659376e+17,2.012020282828249e+17,2.0128268027292378e+17,2.0136421756230938e+17,2.0144647818902678e+17,2.0152930986930077e+17,2.0161256991012877e+17,2.0169612503255414e+17,2.0177985112564573e+17,2.0186363294802045e+17,2.0194736379096224e+17,2.0203094511477834e+17,2.0211428616796202e+17,2.0219730359695875e+17,2.0227992105282957e+17,2.0236206879983382e+17,2.0244368332988717e+17,2.0252470698595706e+17,2.0260508759671712e+17,2.026847781241666e+17,2.0276373632541837e+17,2.0284192442944525e+17,2.029193088292411e+17,2.0299585978958442e+17,2.0307155117037792e+17,2.031463601653693e+17,2.032202670559289e+17,2.0329325497946003e+17,2.033653097119455e+17,2.0343641946408163e+17,2.0350657469041635e+17,2.0357576791088755e+17,2.0364399354414816e+17,2.0371124775206358e+17,2.037775282947744e+17,2.038428343957276e+17,2.0390716661609734e+17
0.0026626626626626627,2e+17,2e+17,2e+17,2.0000000000003245e+17,2.0000000000559923e+17,2.000000001910524e+17,2.000000024890607e+17,2.000000174864451e+17,2.000000807630627e+17,2.0000027696094208e+17,2.000007630228289e+17,2.0000178112450106e+17,2.0000365659399286e+17,2.0000678197881472e+17,2.000115920872541e+17,2.000185357122837e+17,2.0002804877309507e+17,2.0004053191677213e+17,2.0005633398245843e+17,2.000757414921689e+17,2.0009897356060397e+17,2.001261812363062e+17,2.001574501820308e+17,2.001928056649413e+17,2.0023221897464893e+17,2.0027561456402298e+17,2.0032287738132554e+17,2.0037386001569507e+17,2.0042838940474333e+17,2.004862729524474e+17,2.0054730398016694e+17,2.006112664873417e+17,2.0067793923533658e+17,2.00747099191817e+17,2.008185243872352e+17,2.0089199624217085e+17,2.009673014265077e+17,2.0104423331036118e+17,2.011225930634961e+17,2.012021904555701e+17,2.0128284440451942e+17,2.0136438331519798e+17,2.014466452452686e+17,2.0152947793050144e+17,2.0161273869716336e+17,2.0169629428513203e+17,2.0178002060175315e+17,2.0186380242327216e+17,2.0194753305788784e+17,2.02031113982065e+17,2.0211445445967088e+17,2.0219747115172915e+17,2.0228008772308246e+17,2.023622344509837e+17,2.024438478395691e+17,2.025248702432746e+17,2.026052495015149e+17,2.0268493858633066e+17,2.027638952642061e+17,2.028420817728462e+17,2.029194645133694e+17,2.029960137581029e+17,2.0307170337395334e+17,2.0314651056115888e+17,2.0322041560709667e+17,2.0329340165472253e+17,2.033654544851454e+17,2.034365623137885e+17,2.03506715599553e+17,2.035759068663809e+17,2.0364413053660342e+17,2.0371138277546054e+17,2.0377766134618416e+17,2.0384296547504934e+17,2.0390729572581315e+17
0.003993993993993994,2e+17,2e+17,2e+17,2.0000000000003328e+17,2.00000000005694e+17,2.000000001933483e+17,2.0000000251136698e+17,2.0000001760771194e+17,2.000000812090953e+17,2.0000027820723632e+17,2.00000765873057e+17,2.000017867335393e+17,2.000036664290715e+17,2.0000679773289344e+17,2.00011615567601e+17,2.0001856872623277e+17,2.000280930268886e+17,2.0004058893628448e+17,2.000564050586546e+17,2.0007582765010288e+17,2.0009907554850346e+17,2.0012629953038835e+17,2.0015758500267504e+17,2.0019295700031504e+17,2.002323866085669e+17,2.002757981055476e+17,2.003230762942826e+17,2.0037407364685066e+17,2.004286170098427e+17,2.004865137196677e+17,2.0054755705079277e+17,2.0061153097365258e+17,2.0067821423581702e+17,2.0074738380387488e+17,2.008188177176554e+17,2.0089229741554912e+17,2.0096760959191187e+17,2.010445476464562e+17,2.011229127823551e+17,2.0120251480537302e+17,2.0128317267132032e+17,2.0136471482392154e+17,2.0144697936007514e+17,2.0152981405464147e+17,2.0161307627242573e+17,2.0169663279097302e+17,2.0178035955418166e+17,2.018641413735526e+17,2.01947871591113e+17,2.020314517156412e+17,2.021147910417507e+17,2.0219780625961987e+17,2.022804210616532e+17,2.0236256575108883e+17,2.024441768565028e+17,2.0252519675526643e+17,2.0260557330827517e+17,2.0268525950765104e+17,2.0276421313861968e+17,2.0284239645634915e+17,2.0291977587820592e+17,2.0299632169161315e+17,2.0307200777748458e+17,2.0314681134903818e+17,2.032207127056638e+17,2.032936950014213e+17,2.0336574402767123e+17,2.0343684800928957e+17,2.0350699741388336e+17,2.035761847734022e+17,2.036444045175333e+17,2.0371165281826496e+17,2.037779274450114e+17,2.0384322762970317e+17,2.0390755394126282e+17
0.005325325325325325,2e+17,2e+17,2e+17,2.0000000000003453e+17,2.000000000058371e+17,2.0000000019680755e+17,2.000000025449361e+17,2.0000001779006445e+17,2.0000008187944192e+17,2.0000028007957062e+17,2.000007701537734e+17,2.0000179515581594e+17,2.0000368119444982e+17,2.0000682138124842e+17,2.000116508099765e+17,2.0001861827349398e+17,2.0002815943803254e+17,2.0004067449958685e+17,2.0005651170992006e+17,2.0007595692621827e+17,2.000992285711102e+17,2.0012647701314064e+17,2.0015778727552227e+17,2.0019318404495478e+17,2.002326381002415e+17,2.002760734574461e+17,2.0032337470181283e+17,2.003743941298996e+17,2.0042895845182877e+17,2.0048687490271315e+17,2.0054793668672966e+17,2.0061192773084717e+17,2.0067862676197846e+17,2.007478107451265e+17,2.008192577342097e+17,2.008927491943541e+17,2.0096807185663827e+17,2.010450191651818e+17,2.0112339237327808e+17,2.0120300134085718e+17,2.0128366508054432e+17,2.0136521209437146e+17,2.0144748053809072e+17,2.0153031824519702e+17,2.01613582638301e+17,2.0169714055144653e+17,2.0178086798335763e+17,2.018646497984152e+17,2.0194837938938502e+17,2.0203195831351197e+17,2.0211529591152483e+17,2.0219830891733014e+17,2.022809210646709e+17,2.0236306269575952e+17,2.024446703758275e+17,2.0252568651664563e+17,2.026060590113269e+17,2.0268574088211194e+17,2.0276468994233507e+17,2.0284286847335597e+17,2.0292024291690998e+17,2.029967835830615e+17,2.030724643737323e+17,2.0314726252160733e+17,2.032211583440933e+17,2.0329413501190387e+17,2.0336617833177475e+17,2.0343727654275942e+17,2.0350742012552163e+17,2.0357660162402077e+17,2.0364481547897642e+17,2.037120578724979e+17,2.0377832658327152e+17,2.0384362085170976e+17,2.039079412544822e+17
0.0066566566566566565,2e+17,2e+17,2e+17,2.0000000000003622e+17,2.0000000000602957e+17,2.000000002014488e+17,2.000000025899001e+17,2.000000180340466e+17,2.000000827756626e+17,2.00000282581421e+17,2.0000077587143395e+17,2.000018064018026e+17,2.0000370090545008e+17,2.0000685294457434e+17,2.0001169784061725e+17,2.0001868438568227e+17,2.000282480430801e+17,2.0004078864752736e+17,2.0005665398062614e+17,2.000761293675766e+17,2.0009943267733606e+17,2.0012671373451923e+17,2.001580570508294e+17,2.0019348684875418e+17,2.0023297349862752e+17,2.002764406672494e+17,2.0032377264962608e+17,2.0037482150841622e+17,2.0042941377190128e+17,2.0048735654023674e+17,2.0054844292397024e+17,2.0061245679219434e+17,2.006791768443447e+17,2.0074838004336445e+17,2.0081984446200195e+17,2.0089335160106595e+17,2.009686882406264e+17,2.0104564788403318e+17,2.0112403185142198e+17,2.012036500749543e+17,2.012843216430147e+17,2.0136587513538157e+17,2.01448148786279e+17,2.0153099050737952e+17,2.016142577983643e+17,2.0169781756860416e+17,2.017815458899184e+17,2.0186532769718778e+17,2.0194905645082285e+17,2.0203263377268304e+17,2.0211596906497686e+17,2.0219897911990733e+17,2.022815877263282e+17,2.0236372527840982e+17,2.024453283902508e+17,2.0252633951948086e+17,2.026067066021627e+17,2.0268638270068877e+17,2.027653256658655e+17,2.0284349781396874e+17,2.029208656192201e+17,2.029973994218671e+17,2.0307307315183693e+17,2.031478640677662e+17,2.0322175251107942e+17,2.032947216746912e+17,2.033667573858336e+17,2.0343784790245968e+17,2.035079837226389e+17,2.035771574063404e+17,2.0364536340899062e+17,2.0371259792619085e+17,2.0377885874898762e+17,2.038441451291002e+17,2.0390845765352534e+17
0.007987987987987989,2e+17,2e+17,2e+17,2.000000000000384e+17,2.00000000006273e+17,2.00000000207297e+17,2.0000000264643574e+17,2.0000001834038576e+17,2.0000008389984176e+17,2.0000028571742995e+17,2.0000078303465738e+17,2.0000182048547555e+17,2.0000372558251818e+17,2.000068924504815e+17,2.0001175669452275e+17,2.000187671049673e+17,2.000283588907834e+17,2.000409314345825e+17,2.0005683192994448e+17,2.000763450369337e+17,2.000996879324012e+17,2.0012700976113443e+17,2.0015839439560544e+17,2.001938654782361e+17,2.0023339286899424e+17,2.0027689979832675e+17,2.0032427019866246e+17,2.003753558404925e+17,2.004299830249854e+17,2.0048795868376755e+17,2.005490758104962e+17,2.006131182020438e+17,2.0067986452360547e+17,2.0074909173563696e+17,2.008205779344955e+17,2.0089410466565014e+17,2.009694587704544e+17,2.010464338263297e+17,2.0112483123698902e+17,2.0120446102489978e+17,2.0128514237315603e+17,2.0136670395872426e+17,2.0144898411391904e+17,2.015318308481322e+17,2.016151017573775e+17,2.0169866384517686e+17,2.017823932747093e+17,2.0186617506897024e+17,2.0194990277291475e+17,2.0203347808915875e+17,2.0211681049674835e+17,2.0219981686074515e+17,2.022824210388791e+17,2.023645534902564e+17,2.0244615089004765e+17,2.0252715575319494e+17,2.0260751606943763e+17,2.0268718495134726e+17,2.0276612029656054e+17,2.0284428446498906e+17,2.0292164397145325e+17,2.0299816919392102e+17,2.0307383409731846e+17,2.0314861597271392e+17,2.0322249519154717e+17,2.0329545497447738e+17,2.0336748117435075e+17,2.0343856207273898e+17,2.0350868818946307e+17,2.0357785210449936e+17,2.03646048291653e+17,2.0371327296338582e+17,2.0377952392619053e+17,2.0384480044591597e+17,2.0390910312246432e+17
0.009319319319319319,2e+17,2e+17,2e+17,2.0000000000004102e+17,2.0000000000656915e+17,2.0000000021438358e+17,2.0000000271476506e+17,2.0000001870999443e+17,2.000000852545922e+17,2.0000028949341283e+17,2.0000079165423498e+17,2.0000183742432778e+17,2.000037552512376e+17,2.0000693993351066e+17,2.0001182741547027e+17,2.0001886648408736e+17,2.0002849204210618e+17,2.0004110292886765e+17,2.000570456318553e+17,2.0007660401274586e+17,2.000999944178383e+17,2.0012736517625235e+17,2.001587993936115e+17,2.0019432001655062e+17,2.002338962929223e+17,2.0027745092988144e+17,2.0032486742508707e+17,2.0037599719873203e+17,2.0043066627972522e+17,2.0048868139770374e+17,2.005498354062709e+17,2.0061391201581894e+17,2.0068068985060902e+17,2.007499458682406e+17,2.0082145819350608e+17,2.0089500842555037e+17,2.0097038347933232e+17,2.0104737702120845e+17,2.0112579055522032e+17,2.0120543421222694e+17,2.0128612728898877e+17,2.0136769857910518e+17,2.014499865326005e+17,2.0153283927612547e+17,2.0161611452128496e+17,2.0169967938457085e+17,2.0178341013878032e+17,2.0186719191263104e+17,2.0195091835251514e+17,2.0203449125793907e+17,2.021178202001364e+17,2.0220082213158112e+17,2.0228342099263712e+17,2.0236554732031606e+17,2.0244713786305805e+17,2.0252813520456355e+17,2.0260848739896778e+17,2.0268814761904214e+17,2.02767073818605e+17,2.0284522840991693e+17,2.029225779565039e+17,2.0299909288158573e+17,2.0307474719207536e+17,2.031495182179482e+17,2.0322338636665194e+17,2.0329633489212928e+17,2.0336834967795434e+17,2.0343941903403248e+17,2.0350953350627862e+17,2.0357868569867014e+17,2.036468701070597e+17,2.0371408296413526e+17,2.037803220949188e+17,2.0384558678220902e+17,2.0390987764138938e+17
0.01065065065065065,2e+17,2e+17,2e+17,2.000000000000442e+17,2.000000000069204e+17,2.0000000022274653e+17,2.000000027951561e+17,2.000000191439726e+17,2.0000008684305987e+17,2.0000029391636627e+17,2.0000080174314246e+17,2.000018572393841e+17,2.0000378994234704e+17,2.0000699543515168e+17,2.0001191005603347e+17,2.0001898258636707e+17,2.0002864757023926e+17,2.0004130321215043e+17,2.0005729517515786e+17,2.000769063891774e+17,2.00100352231497e+17,2.001277800797973e+17,2.0015927214536048e+17,2.00194850563473e+17,2.002344838682995e+17,2.0027809415694528e+17,2.0032556442028317e+17,2.0037674567024208e+17,2.0043146361847507e+17,2.004895247593037e+17,2.0055072178323053e+17,2.0061483830000742e+17,2.006816528863529e+17,2.0075094249671114e+17,2.0082248528919283e+17,2.0089606292567987e+17,2.0097146240709366e+17,2.0104847750361616e+17,2.0112690983638832e+17,2.012065696627596e+17,2.0128727641212214e+17,2.0136885901415696e+17,2.0145115605621763e+17,2.0153401580175136e+17,2.0161729609720813e+17,2.0170086419086262e+17,2.0178459648338122e+17,2.0186837822680304e+17,2.0195210318584077e+17,2.020356732730161e+17,2.0211899816709014e+17,2.0220199492249376e+17,2.0228458757597248e+17,2.0236670675540368e+17,2.0244828929468522e+17,2.025292778577128e+17,2.026096205737284e+17,2.026892706857154e+17,2.0276818621301734e+17,2.028463296289496e+17,2.0292366755384294e+17,2.0300017046369395e+17,2.0307581241438397e+17,2.0315057078126474e+17,2.0322442601377875e+17,2.03297361404686e+17,2.0336936287339715e+17,2.034404187628617e+17,2.0351051964942637e+17,2.0357965816505936e+17,2.036478288313259e+17,2.0371502790450195e+17,2.037812532312186e+17,2.038465041140418e+17,2.0391078118640906e+17
0.011981981981981983,2e+17,2e+17,2.0000000000000003e+17,2.0000000000004794e+17,2.0000000000732938e+17,2.000000002324307e+17,2.0000000288792394e+17,2.0000001964361034e+17,2.0000008866892966e+17,2.0000029899447786e+17,2.0000081331655414e+17,2.0000187995521936e+17,2.0000382969176112e+17,2.0000705900386586e+17,2.0001200467760464e+17,2.0001911548573818e+17,2.0002882556061955e+17,2.0004153237986646e+17,2.000575806634832e+17,2.0007725227610986e+17,2.0010076148754998e+17,2.001282545883543e+17,2.00159812768117e+17,2.0019545723540067e+17,2.0023515570931597e+17,2.0027882959037194e+17,2.003263612908442e+17,2.003776013566247e+17,2.004323751372898e+17,2.0049048885867546e+17,2.0055173502527274e+17,2.0061589713215e+17,2.0068275370197283e+17,2.0075208168581238e+17,2.0082365928004755e+17,2.00897268218411e+17,2.0097269560018538e+17,2.010497353142996e+17,2.0112818911578752e+17,2.0120786740660352e+17,2.01288589767746e+17,2.0137018528443104e+17,2.0145249270096176e+17,2.015353604371165e+17,2.0161864649343926e+17,2.0170221826879315e+17,2.0178595230995613e+17,2.018697340098784e+17,2.0195345726846602e+17,2.0203702412736966e+17,2.021203443882071e+17,2.0220333522189872e+17,2.022859207753086e+17,2.0236803178012893e+17,2.024496051678926e+17,2.025305836941171e+17,2.0261091557385168e+17,2.0269055413029434e+17,2.027694574576481e+17,2.028475880989798e+17,2.029249127395162e+17,2.0300140191554742e+17,2.0307702973889738e+17,2.0315177363675626e+17,2.0322561410654154e+17,2.0329853448535818e+17,2.0337052073355616e+17,2.03441561231834e+17,2.035116465913031e+17,2.0358076947590752e+17,2.0364892443658547e+17,2.037161077565589e+17,2.0378231730714397e+17,2.0384755241348733e+17,2.039118137296503e+17
