Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s
0.03333333333333333,2e+17,2e+17,2e+17,2e+17,2.0000000000000266e+17,2.0000000000071632e+17,2.0000000003198874e+17,2.000000004984238e+17,2.00000003976526e+17,2.0000002018688438e+17,2.0000007443637267e+17,2.0000021711756688e+17,2.000005305778589e+17,2.000011307578279e+17,2.0000216316941018e+17,2.0000379454620275e+17,2.0000620225555568e+17,2.0000956346784448e+17,2.0001404553935414e+17
0.03666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000000294e+17,2.00000000000771e+17,2.0000000003381104e+17,2.000000005203046e+17,2.0000000411465706e+17,2.000000207540243e+17,2.0000007615908595e+17,2.0000022132180877e+17,2.0000053928934912e+17,2.0000114668221078e+17,2.0000218956243846e+17,2.0000383501210166e+17,2.0000626051843942e+17,2.0000964315361056e+17,2.000141499924298e+17
0.04,2e+17,2e+17,2e+17,2e+17,2.0000000000000326e+17,2.0000000000083296e+17,2.0000000003585693e+17,2.000000005447374e+17,2.0000000426834614e+17,2.0000002138347062e+17,2.0000007806762246e+17,2.000002259733305e+17,2.000005489178399e+17,2.0000116426894384e+17,2.0000221869242486e+17,2.0000387965189395e+17,2.000063247646361e+17,2.0000973099313738e+17,2.00014265101301e+17
0.043333333333333335,2e+17,2e+17,2e+17,2e+17,2.0000000000000362e+17,2.000000000009027e+17,2.0000000003813872e+17,2.0000000057182982e+17,2.000000044381046e+17,2.0000002207685206e+17,2.000000801659114e+17,2.0000023107989354e+17,2.0000055947655034e+17,2.00001183538145e+17,2.0000225058742947e+17,2.0000392850211606e+17,2.0000639503916957e+17,2.00009827039482e+17,2.0001439092623594e+17
0.04666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000000406e+17,2.000000000009808e+17,2.0000000004067027e+17,2.000000006017008e+17,2.0000000462449603e+17,2.0000002283595926e+17,2.0000008245826534e+17,2.000002366500051e+17,2.0000057097995514e+17,2.000012045118261e+17,2.000022852781355e+17,2.0000398160270038e+17,2.0000647139122922e+17,2.000099313505916e+17,2.000145275330404e+17
0.05,2e+17,2e+17,2e+17,2e+17,2.0000000000000454e+17,2.00000000001068e+17,2.0000000004346678e+17,2.0000000063448134e+17,2.0000000482813792e+17,2.000000236627489e+17,2.0000008494938707e+17,2.000002426929289e+17,2.000005834437991e+17,2.000012272139103e+17,2.0000232279786794e+17,2.0000403899699478e+17,2.0000655387418906e+17,2.0001004398932128e+17,2.0001467499307254e+17
0.05333333333333334,2e+17,2e+17,2e+17,2e+17,2.000000000000051e+17,2.0000000000116502e+17,2.0000000004654506e+17,2.0000000067031475e+17,2.000000050497034e+17,2.000000245593475e+17,2.000000876443772e+17,2.0000024921869664e+17,2.0000059688511222e+17,2.0000125167025002e+17,2.0000236318261424e+17,2.000041007317837e+17,2.00006642545628e+17,2.000101650234523e+17,2.0001483338325978e+17
0.05666666666666667,2e+17,2e+17,2e+17,2e+17,2.000000000000057e+17,2.000000000012727e+17,2.0000000004992352e+17,2.0000000070935728e+17,2.00000005289923e+17,2.0000002552805594e+17,2.0000009054874214e+17,2.0000025623812045e+17,2.0000061132222643e+17,2.0000127790864736e+17,2.000024064710461e+17,2.000041668573108e+17,2.0000673746735206e+17,2.000102945257128e+17,2.0001500278611613e+17
0.060000000000000005,2e+17,2e+17,2e+17,2e+17,2.0000000000000637e+17,2.00000000001392e+17,2.0000000005362237e+17,2.0000000075177866e+17,2.0000000554958672e+17,2.0000002657135424e+17,2.00000093668403e+17,2.0000026376280624e+17,2.0000062677479347e+17,2.000013059588753e+17,2.000024527045433e+17,2.0000423742730317e+17,2.0000683870541776e+17,2.0001043257379942e+17,2.000151832897613e+17
0.06333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000000717e+17,2.0000000000152394e+17,2.0000000005766358e+17,2.0000000079776278e+17,2.000000058295462e+17,2.0000002769190666e+17,2.0000009700970486e+17,2.0000027180516797e+17,2.0000064326380374e+17,2.000013358527004e+17,2.0000250192721856e+17,2.000043124989975e+17,2.0000694633015738e+17,2.0001057925040026e+17,2.0001537498794077e+17
0.06666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000000806e+17,2.0000000000166963e+17,2.0000000006207114e+17,2.000000008475084e+17,2.00000006130717e+17,2.0000002889256714e+17,2.0000010057942685e+17,2.0000028037844314e+17,2.000006608116069e+17,2.0000136762390746e+17,2.0000255418594464e+17,2.0000439213316733e+17,2.000070604162057e+17,2.0001073464321946e+17,2.0001557798004717e+17
0.07,2e+17,2e+17,2e+17,2e+17,2.0000000000000906e+17,2.000000000018303e+17,2.0000000006687107e+17,2.0000000090122982e+17,2.000000064540811e+17,2.0000003017638515e+17,2.0000010438479286e+17,2.0000028949670867e+17,2.0000067944193325e+17,2.00001401308325e+17,2.0000260953038262e+17,2.0000447639415242e+17,2.0000718104252813e+17,2.000108988450032e+17,2.000157923711428e+17
0.07333333333333333,2e+17,2e+17,2e+17,2e+17,2.0000000000001018e+17,2.0000000000200736e+17,2.0000000007209165e+17,2.000000009591577e+17,2.0000000680068963e+17,2.000000315466121e+17,2.0000010843348285e+17,2.0000029917489853e+17,2.0000069917991648e+17,2.000014369438526e+17,2.0000266801301178e+17,2.000045653498895e+17,2.0000730829245062e+17,2.0001107195356694e+17,2.000160182719834e+17
0.07666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000001142e+17,2.0000000000220227e+17,2.000000000777635e+17,2.0000000102153984e+17,2.0000000717166563e+17,2.000000330067077e+17,2.0000011273364477e+17,2.000003094288216e+17,2.00000720052118e+17,2.0000147457048982e+17,2.0000272968916134e+17,2.0000465907194467e+17,2.0000744225369098e+17,2.0001125407182422e+17,2.0001625579904326e+17
0.08,2e+17,2e+17,2e+17,2e+17,2.0000000000001283e+17,2.000000000024167e+17,2.0000000008391978e+17,2.0000000108864224e+17,2.0000000756820707e+17,2.000000345603472e+17,2.0000011729390755e+17,2.0000032027518112e+17,2.0000074208655226e+17,2.000015142303663e+17,2.000027946170436e+17,2.000047576355473e+17,2.0000758301839165e+17,2.000114453078167e+17,2.000165050745412e+17
0.08333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000001443e+17,2.000000000026524e+17,2.0000000009059632e+17,2.0000000116074995e+17,2.0000000799159024e+17,2.0000003621142864e+17,2.000001221233942e+17,2.000003317315948e+17,2.0000076531271325e+17,2.0000155596777347e+17,2.000028628577886e+17,2.0000486111962592e+17,2.000077306831543e+17,2.0001164577474566e+17,2.000167662264679e+17
0.08666666666666667,2e+17,2e+17,2e+17,2e+17,2.000000000000162e+17,2.0000000000291146e+17,2.0000000009783184e+17,2.0000000123816816e+17,2.0000000844317283e+17,2.0000003796408093e+17,2.0000012723173616e+17,2.0000034381661616e+17,2.0000078976160275e+17,2.0000159982919798e+17,2.000029344754809e+17,2.0000496960684522e+17,2.0000788534907565e+17,2.0001185559100496e+17,2.0001703938861453e+17
0.09000000000000001,2e+17,2e+17,2e+17,2e+17,2.000000000000182e+17,2.000000000031959e+17,2.0000000010566813e+17,2.000000013212232e+17,2.0000000892439786e+17,2.0000003982267194e+17,2.000001326290881e+17,2.000003565497568e+17,2.0000081546575955e+17,2.0000164586335638e+17,2.000030095371972e+17,2.000050831836452e+17,2.00008047121785e+17,2.0001207488021517e+17,2.000173247006023e+17
0.09333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000002045e+17,2.0000000000350816e+17,2.0000000011415024e+17,2.000000014102639e+17,2.0000000943679734e+17,2.0000004179181738e+17,2.0000013832614346e+17,2.0000036995150966e+17,2.000008424592901e+17,2.0000169412123155e+17,2.000030881130463e+17,2.0000520194028134e+17,2.0000821611148317e+17,2.0001230377125923e+17,2.0001762230791328e+17
0.09666666666666668,2e+17,2e+17,2e+17,2e+17,2.0000000000002294e+17,2.0000000000385078e+17,2.000000001233268e+17,2.0000000150566272e+17,2.0000000998199638e+17,2.0000004387638982e+17,2.000001443341509e+17,2.0000038404337376e+17,2.000008707779005e+17,2.0000174465611034e+17,2.0000317027621034e+17,2.0000532597086707e+17,2.000083924329831e+17,2.000125423983193e+17,2.0001793236192237e+17
0.1,2e+17,2e+17,2e+17,2e+17,2.0000000000002576e+17,2.0000000000422662e+17,2.0000000013325005e+17,2.0000000160781702e+17,2.000000105617174e+17,2.0000004608152854e+17,2.0000015066493152e+17,2.0000039884787946e+17,2.0000090045893002e+17,2.000017975236233e+17,2.0000325610298762e+17,2.000054553734172e+17,2.0000857620575187e+17,2.0001279090091514e+17,2.000182550199303e+17
0.10333333333333335,2e+17,2e+17,2e+17,2e+17,2.0000000000002893e+17,2.0000000000463872e+17,2.0000000014397645e+17,2.0000000171715062e+17,2.0000001117778467e+17,2.000000484126496e+17,2.000001573308966e+17,2.0000041438861523e+17,2.000009315413856e+17,2.0000185278178534e+17,2.0000334567283728e+17,2.0000559024989354e+17,2.0000876755395408e+17,2.000130494239437e+17,2.000185904451979e+17
0.10666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000003245e+17,2.0000000000509043e+17,2.0000000015556662e+17,2.000000018341153e+17,2.0000001183212906e+17,2.0000005087545642e+17,2.000001643450665e+17,2.0000043069025542e+17,2.0000096406597824e+17,2.000019104910386e+17,2.0000343906842547e+17,2.0000573070625152e+17,2.000089666064971e+17,2.0001331811772e+17,2.000189388069812e+17
0.11,2e+17,2e+17,2e+17,2e+17,2.000000000000364e+17,2.0000000000558544e+17,2.000000001680858e+17,2.0000000195919213e+17,2.0000001252679306e+17,2.0000005347595098e+17,2.000001717210902e+17,2.0000044777858928e+17,2.0000099807516048e+17,2.0000197071429622e+17,2.0000353637567328e+17,2.0000587685248906e+17,2.0000917349707734e+17,2.0001359713801936e+17,2.0001930028056794e+17
0.11333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000004086e+17,2.0000000000612774e+17,2.0000000018160416e+17,2.0000000209289354e+17,2.0000001326393594e+17,2.0000005622044557e+17,2.0000017947326586e+17,2.000004656805509e+17,2.000010336131653e+17,2.0000203351698838e+17,2.0000363768380608e+17,2.0000602880269658e+17,2.0000938836422858e+17,2.0001388664612106e+17,2.0001967504731507e+17
0.11666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000004582e+17,2.000000000067217e+17,2.0000000019619715e+17,2.0000000223576477e+17,2.0000001404583952e+17,2.0000005911557494e+17,2.0000018761656186e+17,2.0000048442425062e+17,2.0000107072604682e+17,2.0000209896710938e+17,2.0000374308540483e+17,2.000061866751089e+17,2.000096113513711e+17,2.00014186808853e+17,2.0002006329468698e+17
